bioguide_id,first_name,last_name,full_name,date_of_birth,age,age_pretty,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,given_name,middle_name,family_name,nick_name,unaccented_given_name,unaccented_middle_name,unaccented_family_name,honorific_prefix,honorific_suffix,military_service,has_military_service,profile_birthplace,profile_education
D000032,Byron,Donalds,Byron Donalds,10/26/78,46,"46 years, 11 months",1/3/21,56,4.67,"4 years, 8 months",Byron,,Donalds,,Byron,,Donalds,Mr.,,,,,"Brooklyn, Kings County, N.Y","graduated from Nazareth Regional High School, Brooklyn, N.Y., 1996; attended Florida A&amp; M University, Tallahassee, Fla., 1996-1999; B.A., Florida State University, Tallahassee, Fla., 2002",
D000634,Troy,Downing,Troy Downing,3/4/67,58,"58 years, 7 months",1/3/25,8,0.67,8 months,Troy,,Downing,,Troy,,Downing,,,,Air Force Air National Guard,Yes,,"graduated from Indio High School, Indio, Calif., 1985; attended New York University, New York, N.Y.",
V000133,Jeff Van,Drew,Jeff Van Drew,2/23/53,72,"72 years, 7 months",1/3/19,80,6.67,"6 years, 8 months",Jefferson,,Van Drew,,Jefferson,,Van Drew,,,,,,"New York City, New York County, N.Y","attended Eastside High School, Paterson, N.J., and graduated from St. Mary's High School, Perth Amboy, N.J., 1971; B.S., Rutgers University, New Brunswick, N.J.; D.D.S., Fairleigh Dickinson University, Teaneck, N.J., 1979",
D000622,Tammy,Duckworth,Tammy Duckworth,3/12/68,57,"57 years, 7 months",1/3/17,104,8.67,"8 years, 8 months",Tammy,,Duckworth,,Tammy,,Duckworth,,,,,,"Bangkok, Thailand","graduated from President William McKinley High School, Honolulu, Hawaii, 1985; B.A., University of Hawaii, Manoa, Hawaii, 1989; M.A., The George Washington University, Washington, D.C., 1992; attended Northern Illinois University, DeKalb, Ill.",
D000628,Neal,Dunn,Neal Dunn,2/16/53,72,"72 years, 7 months",1/3/17,104,8.67,"8 years, 8 months",Neal,Patrick,Dunn,,Neal,Patrick,Dunn,,,,Army,Yes,"Boston, Suffolk County, Mass","Lee University, Lexington, Va., 1975; M.D., George Washington University, Washington, D.C., 1979",
D000563,Dick,Durbin,Dick Durbin,11/21/44,80,"80 years, 10 months",1/3/97,344,28.67,"28 years, 8 months",Richard,Joseph,Durbin,,Richard,Joseph,Durbin,,,,,,"East St. Louis, St. Clair County, Ill","graduated from Assumption High School, East St. Louis 1962; B.S., Georgetown University School of Foreign Service, Washington, DC 1966; intern in the office of Illinois Senator Paul Douglas during his senior year in college; J.D., Georgetown University Law Center 1969; associate professor, Southern Illinois University School of Medicine, Springfield 1978-1983",
V000134,Beth Van,Duyne,Beth Van Duyne,11/16/70,54,"54 years, 10 months",1/3/21,56,4.67,"4 years, 8 months",Beth,,Van Duyne,,Beth,,Van Duyne,Ms.,,,,,New York,"graduated from the Greenhill School, Addison, Tex., 1988; B.A., Cornell University, Ithaca, N.Y., 1995",
E000246,Chuck,Edwards,Chuck Edwards,9/13/60,65,"65 years, 1 months",1/3/23,32,2.67,"2 years, 8 months",Chuck,,Edwards,,Chuck,,Edwards,,,,,,"Waynesville, Haywood County, N.C","graduated from West Henderson High School, Hendersonville, N.C., 1978; attended Blue Ridge Community College, Flat Rock, N.C., 1979-1983",
E000301,Sarah,Elfreth,Sarah Elfreth,9/9/88,37,"37 years, 1 months",1/3/25,8,0.67,8 months,Sarah,,Elfreth,,Sarah,,Elfreth,,,,,,New Jersey,"graduated from Haddon Heights High School, Haddon Heights, N.J., 2006; B.A., Towson University, Towson, Md., 2010; M.S., Johns Hopkins University, Baltimore, Md., 2012; adjunct professor, Towson University, Towson, Md., 2019-2024",
E000071,Jake,Ellzey,Jake Ellzey,1/24/70,55,"55 years, 8 months",7/30/21,49,4.08,"4 years, 1 month",Jake,,Ellzey,,Jake,,Ellzey,,,,Navy,Yes,"Potter County, Tex","graduated from Perryton High School, Perryton, Tex., 1988; B.S., United States Naval Academy, Annapolis, Md., 1992",
E000294,Tom,Emmer,Tom Emmer,3/3/61,64,"64 years, 7 months",1/3/15,128,10.67,"10 years, 8 months",Thomas,Earl,Emmer,,Thomas,Earl,Emmer,,II,,,,"South Bend, St. Joseph County, Ind","graduated from St. Thomas Academy, Mendota Heights, Minn., 1979; B.A., University of Alaska, Fairbanks, Alaska, 1984; J.D., Mitchell College of Law, St. Paul, Minn., 1988",
E000295,Joni,Ernst,Joni Ernst,7/1/70,55,"55 years, 3 months",1/3/15,128,10.67,"10 years, 8 months",Joni,,Ernst,,Joni,,Ernst,,,,,,"Red Oak, Montgomery County, Iowa","B.A., Iowa State University, 1992; M.P.A., Columbus College (now Columbus State University), Columbus, Ga., 1995",
E000299,Veronica,Escobar,Veronica Escobar,9/15/69,56,"56 years, 1 months",1/3/19,80,6.67,"6 years, 8 months",Veronica,,Escobar,,Veronica,,Escobar,,,,,,"El Paso, El Paso County, Tex","attended Loretto Academy, El Paso, Tex., and graduated from Burges High School, El Paso, Tex.; B.A., University of Texas at El Paso, El Paso, Tex., 1991; M.A., New York University, New York, N.Y., 1993; college professor",
E000297,Adriano,Espaillat,Adriano Espaillat,9/27/54,71,"71 years",1/3/17,104,8.67,"8 years, 8 months",Adriano,J.,Espaillat,,Adriano,J.,Espaillat,,,,,,"Santiago, Dominican Republic","graduated from Bishop Dubois High School, New York City, N.Y., 1974; B.S., Queens College, New York City, N.Y., 1979; attended New York University, New York City, N.Y; attended Rutgers University, New Brunswick, N.J.",
E000298,Ron,Estes,Ron Estes,7/19/56,69,"69 years, 2 months",4/25/17,101,8.42,"8 years, 5 months",Ron,,Estes,,Ron,,Estes,,,,,,"Topeka, Shawnee County, Kans","graduated from Union City High School, Union City, Tenn.; B.A., Tennessee Technological University, Cookeville, Tenn., 1973; M.B.A., Tennessee Technological University, Cookeville, Tenn., 1983",
E000300,Gabe,Evans,Gabe Evans,7/28/86,39,"39 years, 2 months",1/3/25,8,0.67,8 months,Gabe,,Evans,,Gabe,,Evans,,,,Army Colorado Army National Guard Virginia Army National Guard,Yes,"Aurora, Colo","B.A., Patrick Henry College, Purcellville, Virginia, 2009; attending Colorado State University, Fort Collins, Colo.",
E000296,Dwight,Evans,Dwight Evans,5/16/54,71,"71 years, 4 months",11/14/16,106,8.83,"8 years, 10 months",Dwight,,Evans,,Dwight,,Evans,,,,,,"Philadelphia, Philadelphia County, Pa","graduated from Germantown High School, Philadelphia, Pa., 1971; A.A., Community College of Philadelphia, Philadelphia, Pa., 1973; B.A., La Salle University, Philadelphia, Pa., 1975",
E000235,Mike,Ezell,Mike Ezell,4/6/59,66,"66 years, 6 months",1/3/23,32,2.67,"2 years, 8 months",Mike,,Ezell,,Mike,,Ezell,,,,,,"Pascagoula, Jackson County, Miss","graduated from Pascagoula High School, Pascagoula, Miss., 1977; graduated from Federal Bureau of Investigation National Academy, Quantico, Va., 1990; B.S., University of Southern Mississippi, Hattiesburg, Miss., 1997; law enforcement officer",
F000246,Pat,Fallon,Pat Fallon,12/19/67,57,"57 years, 9 months",1/3/21,56,4.67,"4 years, 8 months",Pat,,Fallon,,Pat,,Fallon,Mr.,,,Air Force,Yes,"Pittsfield, Berkshire County, Mass","graduated from Pittsfield High School, Pittsfield, Mass., 1986; attended the University of Massachusetts, Amherst, Mass.; B.A., University of Notre Dame, Notre Dame, Ind., 1990",
F000482,Julie,Fedorchak,Julie Fedorchak,9/28/68,57,"57 years",1/3/25,8,0.67,8 months,Julie,,Fedorchak,,Julie,,Fedorchak,,,,,,"Williston, Williams County, N. Dak","graduated from Century High School, Bismark, N. Dak., 1986; B.A., University of North Dakota, Grand Forks, N. Dak.; staff, University of North Dakota Foundation, 1990-1993; staff, University of Maryland, College Park, Md., 1993-1995",
F000446,Randy,Feenstra,Randy Feenstra,1/14/69,56,"56 years, 9 months",1/3/21,56,4.67,"4 years, 8 months",Randy,,Feenstra,,Randy,,Feenstra,Mr.,,,,,"Hull, Sioux County, Iowa","graduated from Western Christian High School, Hull, Iowa, 1987; B.A., Dordt College, Sioux Center, Iowa, 1991; M.P.A., Iowa State University, Ames, Iowa; Ph.D., Northcentral University, La Jolla, Calif., 2022; faculty, Dordt College, Sioux Center, Iowa",
L000273,Teresa Leger,Fernandez,Teresa Leger Fernandez,7/1/59,66,"66 years, 3 months",1/3/21,56,4.67,"4 years, 8 months",Teresa,,Leger Fernandez,,Teresa,,Leger Fernandez,Ms.,,,,,"Las Vegas, San Miguel County, N. Mex","graduated from West Las Vegas High School, Las Vegas, N. Mex., 1977; A.B., Yale University, New Haven, Conn., 1982; J.D. Stanford University, Stanford, Calif., 1987",
F000479,John,Fetterman,John Fetterman,8/15/69,56,"56 years, 2 months",1/3/23,32,2.67,"2 years, 8 months",John,Karl,Fetterman,,John,Karl,Fetterman,,,,,,"Reading, Penn","graduated Central York High School, York, Penn., 1987; B.A., business administration, Albright College, Reading, Penn., 1991; M.B.A., University of Connecticut, 1993; M.P.P., Kennedy School of Government, Harvard University, 1999",
F000110,Cleo,Fields,Cleo Fields,11/22/62,62,"62 years, 10 months",1/3/25,8,0.67,8 months,Cleo,,Fields,,Cleo,,Fields,,,,,,"Baton Rouge, East Baton Rouge Parish, La","graduated from McKinley High School, Baton Rouge, La., 1980; B.A., Southern University, 1984, J.D., Southern University Law Center, 1987",
F000481,Shomari,Figures,Shomari Figures,9/3/85,40,"40 years, 1 months",1/3/25,8,0.67,8 months,Shomari,C.,Figures,,Shomari,C.,Figures,,,,,,"Mobile, Mobile County, Ala","graduated from John L. LeFlore High School, Mobile, Ala., 2003; B.A., University of Alabama, Tuscaloosa, Ala., 2006; J.D., University of Alabama, Tuscaloosa, Ala., 2010",
F000484,Randy,Fine,Randy Fine,4/20/74,51,"51 years, 5 months",4/2/25,5,0.42,5 months,Randy,,Fine,,Randy,,Fine,,,,,,"Tucson, Pima County, Ariz","United States Capitol Page School, 1990-1991; A.B., Harvard University, Cambridge, Mass., 1996; M.B.A., Harvard University, Cambridge, Mass., 1998",
F000475,Brad,Finstad,Brad Finstad,5/30/76,49,"49 years, 4 months",8/12/22,37,3.08,"3 years, 1 month",Brad,,Finstad,,Brad,,Finstad,,,,,,"New Ulm, Brown County, Minn","graduated from St. James High School, St. James, Minn.; B.S., University of Minnesota, Minneapolis, Minn.",
F000470,Michelle,Fischbach,Michelle Fischbach,11/3/65,59,"59 years, 11 months",1/3/21,56,4.67,"4 years, 8 months",Michelle,,Fischbach,,Michelle,,Fischbach,Mrs.,,,,,,"graduated from Woodbury High School, Woodbury, Minn., 1984; attended College of Saint Benedict, St. Joseph, Minn., 1984-1986; B.A., St. Cloud State University, St. Cloud, Minn., 1989; J.D., William Mitchell College of Law, Saint Paul, Minn., 2011",
F000463,Deb,Fischer,Deb Fischer,3/1/51,74,"74 years, 7 months",1/3/13,152,12.67,"12 years, 8 months",Debra,,Fischer,Deb,Debra,,Fischer,,,,,,"Lincoln, Neb","graduated University of Nebraska, B.S., 1988; Valentine Rural High School Board of Education 1990-2004; Nebraska Coordinating Commission for Postsecondary Education 2000-2004",
F000471,Scott,Fitzgerald,Scott Fitzgerald,11/16/63,61,"61 years, 10 months",1/3/21,56,4.67,"4 years, 8 months",Scott,,Fitzgerald,,Scott,,Fitzgerald,Mr.,,,Army Reserve,Yes,"Chicago, Cook County, Ill","graduated from Hustisford High School, Hustisford, Wis., 1981; B.S., University of Wisconsin, Oshkosh, Wis., 1985",
F000466,Brian,Fitzpatrick,Brian Fitzpatrick,12/17/73,51,"51 years, 9 months",1/3/17,104,8.67,"8 years, 8 months",Brian,K.,Fitzpatrick,,Brian,K.,Fitzpatrick,,,,,,"Philadelphia, Philadelphia County, Pa","graduated from Bishop Egan High School, Fairless Hills, Pa., 1992; B.S.B.A., La Salle University, Philadelphia, Pa., 1996; M.B.A., Pennsylvania State University, University Park, Pa., 2001; J.D., Dickinson School of Law, Pennsylvania State University, Carlisle, Pa., 2001",
F000459,Chuck,Fleischmann,Chuck Fleischmann,10/11/62,62,"63 years",1/3/11,176,14.67,"14 years, 8 months",Chuck,,Fleischmann,,Chuck,,Fleischmann,,,,,,"Manhattan, New York County, N.Y","graduated from Elk Grove High School, Elk Grove, Ill., 1980; B.A., University of Illinois, Urbana-Champaign, Ill., 1983; J.D., University of Tennessee, Knoxville, Tenn., 1986",
F000468,Lizzie,Fletcher,Lizzie Fletcher,2/13/75,50,"50 years, 8 months",1/3/19,80,6.67,"6 years, 8 months",Elizabeth,Pannill,Fletcher,,Elizabeth,Pannill,Fletcher,,,,,,"Houston, Harris County, Tex","graduated from St. John's School, Houston, Tex., 1993; B.A., Kenyon College, Gambier, Ohio; J.D., College of William &amp",
F000474,Mike,Flood,Mike Flood,2/23/75,50,"50 years, 7 months",7/12/22,38,3.17,"3 years, 2 months",Mike ,,Flood,,Mike ,,Flood,,,,,,"Omaha, Douglas County, Nebr","graduated from Norfolk Catholic High School, Norfolk, Nebr., 1993; B.A., University of Notre Dame, Notre Dame, Ind., 1997; J.D., University of Nebraska College of Law, Lincoln, Nebr., 2001",
F000480,Vince,Fong,Vince Fong,10/24/79,45,"45 years, 11 months",6/3/24,15,1.25,"1 year, 3 months",Vince,,Fong,,Vince,,Fong,,,,,,"Bakersfield, Kern County, Calif","graduated from West High School, Bakersfield, Calif., 1997; B.A., University of California, Los Angeles, Calif., 2001; M.P.A., Princeton University, Princeton, N.J., 2003",
F000454,Bill,Foster,Bill Foster,10/7/55,69,"70 years",1/3/13,152,12.67,"12 years, 8 months",Bill,,Foster,,Bill,,Foster,,,,,,"Madison, Wis","B.A. University of Wisconsin, Madison, Dane County, Wis., 1975; Ph.D., Harvard University, Cambridge, Mass., 1984",
F000477,Valerie,Foushee,Valerie Foushee,5/7/56,69,"69 years, 5 months",1/3/23,32,2.67,"2 years, 8 months",Valerie,,Foushee,,Valerie,,Foushee,,,,,,"Chapel Hill, Orange County, N.C","graduated from Chapel Hill High School, Chapel Hill, N.C., 1974; B.A., University of North Carolina, Chapel Hill, N.C., 2008; member of the Chapel Hill-Carrboro City board of education, 1997-2004, chair, 2001-2003",
F000462,Lois,Frankel,Lois Frankel,5/16/48,77,"77 years, 4 months",1/3/13,152,12.67,"12 years, 8 months",Lois,,Frankel,,Lois,,Frankel,,,,,,"New York, New York County, N.Y","graduated from Great Neck South High School, Great Neck, N.Y., 1966; B.A., Boston University, Boston, Mass., 1970; J.D., Georgetown University, Washington, D.C., 1973",
F000472,Scott,Franklin,Scott Franklin,8/23/64,61,"61 years, 1 months",1/3/21,56,4.67,"4 years, 8 months",Scott,,Franklin,,Scott,,Franklin,Mr.,,,Navy Navy Reserve,Yes,"Thomaston, Upson County, Ga","graduated from Lakeland High School, Lakeland, Fla., 1982; B.S., United States Naval Academy, Annapolis, Md., 1986; M.B.A., Embry-Riddle Aeronautical University, Daytona Beach, Fla., 1994; attended the Air Command and Staff College, Montgomery, Ala.",
F000483,Laura,Friedman,Laura Friedman,12/3/66,58,"58 years, 10 months",1/3/25,8,0.67,8 months,Laura,,Friedman,,Laura,,Friedman,,,,,,New York,"graduated from Nova High School, Davie, Fla., 1984; B.A., University of Rochester, Rochester, N.Y., 1988; faculty, University of California, Los Angeles, Calif.",
F000476,Maxwell,Frost,Maxwell Frost,1/17/97,28,"28 years, 8 months",1/3/23,32,2.67,"2 years, 8 months",Maxwell,,Frost,,Maxwell,,Frost,,,,,,"Orlando, Orange County, Fla","graduated from Osceola County School for the Arts, Kissimmee, Fla.; attended the Valencia College, Orlando, Fla.",
F000478,Russell,Fry,Russell Fry,1/31/85,40,"40 years, 8 months",1/3/23,32,2.67,"2 years, 8 months",Russell,,Fry,,Russell,,Fry,,,,,,"Surfside Beach, Horry County, S.C","graduated from Socastee High School, Myrtle Beach, S.C.; B.A., University of South Carolina, Columbia, S.C., 2007; J.D., Charleston School of Law, Charleston, S.C., 2011",
F000469,Russ,Fulcher,Russ Fulcher,3/9/62,63,"63 years, 7 months",1/3/19,80,6.67,"6 years, 8 months",Russell,,Fulcher,,Russell,,Fulcher,,,,,,"Boise, Ada County, Idaho, on March 9","graduated from Meridian High School, Meridian, Idaho, 1980; B.S., Boise State University, Boise, Idaho, 1984; M.B.A., Boise State University, Boise, Idaho, 1988",
G000574,Ruben,Gallego,Ruben Gallego,11/20/79,45,"45 years, 10 months",1/3/25,8,0.67,8 months,Ruben,,Gallego,,Ruben,,Gallego,,,,,,"Chicago, Cook County, Ill","A.B., Harvard University, Cambridge, Mass., 2004",
G000559,John,Garamendi,John Garamendi,1/24/45,80,"80 years, 8 months",11/5/09,190,15.83,"15 years, 10 months",John,,Garamendi,,John,,Garamendi,,,,,,"Camp Blanding, Clay County, Fla","B.A., University of California, Berkeley, Calif., 1966; M.B.A., Harvard University, Cambridge, Mass., 1970",
G000597,Andrew,Garbarino,Andrew Garbarino,9/27/84,41,"41 years",1/3/21,56,4.67,"4 years, 8 months",Andrew,R.,Garbarino,,Andrew,R.,Garbarino,Mr.,,,,,"Sayville, Suffolk County, N.Y","graduated from Sayville High School, Sayville, N.Y., 2002; B.A., George Washington University, Washington, D.C., 2006; J.D., Hofstra University, Hempstead, N.Y., 2009",
G000586,Chuy,García,Chuy García,4/12/56,69,"69 years, 6 months",1/3/19,80,6.67,"6 years, 8 months",Jesus,,Garcia,,Jesus,,Garcia,,,,,,"Durango, Mexico","graduated from St. Rita High School, Chicago, Ill., 1974; B.A., University of Illinois, Chicago, Ill., 1999; M.A., University of Illinois, Chicago, Ill., 2002",
G000598,Robert,Garcia,Robert Garcia,12/2/77,47,"47 years, 10 months",1/3/23,32,2.67,"2 years, 8 months",Robert,,Garcia,,Robert,,Garcia,,,,,,"Lima, Peru","graduated from Covina High School, Covina, Calif., 1995; B.A. California State University, Long Beach, Calif., 2002; M.A., University of Southern California, Los Angeles, Calif., 2005; Ed.D., California State University, Long Beach, Calif., 2010; communications director, Long Beach City College, Long Beach, Calif., 2007-2012; adjunct faculty, University of Southern California, Los Angeles, Calif.",
G000587,Sylvia,Garcia,Sylvia Garcia,9/6/50,75,"75 years, 1 months",1/3/19,80,6.67,"6 years, 8 months",Sylvia,,Garcia,,Sylvia,,Garcia,,,,,,"San Diego, Duval County, Tex","graduated from Ben Bolt-Palito Blanco High School, Ben Bolt, Tex.; B.S., Texas Women's University, Denton, Tex., 1972; J.D., Texas Southern University, Houston, Tex., 1978",
G000603,Brandon,Gill,Brandon Gill,2/26/94,31,"31 years, 7 months",1/3/25,8,0.67,8 months,Brandon,,Gill,,Brandon,,Gill,,,,,,"Clovis, Curry County, N.Mex","graduated from Eula High School, Clyde, Tex., 2012; B.A., Dartmouth College, Hanover, N.H., 2016",
G000602,Laura,Gillen,Laura Gillen,7/10/69,56,"56 years, 3 months",1/3/25,8,0.67,8 months,Laura,,Gillen,,Laura,,Gillen,,,,,,,"graduated from Sacred Heart Academy, Hempstead, New York; A.B., Georgetown University, Washington, D.C., 1991; J.D., New York University, New York, N.Y., 2000; faculty member, Hofstra University, Hempstead, N.Y.",
G000555,Kirsten,Gillibrand,Kirsten Gillibrand,12/9/66,58,"58 years, 10 months",1/26/09,200,16.67,"16 years, 8 months",Kirsten,,Gillibrand,,Kirsten,,Gillibrand,,,,,,"Albany, Albany County, N.Y","A.B., Dartmouth College, Hanover, N.H., 1988; J.D., University of California Los Angeles, Los Angeles, Calif., 1991",
G000593,Carlos,Giménez,Carlos Giménez,1/17/54,71,"71 years, 8 months",1/3/21,56,4.67,"4 years, 8 months",Carlos,A.,Gimenez,,Carlos,A.,Gimenez,Mr.,,,,,"Havana, Cuba","graduated from Christopher Columbus High School, Miami, Fla., 1972; B.P.A., Barry University, Miami Shores, Fla., 1999; attended Harvard University, Cambridge, Mass., 1993",
G000592,Jared,Golden,Jared Golden,7/25/82,43,"43 years, 2 months",1/3/19,80,6.67,"6 years, 8 months",Jared,,Golden,,Jared,,Golden,,,,Marine Corps,Yes,"Lewiston, Androscoggin County, Maine","graduated from Leavitt Area High School, Turner, Maine, 2001; attended University of Maine, Farmington, Maine, 2001-2002; B.A., Bates College, Lewiston, Maine, 2011",
G000599,Dan,Goldman,Dan Goldman,2/26/76,49,"49 years, 7 months",1/3/23,32,2.67,"2 years, 8 months",Daniel,,Goldman,,Daniel,,Goldman,,,,,,"Washington, D.C","graduated from Sidwell Friends School, Washington, D.C., 1994; B.A., Yale University, New Haven, Conn., 1998; J.D., Stanford University, Stanford, Calif., 2005; law clerk, United States District Court, Northern District of California; law clerk, United States Court of Appeals, Second Circuit",
G000601,Craig,Goldman,Craig Goldman,10/3/68,56,"57 years",1/3/25,8,0.67,8 months,Craig,A.,Goldman,,Craig,A.,Goldman,,,,,,Texas,"graduated from Trinity Valley School, Fort Worth, Tex., 1987; B.A., University of Texas at Austin, Austin, Tex., 1991",
G000585,Jimmy,Gomez,Jimmy Gomez,11/25/74,50,"50 years, 10 months",7/11/17,98,8.17,"8 years, 2 months",Jimmy,,Gomez,,Jimmy,,Gomez,,,,,,"Fullerton, Orange County, Calif","graduated from Ramona High School, Riverside, Calif., 1993; attended Riverside Community College, Riverside, Calif., 1993-1996; B.A., University of California, Los Angeles, Calif., 1999; M.P.P., Harvard University, Cambridge, Mass., 2003",
G000594,Tony,Gonzales,Tony Gonzales,10/10/80,44,"45 years",1/3/21,56,4.67,"4 years, 8 months",Tony,,Gonzales,,Tony,,Gonzales,Mr.,,,Navy,Yes,,"attended Thomas Edison High School, San Antonio, Tex.; A.A., Chaminade University, Honolulu, Hawaii; B.S., Excelsior College, Albany, N.Y.; attended Georgetown University, Washington, D.C.; M.A., American Public University, Charles Town, W.Va.; attending University of Southern Mississippi, Hattiesburg, Miss.; faculty, Pensacola State College, Pensacola, Fla.; faculty, University of Maryland, College Park, Md.",
G000581,Vicente,Gonzalez,Vicente Gonzalez,9/4/67,58,"58 years, 1 months",1/3/17,104,8.67,"8 years, 8 months",Vicente,,Gonzalez,,Vicente,,Gonzalez,,Jr.,,,,"Corpus Christi, Nueces County, Tex","B.A., Embry-Riddle Aeronautical University, Naval Air Station, Corpus Christi, Tex., 1992; J.D., Texas Wesleyan School of Law, Fort Worth, Tex., 1996",
G000589,Lance,Gooden,Lance Gooden,12/1/82,42,"42 years, 10 months",1/3/19,80,6.67,"6 years, 8 months",Lance,,Gooden,,Lance,,Gooden,,,,,,"Nashville, Davidson County, Tenn","graduated from Terrell High School, Terrell, Tex., 2001; B.A., University of Texas, Austin, Tex., 2004; B.B.A., University of Texas, Austin, Tex., 2004",
G000604,Maggie,Goodlander,Maggie Goodlander,11/4/86,38,"38 years, 11 months",1/3/25,8,0.67,8 months,Maggie,,Goodlander,,Maggie,,Goodlander,,,,Navy Reserve,Yes,"Nashua, Hillsborough County, New Hampshire","graduated from Groton School, Groton, Mass., 2005; B.A., Yale University, New Haven, Conn., 2009; J.D., Yale Law School, New Haven, Conn., 2016; adjunct professor, University of New Hampshire Franklin Pierce School of Law; law clerk, United States Appeals Court, District of Columbia Circuit, 2016-2017; law clerk, Justice Stephen Breyer, United States Supreme Court, 2017-2018",
G000565,Paul,Gosar,Paul Gosar,11/27/58,66,"66 years, 10 months",1/3/11,176,14.67,"14 years, 8 months",Paul,,Gosar,,Paul,,Gosar,,,,,,"Rock Springs, Sweetwater County, Wyo","graduated from Pinedale High School, Pinedale, Wyo., 1977; B.S., Creighton University, Omaha, Nebr., 1981; D.D.S., Creighton University, Omaha, Nebr., 1985",
G000583,Josh,Gottheimer,Josh Gottheimer,3/8/75,50,"50 years, 7 months",1/3/17,104,8.67,"8 years, 8 months",Josh,S.,Gottheimer,,Josh,S.,Gottheimer,,,,,,"North Caldwell, Essex County, N.J","graduated from West Essex Senior High School, North Caldwell, N.J., 1993; B.A., University of Pennsylvania, Philadelphia, Pa., 1997; J.D., Harvard Law School, Cambridge, Mass., 2004",
G000359,Lindsey,Graham,Lindsey Graham,7/9/55,70,"70 years, 3 months",1/3/03,272,22.67,"22 years, 8 months",Lindsey,O.,Graham,,Lindsey,O.,Graham,,,,,,"Central, Pickens County, S.C","graduated from Daniel High School, Central, S.C. 1973; B.A., University of South Carolina, Columbia 1977; J.D., University of South Carolina School of Law 1981",
G000386,Chuck,Grassley,Chuck Grassley,9/17/33,92,"92 years",1/3/81,536,44.67,"44 years, 8 months",Charles,Ernest,Grassley,,Charles,Ernest,Grassley,,,,,,"New Hartford, Butler County, Iowa","attended the public schools; graduated, University of Northern Iowa, Cedar Falls 1955; received a graduate degree from the same university in 1956; pursued graduate work, University of Iowa, Iowa City 1957-1958; part-time university instructor",
G000546,Sam,Graves,Sam Graves,11/7/63,61,"61 years, 11 months",1/3/01,296,24.67,"24 years, 8 months",Samuel,,Graves,,Samuel,,Graves,,,,,,"Tarkio, Atchison County, Mo","graduated from Tarkio High School, Tarkio, Mo., 1982; B.S., University of Missouri, Columbia, Mo., 1986",
G000605,Adam,Gray,Adam Gray,9/23/77,48,"48 years",1/3/25,8,0.67,8 months,Adam,,Gray,,Adam,,Gray,,,,,,"Merced, Merced County, Calif","graduated from Golden Valley High School, Merced, Calif., 1996; B.A., University of California, Santa Barbara, Calif., 2000; faculty, University of California, Merced, Calif.",
G000553,Al,Green,Al Green,9/1/47,78,"78 years, 1 months",1/3/05,248,20.67,"20 years, 8 months",Al,,Green,,Al,,Green,,,,,,"New Orleans, Jefferson Parish, La","attended Florida A&amp; M University, Tallahassee, Fla., 1966-1971; attended Tuskegee University, Tuskegee, Ala.; J.D., Texas Southern University, Houston, Tex., 1974",
G000596,Marjorie Taylor,Greene,Marjorie Taylor Greene,5/27/74,51,"51 years, 4 months",1/3/21,56,4.67,"4 years, 8 months",Marjorie,Taylor,Greene,,Marjorie,Taylor,Greene,Mrs.,,,,,,"graduated from South Forsyth High School, Cumming, Ga., 1992; B.B.A., University of Georgia, Athens, Ga., 1996",
G000568,Morgan,Griffith,Morgan Griffith,3/15/58,67,"67 years, 7 months",1/3/11,176,14.67,"14 years, 8 months",H.,Morgan,Griffith,,H.,Morgan,Griffith,,,,,,"Philadelphia, Philadelphia County, Pa","graduated from Andrew Lewis High School, Salem, Va., 1976; Henry College, Emory, Va., 1980; Lee University School of Law, Lexington, Va., 1983",
G000576,Glenn,Grothman,Glenn Grothman,7/3/55,70,"70 years, 3 months",1/3/15,128,10.67,"10 years, 8 months",Glenn,,Grothman,,Glenn,,Grothman,,,,,,"Milwaukee, Milwaukee County, Wis","graduated from Homestead High School, Mequon, Wisconsin, 1973; B.B.A., University of Wisconsin, Madison, Wis., 1978; J.D., University of Wisconsin, Madison, Wis., 1983",
G000591,Michael,Guest,Michael Guest,2/4/70,55,"55 years, 8 months",1/3/19,80,6.67,"6 years, 8 months",Michael,,Guest,,Michael,,Guest,,,,,,,"graduated from Brandon High School, Brandon, Miss.; B.S., Mississippi State University, Starkville, Miss., 1993; J.D., University of Mississippi, Oxford, Miss., 1995",
G000558,Brett,Guthrie,Brett Guthrie,2/18/64,61,"61 years, 7 months",1/3/09,200,16.67,"16 years, 8 months",Brett,,Guthrie,,Brett,,Guthrie,,,,Army Army Reserve,Yes,"Florence, Lauderdale County, Ala","graduated from Bradshaw High School, Florence, Ala., 1982; B.S., United States Military Academy, West Point, N.Y., 1987; M.P.P.M., Yale University, New Haven, Conn., 1997",
H001096,Harriet,Hageman,Harriet Hageman,10/18/62,62,"62 years, 11 months",1/3/23,32,2.67,"2 years, 8 months",Harriet,,Hageman,,Harriet,,Hageman,,,,,,"Douglas, Converse County, Wyo","graduated from Lingle-Fort Laramie High School, Lingle, Wyo., 1981; attended Casper College, Casper, Wyo., 1981-1983; B.S., University of Wyoming, Laramie, Wyo., 1986; J.D., University of Wyoming, Laramie, Wyo., 1989; adjunct professor, Central Michigan University, Mount Pleasant, Mich.",
