first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,bioguide_id,military_service,has_military_service
Ron,Johnson,Ron Johnson,4/8/55,70,1/3/11,176,14.67,"14 years, 8 months",Senate,J000293,,
Hank,Johnson,Hank Johnson,10/2/54,70,1/3/07,224,18.67,"18 years, 8 months",House,J000288,,
Mike,Johnson,Mike Johnson,1/30/72,53,1/3/17,104,8.67,"8 years, 8 months",House,J000299,,
Dusty,Johnson,Dusty Johnson,9/30/76,48,1/3/19,80,6.67,"6 years, 8 months",House,J000301,,
Julie,Johnson,Julie Johnson,5/2/66,59,1/3/25,8,0.67,8 months,House,J000310,,
Jim,Jordan,Jim Jordan,2/17/64,61,1/3/07,224,18.67,"18 years, 8 months",House,J000289,,
David,Joyce,David Joyce,3/17/57,68,1/3/13,152,12.67,"12 years, 8 months",House,J000295,,
John,Joyce,John Joyce,2/8/57,68,1/3/19,80,6.67,"6 years, 8 months",House,J000302,,
Thomas Kean,Jr.,Thomas Kean Jr.,9/5/68,57,1/3/23,32,2.67,"2 years, 8 months",House,K000398,,
Jim,Justice,Jim Justice,4/27/51,74,1/14/25,8,0.67,8 months,Senate,J000312,,
Tim,Kaine,Tim Kaine,2/26/58,67,1/3/13,152,12.67,"12 years, 8 months",Senate,K000384,,
Sydney,Kamlager-Dove,Sydney Kamlager-Dove,7/20/72,53,1/3/23,32,2.67,"2 years, 8 months",House,K000400,,
Marcy,Kaptur,Marcy Kaptur,6/17/46,79,1/3/83,512,42.67,"42 years, 8 months",House,K000009,,
Bill,Keating,Bill Keating,9/6/52,73,1/3/11,176,14.67,"14 years, 8 months",House,K000375,,
Mark,Kelly,Mark Kelly,2/21/64,61,12/2/20,57,4.75,"4 years, 9 months",Senate,K000377,,
Robin,Kelly,Robin Kelly,4/30/56,69,4/11/13,149,12.42,"12 years, 5 months",House,K000385,,
Trent,Kelly,Trent Kelly,3/1/66,59,6/2/15,123,10.25,"10 years, 3 months",House,K000388,Mississippi Army National Guard,Yes
Mike,Kelly,Mike Kelly,5/10/48,77,1/3/11,176,14.67,"14 years, 8 months",House,K000376,,
John,Kennedy,John Kennedy,11/21/51,73,1/3/17,104,8.67,"8 years, 8 months",Senate,K000393,,
Tim,Kennedy,Tim Kennedy,10/20/76,48,5/6/24,16,1.33,"1 year, 4 months",House,K000402,,
Mike,Kennedy,Mike Kennedy,2/2/69,56,1/3/25,8,0.67,8 months,House,K000403,,
Ro,Khanna,Ro Khanna,9/13/76,49,1/3/17,104,8.67,"8 years, 8 months",House,K000389,,
Jen,Kiggans,Jen Kiggans,6/18/71,54,1/3/23,32,2.67,"2 years, 8 months",House,K000399,Navy,Yes
Kevin,Kiley,Kevin Kiley,1/30/85,40,1/3/23,32,2.67,"2 years, 8 months",House,K000401,,
Andy,Kim,Andy Kim,7/12/82,43,12/8/24,9,0.75,9 months,Senate,K000394,,
Young,Kim,Young Kim,10/18/62,62,1/3/21,56,4.67,"4 years, 8 months",House,K000397,,
Angus,King,Angus King,3/31/44,81,1/3/13,152,12.67,"12 years, 8 months",Senate,K000383,,
Amy,Klobuchar,Amy Klobuchar,5/25/60,65,1/3/07,224,18.67,"18 years, 8 months",Senate,K000367,,
Brad,Knott,Brad Knott,4/17/86,39,1/3/25,8,0.67,8 months,House,K000405,,
Raja,Krishnamoorthi,Raja Krishnamoorthi,7/19/73,52,1/3/17,104,8.67,"8 years, 8 months",House,K000391,,
David,Kustoff,David Kustoff,10/8/66,58,1/3/17,104,8.67,"8 years, 8 months",House,K000392,,
Darin,LaHood,Darin LaHood,7/5/68,57,9/17/15,120,10,10 years,House,L000585,,
Nick,LaLota,Nick LaLota,6/23/78,47,1/3/23,32,2.67,"2 years, 8 months",House,L000598,Navy,Yes
Doug,LaMalfa,Doug LaMalfa,7/2/60,65,1/3/13,152,12.67,"12 years, 8 months",House,L000578,,
Greg,Landsman,Greg Landsman,12/4/76,48,1/3/23,32,2.67,"2 years, 8 months",House,L000601,,
Nick,Langworthy,Nick Langworthy,2/27/81,44,1/3/23,32,2.67,"2 years, 8 months",House,L000600,,
James,Lankford,James Lankford,3/4/68,57,1/3/15,128,10.67,"10 years, 8 months",Senate,L000575,,
Rick,Larsen,Rick Larsen,6/15/65,60,1/3/01,296,24.67,"24 years, 8 months",House,L000560,,
John B.,Larson,John B. Larson,7/22/48,77,1/3/99,320,26.67,"26 years, 8 months",House,L000557,,
George,Latimer,George Latimer,11/22/53,71,1/3/25,8,0.67,8 months,House,L000606,,
Bob,Latta,Bob Latta,4/18/56,69,12/13/07,213,17.75,"17 years, 9 months",House,L000566,,
Mike,Lawler,Mike Lawler,9/9/86,39,1/3/23,32,2.67,"2 years, 8 months",House,L000599,,
Mike,Lee,Mike Lee,6/4/71,54,1/3/11,176,14.67,"14 years, 8 months",Senate,L000577,,
Laurel,Lee,Laurel Lee,3/26/74,51,1/3/23,32,2.67,"2 years, 8 months",House,L000597,,
Susie,Lee,Susie Lee,11/7/66,58,1/3/19,80,6.67,"6 years, 8 months",House,L000590,,
Summer,Lee,Summer Lee,11/26/87,37,1/3/23,32,2.67,"2 years, 8 months",House,L000602,,
Julia,Letlow,Julia Letlow,3/16/81,44,4/14/21,53,4.42,"4 years, 5 months",House,L000595,,
Mike,Levin,Mike Levin,10/20/78,46,1/3/19,80,6.67,"6 years, 8 months",House,L000593,,
Sam,Liccardo,Sam Liccardo,4/16/70,55,1/3/25,8,0.67,8 months,House,L000607,,
Ted,Lieu,Ted Lieu,3/29/69,56,1/3/15,128,10.67,"10 years, 8 months",House,L000582,Air Force Air Force Reserve,Yes
Zoe,Lofgren,Zoe Lofgren,12/21/47,77,1/3/95,368,30.67,"30 years, 8 months",House,L000397,,
Barry,Loudermilk,Barry Loudermilk,12/22/63,61,1/3/15,128,10.67,"10 years, 8 months",House,L000583,Air Force,Yes
Frank,Lucas,Frank Lucas,1/6/60,65,5/10/94,376,31.33,"31 years, 4 months",House,L000491,,
Ben Ray,Luján,Ben Ray Luján,6/7/72,53,1/3/21,56,4.67,"4 years, 8 months",Senate,L000570,,
Cynthia,Lummis,Cynthia Lummis,9/10/54,71,1/3/21,56,4.67,"4 years, 8 months",Senate,L000571,,
Anna Paulina,Luna,Anna Paulina Luna,5/6/89,36,1/3/23,32,2.67,"2 years, 8 months",House,L000596,Air Force Oregon Air National Guard,Yes
Morgan,Luttrell,Morgan Luttrell,11/7/75,49,1/3/23,32,2.67,"2 years, 8 months",House,L000603,Navy,Yes
Stephen F.,Lynch,Stephen F. Lynch,3/31/55,70,10/16/01,287,23.92,"23 years, 11 months",House,L000562,,
Nancy,Mace,Nancy Mace,12/4/77,47,1/3/21,56,4.67,"4 years, 8 months",House,M000194,,
Ryan,Mackenzie,Ryan Mackenzie,8/3/82,43,1/3/25,8,0.67,8 months,House,M001230,,
Seth,Magaziner,Seth Magaziner,7/22/83,42,1/3/23,32,2.67,"2 years, 8 months",House,M001223,,
Nicole,Malliotakis,Nicole Malliotakis,11/11/80,44,1/3/21,56,4.67,"4 years, 8 months",House,M000317,,
Celeste,Maloy,Celeste Maloy,5/22/81,44,11/28/23,22,1.83,"1 year, 10 months",House,M001228,,
Tracey,Mann,Tracey Mann,12/17/76,48,1/3/21,56,4.67,"4 years, 8 months",House,M000871,,
John,Mannion,John Mannion,7/8/68,57,1/3/25,8,0.67,8 months,House,M001231,,
Ed,Markey,Ed Markey,7/11/46,79,7/16/13,146,12.17,"12 years, 2 months",Senate,M000133,,
Roger,Marshall,Roger Marshall,8/9/60,65,1/3/21,56,4.67,"4 years, 8 months",Senate,M001198,,
Thomas,Massie,Thomas Massie,1/13/71,54,11/13/12,154,12.83,"12 years, 10 months",House,M001184,,
Brian,Mast,Brian Mast,7/10/80,45,1/3/17,104,8.67,"8 years, 8 months",House,M001199,Army,Yes
Doris,Matsui,Doris Matsui,9/25/44,81,3/10/05,246,20.5,"20 years, 6 months",House,M001163,,
Lucy,McBath,Lucy McBath,6/1/60,65,1/3/19,80,6.67,"6 years, 8 months",House,M001208,,
Sarah,McBride,Sarah McBride,8/9/90,35,1/3/25,8,0.67,8 months,House,M001238,,
Michael,McCaul,Michael McCaul,1/14/62,63,1/3/05,248,20.67,"20 years, 8 months",House,M001157,,
Lisa,McClain,Lisa McClain,4/7/66,59,1/3/21,56,4.67,"4 years, 8 months",House,M001136,,
Jennifer,McClellan,Jennifer McClellan,12/28/72,52,3/7/23,30,2.5,"2 years, 6 months",House,M001227,,
Tom,McClintock,Tom McClintock,7/10/56,69,1/3/09,200,16.67,"16 years, 8 months",House,M001177,,
Betty,McCollum,Betty McCollum,7/12/54,71,1/3/01,296,24.67,"24 years, 8 months",House,M001143,,
Mitch,McConnell,Mitch McConnell,2/20/42,83,1/3/85,488,40.67,"40 years, 8 months",Senate,M000355,,
Dave,McCormick,Dave McCormick,8/17/65,60,1/3/25,8,0.67,8 months,Senate,M001243,,
Rich,McCormick,Rich McCormick,10/7/68,56,1/3/23,32,2.67,"2 years, 8 months",House,M001218,Marine Corps Navy,Yes
Addison,McDowell,Addison McDowell,1/21/94,31,1/3/25,8,0.67,8 months,House,M001240,,
Morgan,McGarvey,Morgan McGarvey,12/23/79,45,1/3/23,32,2.67,"2 years, 8 months",House,M001220,,
Jim,McGovern,Jim McGovern,11/20/59,65,1/3/97,344,28.67,"28 years, 8 months",House,M000312,,
John,McGuire,John McGuire,8/24/68,57,1/3/25,8,0.67,8 months,House,M001239,Navy,Yes
LaMonica,McIver,LaMonica McIver,6/20/86,39,9/23/24,12,1,1 year,House,M001229,,
Gregory,Meeks,Gregory Meeks,9/25/53,72,2/5/98,331,27.58,"27 years, 7 months",House,M001137,,
Rob,Menendez,Rob Menendez,7/12/85,40,1/3/23,32,2.67,"2 years, 8 months",House,M001226,,
Grace,Meng,Grace Meng,10/1/75,49,1/3/13,152,12.67,"12 years, 8 months",House,M001188,,
Jeff,Merkley,Jeff Merkley,10/24/56,68,1/3/09,200,16.67,"16 years, 8 months",Senate,M001176,,
Mark,Messmer,Mark Messmer,12/16/67,57,1/3/25,8,0.67,8 months,House,M001233,,
Dan,Meuser,Dan Meuser,2/10/64,61,1/3/19,80,6.67,"6 years, 8 months",House,M001204,,
Kweisi,Mfume,Kweisi Mfume,10/24/48,76,5/5/20,64,5.33,"5 years, 4 months",House,M000687,,
Mary,Miller,Mary Miller,8/27/59,66,1/3/21,56,4.67,"4 years, 8 months",House,M001211,,
Max,Miller,Max Miller,11/13/88,36,1/3/23,32,2.67,"2 years, 8 months",House,M001222,Marine Corps Reserve,Yes
Carol,Miller,Carol Miller,11/4/50,74,1/3/19,80,6.67,"6 years, 8 months",House,M001205,,
Mariannette,Miller-Meeks,Mariannette Miller-Meeks,9/6/55,70,1/3/21,56,4.67,"4 years, 8 months",House,M001215,Army Army Reserve,Yes
Cory,Mills,Cory Mills,7/13/80,45,1/3/23,32,2.67,"2 years, 8 months",House,M001216,Army,Yes
Dave,Min,Dave Min,3/5/76,49,1/3/25,8,0.67,8 months,House,M001241,,
Ashley,Moody,Ashley Moody,3/28/75,50,1/21/25,8,0.67,8 months,Senate,M001244,,
John,Moolenaar,John Moolenaar,5/8/61,64,1/3/15,128,10.67,"10 years, 8 months",House,M001194,,
Barry,Moore,Barry Moore,9/26/66,59,1/3/21,56,4.67,"4 years, 8 months",House,M001212,Alabama National Guard Alabama Reserve,Yes
Tim,Moore,Tim Moore,10/2/70,54,1/3/25,8,0.67,8 months,House,M001236,,
Blake,Moore,Blake Moore,6/22/80,45,1/3/21,56,4.67,"4 years, 8 months",House,M001213,,
Riley,Moore,Riley Moore,7/1/80,45,1/3/25,8,0.67,8 months,House,M001235,,
Gwen,Moore,Gwen Moore,4/18/51,74,1/3/05,248,20.67,"20 years, 8 months",House,M001160,,
Jerry,Moran,Jerry Moran,5/29/54,71,1/3/11,176,14.67,"14 years, 8 months",Senate,M000934,,
Nathaniel,Moran,Nathaniel Moran,9/23/74,51,1/3/23,32,2.67,"2 years, 8 months",House,M001224,,
Joseph,Morelle,Joseph Morelle,4/29/57,68,11/13/18,82,6.83,"6 years, 10 months",House,M001206,,
Bernie,Moreno,Bernie Moreno,2/14/67,58,1/3/25,8,0.67,8 months,Senate,M001242,,
Kelly,Morrison,Kelly Morrison,2/2/69,56,1/3/25,8,0.67,8 months,House,M001234,,
Jared,Moskowitz,Jared Moskowitz,12/18/80,44,1/3/23,32,2.67,"2 years, 8 months",House,M001217,,
Seth,Moulton,Seth Moulton,10/24/78,46,1/3/15,128,10.67,"10 years, 8 months",House,M001196,Marine Corps,Yes
Frank J.,Mrvan,Frank J. Mrvan,4/16/69,56,1/3/21,56,4.67,"4 years, 8 months",House,M001214,,
Markwayne,Mullin,Markwayne Mullin,7/26/77,48,1/3/23,32,2.67,"2 years, 8 months",Senate,M001190,,
Kevin,Mullin,Kevin Mullin,6/15/70,55,1/3/23,32,2.67,"2 years, 8 months",House,M001225,,
Lisa,Murkowski,Lisa Murkowski,5/22/57,68,12/20/02,273,22.75,"22 years, 9 months",Senate,M001153,,
Chris,Murphy,Chris Murphy,8/3/73,52,1/3/13,152,12.67,"12 years, 8 months",Senate,M001169,,
Greg,Murphy,Greg Murphy,3/5/63,62,9/17/19,72,6,6 years,House,M001210,,
Patty,Murray,Patty Murray,10/11/50,74,1/3/93,392,32.67,"32 years, 8 months",Senate,M001111,,
Jerry,Nadler,Jerry Nadler,6/13/47,78,11/3/92,394,32.83,"32 years, 10 months",House,N000002,,
Richard,Neal,Richard Neal,2/14/49,76,1/3/89,440,36.67,"36 years, 8 months",House,N000015,,
Joe,Neguse,Joe Neguse,5/13/84,41,1/3/19,80,6.67,"6 years, 8 months",House,N000191,,
Troy,Nehls,Troy Nehls,4/7/68,57,1/3/21,56,4.67,"4 years, 8 months",House,N000026,Army Reserve Wisconsin National Guard,Yes
Dan,Newhouse,Dan Newhouse,7/10/55,70,1/3/15,128,10.67,"10 years, 8 months",House,N000189,,
Donald,Norcross,Donald Norcross,12/13/58,66,11/12/14,130,10.83,"10 years, 10 months",House,N000188,,
Ralph,Norman,Ralph Norman,6/20/53,72,6/20/17,99,8.25,"8 years, 3 months",House,N000190,,
Zach,Nunn,Zach Nunn,5/4/79,46,1/3/23,32,2.67,"2 years, 8 months",House,N000193,Air Force Air Force Reserve Iowa Air National Guard,Yes
Jay,Obernolte,Jay Obernolte,8/18/70,55,1/3/21,56,4.67,"4 years, 8 months",House,O000019,,
Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,10/13/89,35,1/3/19,80,6.67,"6 years, 8 months",House,O000172,,
Andy,Ogles,Andy Ogles,6/18/71,54,1/3/23,32,2.67,"2 years, 8 months",House,O000175,,
Johnny,Olszewski,Johnny Olszewski,9/10/82,43,1/3/25,8,0.67,8 months,House,O000176,,
Ilhan,Omar,Ilhan Omar,10/4/82,42,1/3/19,80,6.67,"6 years, 8 months",House,O000173,,
Bob,Onder,Bob Onder,1/6/62,63,1/3/25,8,0.67,8 months,House,O000177,,
Derrick Van,Orden,Derrick Van Orden,9/15/69,56,1/3/23,32,2.67,"2 years, 8 months",House,V000135,Navy,Yes
Jon,Ossoff,Jon Ossoff,2/16/87,38,1/20/21,56,4.67,"4 years, 8 months",Senate,O000174,,
Burgess,Owens,Burgess Owens,8/2/51,74,1/3/21,56,4.67,"4 years, 8 months",House,O000086,,
Alex,Padilla,Alex Padilla,3/22/73,52,1/20/21,56,4.67,"4 years, 8 months",Senate,P000145,,
Frank,Pallone,Frank Pallone,10/30/51,73,11/8/88,442,36.83,"36 years, 10 months",House,P000034,,
Gary,Palmer,Gary Palmer,5/14/54,71,1/3/15,128,10.67,"10 years, 8 months",House,P000609,,
Jimmy,Panetta,Jimmy Panetta,10/1/69,55,1/3/17,104,8.67,"8 years, 8 months",House,P000613,Navy Reserve,Yes
Chris,Pappas,Chris Pappas,6/4/80,45,1/3/19,80,6.67,"6 years, 8 months",House,P000614,,
Jimmy,Patronis,Jimmy Patronis,4/13/72,53,4/2/25,5,0.42,5 months,House,P000622,,
Rand,Paul,Rand Paul,1/7/63,62,1/3/11,176,14.67,"14 years, 8 months",Senate,P000603,,
Nancy,Pelosi,Nancy Pelosi,3/26/40,85,6/2/87,459,38.25,"38 years, 3 months",House,P000197,,
Marie Gluesenkamp,Perez,Marie Gluesenkamp Perez,6/6/88,37,1/3/23,32,2.67,"2 years, 8 months",House,G000600,,
Scott,Perry,Scott Perry,5/27/62,63,1/3/13,152,12.67,"12 years, 8 months",House,P000605,Army Pennsylvania Army National Guard,Yes
Gary,Peters,Gary Peters,12/1/58,66,1/3/15,128,10.67,"10 years, 8 months",Senate,P000595,,
Scott,Peters,Scott Peters,6/17/58,67,1/3/13,152,12.67,"12 years, 8 months",House,P000608,,
Brittany,Pettersen,Brittany Pettersen,12/6/81,43,1/3/23,32,2.67,"2 years, 8 months",House,P000620,,
August,Pfluger,August Pfluger,12/28/78,46,1/3/21,56,4.67,"4 years, 8 months",House,P000048,Air Force Air Force Reserve,Yes
Chellie,Pingree,Chellie Pingree,4/2/55,70,1/3/09,200,16.67,"16 years, 8 months",House,P000597,,
Mark,Pocan,Mark Pocan,8/14/64,61,1/3/13,152,12.67,"12 years, 8 months",House,P000607,,
Nellie,Pou,Nellie Pou,5/20/56,69,1/3/25,8,0.67,8 months,House,P000621,,
Ayanna,Pressley,Ayanna Pressley,2/3/74,51,1/3/19,80,6.67,"6 years, 8 months",House,P000617,,
Mike,Quigley,Mike Quigley,10/17/58,66,4/7/09,197,16.42,"16 years, 5 months",House,Q000023,,
Delia,Ramirez,Delia Ramirez,6/2/83,42,1/3/23,32,2.67,"2 years, 8 months",House,R000617,,
Emily,Randall,Emily Randall,10/3/85,39,1/3/25,8,0.67,8 months,House,R000621,,
Jamie,Raskin,Jamie Raskin,12/13/62,62,1/3/17,104,8.67,"8 years, 8 months",House,R000606,,
Jack,Reed,Jack Reed,11/12/49,75,1/3/97,344,28.67,"28 years, 8 months",Senate,R000122,,
Guy,Reschenthaler,Guy Reschenthaler,4/17/83,42,1/3/19,80,6.67,"6 years, 8 months",House,R000610,Navy,Yes
Pete,Ricketts,Pete Ricketts,8/19/64,61,1/12/23,32,2.67,"2 years, 8 months",Senate,R000618,,
Josh,Riley,Josh Riley,1/21/81,44,1/3/25,8,0.67,8 months,House,R000622,,
Jim,Risch,Jim Risch,5/3/43,82,1/3/09,200,16.67,"16 years, 8 months",Senate,R000584,,
Luz,Rivas,Luz Rivas,2/6/74,51,1/3/25,8,0.67,8 months,House,R000620,,
Kristen McDonald,Rivet,Kristen McDonald Rivet,7/11/70,55,1/3/25,8,0.67,8 months,House,M001237,,
Mike,Rogers,Mike Rogers,7/16/58,67,1/3/03,272,22.67,"22 years, 8 months",House,R000575,,
Hal,Rogers,Hal Rogers,12/31/37,87,1/3/81,536,44.67,"44 years, 8 months",House,R000395,Kentucky Army National Guard North Carolina Army National Guard,Yes
John,Rose,John Rose,2/23/65,60,1/3/19,80,6.67,"6 years, 8 months",House,R000612,,
Jacky,Rosen,Jacky Rosen,8/2/57,68,1/3/19,80,6.67,"6 years, 8 months",Senate,R000608,,
Deborah,Ross,Deborah Ross,6/20/63,62,1/3/21,56,4.67,"4 years, 8 months",House,R000305,,
Mike,Rounds,Mike Rounds,10/24/54,70,1/3/15,128,10.67,"10 years, 8 months",Senate,R000605,,
David,Rouzer,David Rouzer,2/16/72,53,1/3/15,128,10.67,"10 years, 8 months",House,R000603,,
Chip,Roy,Chip Roy,8/7/72,53,1/3/19,80,6.67,"6 years, 8 months",House,R000614,,
Raul,Ruiz,Raul Ruiz,8/25/72,53,1/3/13,152,12.67,"12 years, 8 months",House,R000599,,
Michael,Rulli,Michael Rulli,3/11/69,56,6/25/24,15,1.25,"1 year, 3 months",House,R000619,,
John,Rutherford,John Rutherford,9/2/52,73,1/3/17,104,8.67,"8 years, 8 months",House,R000609,,
Pat,Ryan,Pat Ryan,3/28/82,43,9/13/22,36,3,3 years,House,R000579,Army,Yes
Linda,Sánchez,Linda Sánchez,1/28/69,56,1/3/03,272,22.67,"22 years, 8 months",House,S001156,,
María Elvira,Salazar,María Elvira Salazar,11/1/61,63,1/3/21,56,4.67,"4 years, 8 months",House,S000168,,
Andrea,Salinas,Andrea Salinas,12/6/69,55,1/3/23,32,2.67,"2 years, 8 months",House,S001226,,
Bernie,Sanders,Bernie Sanders,9/8/41,84,1/3/07,224,18.67,"18 years, 8 months",Senate,S000033,,
Steve,Scalise,Steve Scalise,10/6/65,59,5/3/08,208,17.33,"17 years, 4 months",House,S001176,,
Mary Gay,Scanlon,Mary Gay Scanlon,8/30/59,66,11/13/18,82,6.83,"6 years, 10 months",House,S001205,,
Jan,Schakowsky,Jan Schakowsky,5/26/44,81,1/3/99,320,26.67,"26 years, 8 months",House,S001145,,
Brian,Schatz,Brian Schatz,10/20/72,52,12/26/12,153,12.75,"12 years, 9 months",Senate,S001194,,
Adam,Schiff,Adam Schiff,6/22/60,65,12/8/24,9,0.75,9 months,Senate,S001150,,
Derek,Schmidt,Derek Schmidt,1/23/68,57,1/3/25,8,0.67,8 months,House,S001228,,
Eric,Schmitt,Eric Schmitt,6/20/75,50,1/3/23,32,2.67,"2 years, 8 months",Senate,S001227,,
Brad,Schneider,Brad Schneider,8/20/61,64,1/3/17,104,8.67,"8 years, 8 months",House,S001190,,
Hillary,Scholten,Hillary Scholten,2/22/82,43,1/3/23,32,2.67,"2 years, 8 months",House,S001221,,
Kim,Schrier,Kim Schrier,8/23/68,57,1/3/19,80,6.67,"6 years, 8 months",House,S001216,,
Debbie Wasserman,Schultz,Debbie Wasserman Schultz,9/27/66,59,1/3/05,248,20.67,"20 years, 8 months",House,W000797,,
Chuck,Schumer,Chuck Schumer,11/23/50,74,1/3/99,320,26.67,"26 years, 8 months",Senate,S000148,,
David,Schweikert,David Schweikert,3/3/62,63,1/3/11,176,14.67,"14 years, 8 months",House,S001183,,
Rick,Scott,Rick Scott,12/1/52,72,1/8/19,80,6.67,"6 years, 8 months",Senate,S001217,,
Tim,Scott,Tim Scott,9/19/65,60,1/2/13,152,12.67,"12 years, 8 months",Senate,S001184,,
Austin,Scott,Austin Scott,12/10/69,55,1/3/11,176,14.67,"14 years, 8 months",House,S001189,,
David,Scott,David Scott,6/27/45,80,1/3/03,272,22.67,"22 years, 8 months",House,S001157,,
Bobby,Scott,Bobby Scott,4/30/47,78,1/3/93,392,32.67,"32 years, 8 months",House,S000185,Army Reserve Massachusetts National Guard,Yes
Keith,Self,Keith Self,3/20/53,72,1/3/23,32,2.67,"2 years, 8 months",House,S001224,Army,Yes
Pete,Sessions,Pete Sessions,3/22/55,70,1/3/21,56,4.67,"4 years, 8 months",House,S000250,,
Terri,Sewell,Terri Sewell,1/1/65,60,1/3/11,176,14.67,"14 years, 8 months",House,S001185,,
Jeanne,Shaheen,Jeanne Shaheen,1/28/47,78,1/3/09,200,16.67,"16 years, 8 months",Senate,S001181,,
Tim,Sheehy,Tim Sheehy,11/18/85,39,1/3/25,8,0.67,8 months,Senate,S001232,,
Brad,Sherman,Brad Sherman,10/24/54,70,1/3/97,344,28.67,"28 years, 8 months",House,S000344,,
Mikie,Sherrill,Mikie Sherrill,1/19/72,53,1/3/19,80,6.67,"6 years, 8 months",House,S001207,Navy,Yes
Jefferson,Shreve,Jefferson Shreve,9/24/65,60,1/3/25,8,0.67,8 months,House,S001229,,
Lateefah,Simon,Lateefah Simon,1/29/77,48,1/3/25,8,0.67,8 months,House,S001231,,
Mike,Simpson,Mike Simpson,9/8/50,75,1/3/99,320,26.67,"26 years, 8 months",House,S001148,,
Elissa,Slotkin,Elissa Slotkin,7/10/76,49,1/3/25,8,0.67,8 months,Senate,S001208,,
Tina,Smith,Tina Smith,3/4/58,67,1/3/18,92,7.67,"7 years, 8 months",Senate,S001203,,
Jason,Smith,Jason Smith,6/16/80,45,6/4/13,147,12.25,"12 years, 3 months",House,S001195,,
Adrian,Smith,Adrian Smith,12/19/70,54,1/3/07,224,18.67,"18 years, 8 months",House,S001172,,
Chris,Smith,Chris Smith,3/4/53,72,1/3/81,536,44.67,"44 years, 8 months",House,S000522,,
Adam,Smith,Adam Smith,6/15/65,60,1/3/97,344,28.67,"28 years, 8 months",House,S000510,,
Lloyd,Smucker,Lloyd Smucker,1/23/64,61,1/3/17,104,8.67,"8 years, 8 months",House,S001199,,
Eric,Sorensen,Eric Sorensen,3/18/76,49,1/3/23,32,2.67,"2 years, 8 months",House,S001225,,
Darren,Soto,Darren Soto,2/25/78,47,1/3/17,104,8.67,"8 years, 8 months",House,S001200,,
Victoria,Spartz,Victoria Spartz,10/6/78,46,1/3/21,56,4.67,"4 years, 8 months",House,S000929,,
Melanie,Stansbury,Melanie Stansbury,1/31/79,46,6/14/21,51,4.25,"4 years, 3 months",House,S001218,,
Greg,Stanton,Greg Stanton,3/8/70,55,1/3/19,80,6.67,"6 years, 8 months",House,S001211,,
Pete,Stauber,Pete Stauber,5/10/66,59,1/3/19,80,6.67,"6 years, 8 months",House,S001212,,
Elise,Stefanik,Elise Stefanik,7/2/84,41,1/3/15,128,10.67,"10 years, 8 months",House,S001196,,
Bryan,Steil,Bryan Steil,3/3/81,44,1/3/19,80,6.67,"6 years, 8 months",House,S001213,,
Greg,Steube,Greg Steube,5/19/78,47,1/3/19,80,6.67,"6 years, 8 months",House,S001214,Army,Yes
Haley,Stevens,Haley Stevens,6/24/83,42,1/3/19,80,6.67,"6 years, 8 months",House,S001215,,
Marilyn,Strickland,Marilyn Strickland,9/25/62,63,1/3/21,56,4.67,"4 years, 8 months",House,S001159,,
Dale,Strong,Dale Strong,5/8/70,55,1/3/23,32,2.67,"2 years, 8 months",House,S001220,,
Marlin,Stutzman,Marlin Stutzman,8/31/76,49,1/3/25,8,0.67,8 months,House,S001188,,
Suhas,Subramanyam,Suhas Subramanyam,9/26/86,39,1/3/25,8,0.67,8 months,House,S001230,,
Dan,Sullivan,Dan Sullivan,11/13/64,60,1/3/15,128,10.67,"10 years, 8 months",Senate,S001198,,
Tom,Suozzi,Tom Suozzi,8/31/62,63,2/28/24,19,1.58,"1 year, 7 months",House,S001201,,
Eric,Swalwell,Eric Swalwell,11/16/80,44,1/3/13,152,12.67,"12 years, 8 months",House,S001193,,
Emilia,Sykes,Emilia Sykes,1/4/86,39,1/3/23,32,2.67,"2 years, 8 months",House,S001223,,
Mark,Takano,Mark Takano,12/10/60,64,1/3/13,152,12.67,"12 years, 8 months",House,T000472,,
David,Taylor,David Taylor,11/16/69,55,1/3/25,8,0.67,8 months,House,T000490,,
Claudia,Tenney,Claudia Tenney,2/4/61,64,1/3/21,56,4.67,"4 years, 8 months",House,T000478,,
Shri,Thanedar,Shri Thanedar,2/22/55,70,1/3/23,32,2.67,"2 years, 8 months",House,T000488,,
Mike,Thompson,Mike Thompson,1/24/51,74,1/3/99,320,26.67,"26 years, 8 months",House,T000460,Army,Yes
Bennie,Thompson,Bennie Thompson,1/28/48,77,4/13/93,389,32.42,"32 years, 5 months",House,T000193,,
Glenn,Thompson,Glenn Thompson,7/27/59,66,1/3/09,200,16.67,"16 years, 8 months",House,T000467,,
John,Thune,John Thune,1/7/61,64,1/3/05,248,20.67,"20 years, 8 months",Senate,T000250,,
Tom,Tiffany,Tom Tiffany,12/30/57,67,5/19/20,64,5.33,"5 years, 4 months",House,T000165,,
Thom,Tillis,Thom Tillis,8/30/60,65,1/3/15,128,10.67,"10 years, 8 months",Senate,T000476,,
William,Timmons,William Timmons,4/30/84,41,1/3/19,80,6.67,"6 years, 8 months",House,T000480,South Carolina Air National Guard,Yes
Dina,Titus,Dina Titus,5/23/50,75,1/3/13,152,12.67,"12 years, 8 months",House,T000468,,
