first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,bioguide_id,military_service,has_military_service,education
Sylvia,Garcia,Sylvia Garcia,9/6/50,75,1/3/19,80,6.67,"6 years, 8 months",House,G000587,,,Texas Woman's University ( BA ) Texas Southern University ( JD )
Brandon,Gill,Brandon Gill,2/26/94,31,1/3/25,8,0.67,8 months,House,G000603,,,Dartmouth College ( BS )
Laura,Gillen,Laura Gillen,7/10/69,56,1/3/25,8,0.67,8 months,House,G000602,,,Georgetown University ( BA ) New York University ( JD )
Kirsten,Gillibrand,Kirsten Gillibrand,12/9/66,58,1/26/09,200,16.67,"16 years, 8 months",Senate,G000555,,,
Carlos,Giménez,Carlos Giménez,1/17/54,71,1/3/21,56,4.67,"4 years, 8 months",House,G000593,,,Barry University (BPA)
Jared,Golden,Jared Golden,7/25/82,43,1/3/19,80,6.67,"6 years, 8 months",House,G000592,Marine Corps,Yes,"University of Maine, Farmington Bates College ( BA )"
Dan,Goldman,Dan Goldman,2/26/76,49,1/3/23,32,2.67,"2 years, 8 months",House,,,,Yale University ( BA ) Stanford University ( JD )
Craig,Goldman,Craig Goldman,10/3/68,56,1/3/25,8,0.67,8 months,House,G000601,,,University of Texas at Austin ( BA )
Jimmy,Gomez,Jimmy Gomez,11/25/74,50,7/11/17,98,8.17,"8 years, 2 months",House,G000585,,,"University of California, Los Angeles ( BA ) Harvard University ( MPP )"
Tony,Gonzales,Tony Gonzales,10/10/80,44,1/3/21,56,4.67,"4 years, 8 months",House,G000594,Navy,Yes,Chaminade University ( AA ) Excelsior College ( BS ) American Public University ( MA )
Vicente,Gonzalez,Vicente Gonzalez,9/4/67,58,1/3/17,104,8.67,"8 years, 8 months",House,G000581,,,Embry–Riddle Aeronautical University ( BA ) Texas Wesleyan University ( JD )
Lance,Gooden,Lance Gooden,12/1/82,42,1/3/19,80,6.67,"6 years, 8 months",House,G000589,,,"University of Texas, Austin ( BA , BBA )"
Maggie,Goodlander,Maggie Goodlander,11/4/86,38,1/3/25,8,0.67,8 months,House,G000604,Navy Reserve,Yes,"Yale University ( BA , JD )"
Paul,Gosar,Paul Gosar,11/27/58,66,1/3/11,176,14.67,"14 years, 8 months",House,G000565,,,"Creighton University ( BS , DDS )"
Josh,Gottheimer,Josh Gottheimer,3/8/75,50,1/3/17,104,8.67,"8 years, 8 months",House,G000583,,,"University of Pennsylvania ( BA ) Pembroke College, Oxford Harvard University ( JD )"
Lindsey,Graham,Lindsey Graham,7/9/55,70,1/3/03,272,22.67,"22 years, 8 months",Senate,G000359,,,"University of South Carolina ( BA , JD )"
Chuck,Grassley,Chuck Grassley,9/17/33,92,1/3/81,536,44.67,"44 years, 8 months",Senate,G000386,,,"University of Northern Iowa ( BA , MA ) University of Iowa"
Sam,Graves,Sam Graves,11/7/63,61,1/3/01,296,24.67,"24 years, 8 months",House,G000546,,,University of Missouri ( BS )
Adam,Gray,Adam Gray,9/23/77,48,1/3/25,8,0.67,8 months,House,G000605,,,"Merced College University of California, Santa Barbara ( BA )"
Al,Green,Al Green,9/1/47,78,1/3/05,248,20.67,"20 years, 8 months",House,G000553,,,Florida A&M University Tuskegee University ( BA ) Texas Southern University ( JD )
Marjorie Taylor,Greene,Marjorie Taylor Greene,5/27/74,51,1/3/21,56,4.67,"4 years, 8 months",House,,,,University of Georgia ( BBA )
Morgan,Griffith,Morgan Griffith,3/15/58,67,1/3/11,176,14.67,"14 years, 8 months",House,,,,Emory and Henry College ( BA ) Washington and Lee University ( JD )
Glenn,Grothman,Glenn Grothman,7/3/55,70,1/3/15,128,10.67,"10 years, 8 months",House,G000576,,,"University of Wisconsin–Madison ( BA , JD )"
Michael,Guest,Michael Guest,2/4/70,55,1/3/19,80,6.67,"6 years, 8 months",House,G000591,,,Mississippi State University ( BS ) University of Mississippi ( JD )
Brett,Guthrie,Brett Guthrie,2/18/64,61,1/3/09,200,16.67,"16 years, 8 months",House,G000558,Army Army Reserve,Yes,United States Military Academy ( BS ) Yale University ( MBA )
Harriet,Hageman,Harriet Hageman,10/18/62,62,1/3/23,32,2.67,"2 years, 8 months",House,H001096,,,"University of Wyoming ( BS , JD )"
Bill,Hagerty,Bill Hagerty,8/14/59,66,1/3/21,56,4.67,"4 years, 8 months",Senate,H000601,,,
Abraham,Hamadeh,Abraham Hamadeh,5/15/91,34,1/3/25,8,0.67,8 months,House,H001098,Army Reserve,Yes,Arizona State University ( BA ) University of Arizona ( JD )
Josh,Harder,Josh Harder,8/1/86,39,1/3/19,80,6.67,"6 years, 8 months",House,H001090,,,"Stanford University ( BA ) Harvard University ( MBA , MPP )"
Mike,Haridopolos,Mike Haridopolos,3/15/70,55,1/3/25,8,0.67,8 months,House,H001099,,,Stetson University ( BA ) University of Arkansas ( MA )
Pat,Harrigan,Pat Harrigan,6/21/87,38,1/3/25,8,0.67,8 months,House,H001101,Army,Yes,United States Military Academy ( BS )
Andy,Harris,Andy Harris,1/25/57,68,1/3/11,176,14.67,"14 years, 8 months",House,H001052,Navy Reserve,Yes,"Johns Hopkins University ( BS , MD , MHS )"
Mark,Harris,Mark Harris,4/24/66,59,1/3/25,8,0.67,8 months,House,H001102,,,"Appalachian State University ( BA ) Southern Baptist Theological Seminary ( MDiv , DMin )"
Diana,Harshbarger,Diana Harshbarger,1/1/60,65,1/3/21,56,4.67,"4 years, 8 months",House,H001086,,,East Tennessee State University ( BS ) Mercer University ( PharmD )
Maggie,Hassan,Maggie Hassan,2/27/58,67,1/3/17,104,8.67,"8 years, 8 months",Senate,H001076,,,
Josh,Hawley,Josh Hawley,12/31/79,45,1/3/19,80,6.67,"6 years, 8 months",Senate,H001089,,,Stanford University ( BA ) Yale University ( JD )
Jahana,Hayes,Jahana Hayes,3/8/73,52,1/3/19,80,6.67,"6 years, 8 months",House,H001081,,,Naugatuck Valley Community College Southern Connecticut State University ( BA ) University of Saint Joseph ( MA ) University of Bridgeport ( SYC )
Martin,Heinrich,Martin Heinrich,10/17/71,53,1/3/13,152,12.67,"12 years, 8 months",Senate,H001046,,,University of Missouri ( BS )
Kevin,Hern,Kevin Hern,12/4/61,63,11/13/18,82,6.83,"6 years, 10 months",House,H001082,,,"Arkansas Tech University ( BS ) Georgia Institute of Technology University of Arkansas, Little Rock ( MBA )"
John,Hickenlooper,John Hickenlooper,2/7/52,73,1/3/21,56,4.67,"4 years, 8 months",Senate,H000273,,,
Clay,Higgins,Clay Higgins,8/24/61,64,1/3/17,104,8.67,"8 years, 8 months",House,H001077,Army Louisiana National Guard,Yes,Louisiana State University
French,Hill,French Hill,12/5/56,68,1/3/15,128,10.67,"10 years, 8 months",House,,,,Vanderbilt University ( BS )
Jim,Himes,Jim Himes,7/5/66,59,1/3/09,200,16.67,"16 years, 8 months",House,,,,"Harvard University ( BA ) St Edmund Hall, Oxford ( MPhil )"
Ashley,Hinson,Ashley Hinson,6/27/83,42,1/3/21,56,4.67,"4 years, 8 months",House,H001091,,,University of Southern California ( BA )
Mazie,Hirono,Mazie Hirono,11/3/47,77,1/3/13,152,12.67,"12 years, 8 months",Senate,H001042,,,
John,Hoeven,John Hoeven,3/13/57,68,1/3/11,176,14.67,"14 years, 8 months",Senate,H001061,,,Dartmouth College ( BA ) Northwestern University ( MBA )
Steven,Horsford,Steven Horsford,4/29/73,52,1/3/19,80,6.67,"6 years, 8 months",House,H001066,,,"University of Nevada, Reno ( BA )"
Erin,Houchin,Erin Houchin,9/24/76,49,1/3/23,32,2.67,"2 years, 8 months",House,H001093,,,"Indiana University, Bloomington ( BS ) George Washington University ( MA )"
Chrissy,Houlahan,Chrissy Houlahan,6/5/67,58,1/3/19,80,6.67,"6 years, 8 months",House,H001085,Air Force Air Force Reserve,Yes,Stanford University ( BS ) Massachusetts Institute of Technology ( MS )
Steny,Hoyer,Steny Hoyer,6/14/39,86,5/19/81,532,44.33,"44 years, 4 months",House,H000874,,,"University of Maryland, College Park ( BA ) Georgetown University ( JD )"
Val,Hoyle,Val Hoyle,2/14/64,61,1/3/23,32,2.67,"2 years, 8 months",House,H001094,,,Emmanuel College ( BA )
Richard,Hudson,Richard Hudson,11/4/71,53,1/3/13,152,12.67,"12 years, 8 months",House,H001067,,,University of North Carolina at Charlotte ( BA )
Jared,Huffman,Jared Huffman,2/18/64,61,1/3/13,152,12.67,"12 years, 8 months",House,H001068,,,"University of California, Santa Barbara ( BA ) Boston College ( JD )"
Bill,Huizenga,Bill Huizenga,1/31/69,56,1/3/11,176,14.67,"14 years, 8 months",House,H001058,,,Calvin College ( BA )
Wesley,Hunt,Wesley Hunt,11/13/81,43,1/3/23,32,2.67,"2 years, 8 months",House,H001095,Army,Yes,"United States Military Academy ( BS ) Cornell University ( MBA , MPA , MA )"
Jeff,Hurd,Jeff Hurd,8/15/79,46,1/3/25,8,0.67,8 months,House,H001100,,,University of Notre Dame ( BA ) University of Denver ( JD ) Columbia University ( LL.M )
Jon,Husted,Jon Husted,8/25/67,58,1/21/25,8,0.67,8 months,Senate,H001104,,,
Cindy,Hyde-Smith,Cindy Hyde-Smith,5/10/59,66,4/9/18,89,7.42,"7 years, 5 months",Senate,H001079,,,
Nick Begich,III,Nick Begich III,10/27/77,47,1/3/25,8,0.67,8 months,House,,,,Baylor University ( BBA ) Indiana University Bloomington ( MBA )
Darrell,Issa,Darrell Issa,11/1/53,71,1/3/21,56,4.67,"4 years, 8 months",House,I000056,Army,Yes,Siena Heights University ( BA )
Glenn,Ivey,Glenn Ivey,2/27/61,64,1/3/23,32,2.67,"2 years, 8 months",House,I000058,,,Princeton University ( BA ) Harvard University ( JD )
Brian,Jack,Brian Jack,2/17/88,37,1/3/25,8,0.67,8 months,House,J000311,,,Pepperdine University ( BA )
Jonathan,Jackson,Jonathan Jackson,1/7/66,59,1/3/23,32,2.67,"2 years, 8 months",House,J000309,,,North Carolina A&T State University ( BA ) Northwestern University ( MBA )
Ronny,Jackson,Ronny Jackson,5/4/67,58,1/3/21,56,4.67,"4 years, 8 months",House,J000304,Navy Navy Reserve,Yes,Texas A&M University ( BS ) University of Texas Medical Branch ( MD )
Sara,Jacobs,Sara Jacobs,2/1/89,36,1/3/21,56,4.67,"4 years, 8 months",House,J000305,,,"Columbia University ( BA , MIA )"
John,James,John James,6/8/81,44,1/3/23,32,2.67,"2 years, 8 months",House,J000307,Army,Yes,United States Military Academy ( BS ) University of Michigan ( MBA ) Pennsylvania State University ( MS )
Pramila,Jayapal,Pramila Jayapal,9/21/65,60,1/3/17,104,8.67,"8 years, 8 months",House,J000298,,,Georgetown University ( BA ) Northwestern University ( MBA )
Hakeem,Jeffries,Hakeem Jeffries,8/4/70,55,1/3/13,152,12.67,"12 years, 8 months",House,J000294,,,Binghamton University ( BA ) Georgetown University ( MPP ) New York University ( JD )
Ron,Johnson,Ron Johnson,4/8/55,70,1/3/11,176,14.67,"14 years, 8 months",Senate,J000293,,,University of Minnesota ( BS )
Hank,Johnson,Hank Johnson,10/2/54,70,1/3/07,224,18.67,"18 years, 8 months",House,,,,Clark Atlanta University ( BA ) Texas Southern University ( JD )
Mike,Johnson,Mike Johnson,1/30/72,53,1/3/17,104,8.67,"8 years, 8 months",House,J000299,,,"Louisiana State University ( BA , JD )"
Dusty,Johnson,Dusty Johnson,9/30/76,48,1/3/19,80,6.67,"6 years, 8 months",House,J000301,,,University of South Dakota ( BA ) University of Kansas ( MPA )
Julie,Johnson,Julie Johnson,5/2/66,59,1/3/25,8,0.67,8 months,House,J000310,,,University of Texas at Austin ( BA ) University of Houston ( JD )
Jim,Jordan,Jim Jordan,2/17/64,61,1/3/07,224,18.67,"18 years, 8 months",House,J000289,,,University of Wisconsin–Madison ( BS ) Ohio State University ( MA ) Capital University ( JD )
David,Joyce,David Joyce,3/17/57,68,1/3/13,152,12.67,"12 years, 8 months",House,J000295,,,"University of Dayton ( BS , JD )"
John,Joyce,John Joyce,2/8/57,68,1/3/19,80,6.67,"6 years, 8 months",House,J000302,,,"Pennsylvania State University, Altoona Pennsylvania State University, University Park ( BS ) Temple University ( MD )"
Thomas Kean,Jr.,Thomas Kean Jr.,9/5/68,57,1/3/23,32,2.67,"2 years, 8 months",House,,,,Dartmouth College ( BA ) Tufts University ( MA )
Jim,Justice,Jim Justice,4/27/51,74,1/14/25,8,0.67,8 months,Senate,,,,
Tim,Kaine,Tim Kaine,2/26/58,67,1/3/13,152,12.67,"12 years, 8 months",Senate,,,,
Sydney,Kamlager-Dove,Sydney Kamlager-Dove,7/20/72,53,1/3/23,32,2.67,"2 years, 8 months",House,K000400,,,Compton College University of Southern California ( BA ) Carnegie Mellon University ( MA )
Marcy,Kaptur,Marcy Kaptur,6/17/46,79,1/3/83,512,42.67,"42 years, 8 months",House,K000009,,,University of Wisconsin–Madison ( BA ) University of Michigan ( MUP ) Massachusetts Institute of Technology
Bill,Keating,Bill Keating,9/6/52,73,1/3/11,176,14.67,"14 years, 8 months",House,,,,"Boston College ( BA , MBA ) Suffolk University ( JD )"
Mark,Kelly,Mark Kelly,2/21/64,61,12/2/20,57,4.75,"4 years, 9 months",Senate,K000377,,,United States Merchant Marine Academy ( BS ) Naval Postgraduate School ( MS )
Robin,Kelly,Robin Kelly,4/30/56,69,4/11/13,149,12.42,"12 years, 5 months",House,K000385,,,"Bradley University ( BA , MA ) Northern Illinois University ( PhD )"
Trent,Kelly,Trent Kelly,3/1/66,59,6/2/15,123,10.25,"10 years, 3 months",House,K000388,Mississippi Army National Guard,Yes,"East Central Community College University of Mississippi ( BA , JD ) United States Army War College ( MA )"
Mike,Kelly,Mike Kelly,5/10/48,77,1/3/11,176,14.67,"14 years, 8 months",House,K000376,,,University of Notre Dame ( BA )
John,Kennedy,John Kennedy,11/21/51,73,1/3/17,104,8.67,"8 years, 8 months",Senate,K000393,,,
Tim,Kennedy,Tim Kennedy,10/20/76,48,5/6/24,16,1.33,"1 year, 4 months",House,,,,"D'Youville University ( BA , MS )"
Mike,Kennedy,Mike Kennedy,2/2/69,56,1/3/25,8,0.67,8 months,House,K000403,,,"Brigham Young University ( BS , JD ) Michigan State University ( MD )"
Ro,Khanna,Ro Khanna,9/13/76,49,1/3/17,104,8.67,"8 years, 8 months",House,K000389,,,University of Chicago ( BA ) Yale University ( JD )
Jen,Kiggans,Jen Kiggans,6/18/71,54,1/3/23,32,2.67,"2 years, 8 months",House,,Navy,Yes,Old Dominion University ( BSN ) Vanderbilt University ( MSN )
Kevin,Kiley,Kevin Kiley,1/30/85,40,1/3/23,32,2.67,"2 years, 8 months",House,K000401,,,Harvard University ( BA ) Yale University ( JD ) Loyola Marymount University ( MA )
Andy,Kim,Andy Kim,7/12/82,43,12/8/24,9,0.75,9 months,Senate,K000394,,,
Young,Kim,Young Kim,10/18/62,62,1/3/21,56,4.67,"4 years, 8 months",House,K000397,,,University of Southern California ( BBA )
Angus,King,Angus King,3/31/44,81,1/3/13,152,12.67,"12 years, 8 months",Senate,K000383,,,
Amy,Klobuchar,Amy Klobuchar,5/25/60,65,1/3/07,224,18.67,"18 years, 8 months",Senate,K000367,,,Yale University ( BA ) University of Chicago ( JD )
Brad,Knott,Brad Knott,4/17/86,39,1/3/25,8,0.67,8 months,House,K000405,,,Baylor University ( BA ) Wake Forest University ( JD )
Raja,Krishnamoorthi,Raja Krishnamoorthi,7/19/73,52,1/3/17,104,8.67,"8 years, 8 months",House,K000391,,,Princeton University ( BS ) Harvard University ( JD )
David,Kustoff,David Kustoff,10/8/66,58,1/3/17,104,8.67,"8 years, 8 months",House,K000392,,,"University of Memphis ( BA , JD )"
Darin,LaHood,Darin LaHood,7/5/68,57,9/17/15,120,10,10 years,House,L000585,,,"Loras College ( BA ) John Marshall Law School, Chicago ( JD )"
Nick,LaLota,Nick LaLota,6/23/78,47,1/3/23,32,2.67,"2 years, 8 months",House,L000598,Navy,Yes,"United States Naval Academy ( BS ) Hofstra University ( JD , MBA )"
Doug,LaMalfa,Doug LaMalfa,7/2/60,65,1/3/13,152,12.67,"12 years, 8 months",House,L000578,,,Butte College California Polytechnic State University ( BS )
Greg,Landsman,Greg Landsman,12/4/76,48,1/3/23,32,2.67,"2 years, 8 months",House,L000601,,,Ohio University ( BA ) Harvard University ( MA )
Nick,Langworthy,Nick Langworthy,2/27/81,44,1/3/23,32,2.67,"2 years, 8 months",House,,,,Niagara University ( BA )
James,Lankford,James Lankford,3/4/68,57,1/3/15,128,10.67,"10 years, 8 months",Senate,L000575,,,"University of Texas, Austin ( BS ) Southwestern Baptist Theological Seminary ( MDiv )"
Rick,Larsen,Rick Larsen,6/15/65,60,1/3/01,296,24.67,"24 years, 8 months",House,L000560,,,Pacific Lutheran University ( BA ) University of Minnesota ( MPA )
John B.,Larson,John B. Larson,7/22/48,77,1/3/99,320,26.67,"26 years, 8 months",House,,,,Central Connecticut State University ( BA )
George,Latimer,George Latimer,11/22/53,71,1/3/25,8,0.67,8 months,House,L000606,,,Fordham University ( BA ) New York University ( MPA )
Bob,Latta,Bob Latta,4/18/56,69,12/13/07,213,17.75,"17 years, 9 months",House,,,,Bowling Green State University ( BA ) University of Toledo ( JD )
Mike,Lawler,Mike Lawler,9/9/86,39,1/3/23,32,2.67,"2 years, 8 months",House,,,,Manhattan College ( BS )
Mike,Lee,Mike Lee,6/4/71,54,1/3/11,176,14.67,"14 years, 8 months",Senate,L000577,,,"Brigham Young University ( BA , JD )"
Laurel,Lee,Laurel Lee,3/26/74,51,1/3/23,32,2.67,"2 years, 8 months",House,L000597,,,"University of Florida ( BA , JD )"
Susie,Lee,Susie Lee,11/7/66,58,1/3/19,80,6.67,"6 years, 8 months",House,L000590,,,"Carnegie Mellon University ( BA , MS )"
Summer,Lee,Summer Lee,11/26/87,37,1/3/23,32,2.67,"2 years, 8 months",House,L000602,,,Pennsylvania State University ( BA ) Howard University ( JD )
Julia,Letlow,Julia Letlow,3/16/81,44,4/14/21,53,4.42,"4 years, 5 months",House,L000595,,,"University of Louisiana at Monroe ( BA , MA ) University of South Florida ( PhD )"
Mike,Levin,Mike Levin,10/20/78,46,1/3/19,80,6.67,"6 years, 8 months",House,L000593,,,Stanford University ( BA ) Duke University ( JD )
Sam,Liccardo,Sam Liccardo,4/16/70,55,1/3/25,8,0.67,8 months,House,L000607,,,"Georgetown University ( BA ) Harvard University ( MPP , JD )"
Ted,Lieu,Ted Lieu,3/29/69,56,1/3/15,128,10.67,"10 years, 8 months",House,L000582,Air Force Air Force Reserve,Yes,"Stanford University ( BA , BS ) Georgetown University ( JD )"
Zoe,Lofgren,Zoe Lofgren,12/21/47,77,1/3/95,368,30.67,"30 years, 8 months",House,L000397,,,Stanford University ( BA ) Santa Clara University ( JD )
Barry,Loudermilk,Barry Loudermilk,12/22/63,61,1/3/15,128,10.67,"10 years, 8 months",House,L000583,Air Force,Yes,Air University Wayland Baptist University ( BS )
Frank,Lucas,Frank Lucas,1/6/60,65,5/10/94,376,31.33,"31 years, 4 months",House,L000491,,,Oklahoma State University–Stillwater ( BS )
Ben Ray,Luján,Ben Ray Luján,6/7/72,53,1/3/21,56,4.67,"4 years, 8 months",Senate,,,,
Cynthia,Lummis,Cynthia Lummis,9/10/54,71,1/3/21,56,4.67,"4 years, 8 months",Senate,L000571,,,
Anna Paulina,Luna,Anna Paulina Luna,5/6/89,36,1/3/23,32,2.67,"2 years, 8 months",House,L000596,Air Force Oregon Air National Guard,Yes,University of West Florida ( BS )
Morgan,Luttrell,Morgan Luttrell,11/7/75,49,1/3/23,32,2.67,"2 years, 8 months",House,L000603,Navy,Yes,Sam Houston State University ( BS ) University of Texas at Dallas ( MA )
Stephen F.,Lynch,Stephen F. Lynch,3/31/55,70,10/16/01,287,23.92,"23 years, 11 months",House,,,,Wentworth Institute of Technology ( BS ) Boston College ( JD ) Harvard University ( MPA )
Nancy,Mace,Nancy Mace,12/4/77,47,1/3/21,56,4.67,"4 years, 8 months",House,M000194,,,The Citadel ( BS ) University of Georgia ( MS )
Ryan,Mackenzie,Ryan Mackenzie,8/3/82,43,1/3/25,8,0.67,8 months,House,M001230,,,New York University ( BS ) Harvard University ( MBA )
Seth,Magaziner,Seth Magaziner,7/22/83,42,1/3/23,32,2.67,"2 years, 8 months",House,M001223,,,Brown University ( BA ) Yale University ( MBA )
Nicole,Malliotakis,Nicole Malliotakis,11/11/80,44,1/3/21,56,4.67,"4 years, 8 months",House,M000317,,,Seton Hall University ( BA ) Wagner College ( MBA )
Celeste,Maloy,Celeste Maloy,5/22/81,44,11/28/23,22,1.83,"1 year, 10 months",House,M001228,,,Southern Utah University ( BS ) Brigham Young University ( JD )
Tracey,Mann,Tracey Mann,12/17/76,48,1/3/21,56,4.67,"4 years, 8 months",House,M000871,,,Kansas State University ( BS )
John,Mannion,John Mannion,7/8/68,57,1/3/25,8,0.67,8 months,House,M001231,,,State University of New York at Binghamton ( BS ) State University of New York at Oswego ( MS )
Ed,Markey,Ed Markey,7/11/46,79,7/16/13,146,12.17,"12 years, 2 months",Senate,,,,
Roger,Marshall,Roger Marshall,8/9/60,65,1/3/21,56,4.67,"4 years, 8 months",Senate,M001198,,,
Thomas,Massie,Thomas Massie,1/13/71,54,11/13/12,154,12.83,"12 years, 10 months",House,M001184,,,"Massachusetts Institute of Technology ( BS , MS )"
Brian,Mast,Brian Mast,7/10/80,45,1/3/17,104,8.67,"8 years, 8 months",House,M001199,Army,Yes,Palm Beach Atlantic University American Military University Harvard University ( BLA )
Doris,Matsui,Doris Matsui,9/25/44,81,3/10/05,246,20.5,"20 years, 6 months",House,M001163,,,"University of California, Berkeley ( BA )"
Lucy,McBath,Lucy McBath,6/1/60,65,1/3/19,80,6.67,"6 years, 8 months",House,M001208,,,Virginia State University ( BA )
Sarah,McBride,Sarah McBride,8/9/90,35,1/3/25,8,0.67,8 months,House,M001238,,,American University ( BA )
Michael,McCaul,Michael McCaul,1/14/62,63,1/3/05,248,20.67,"20 years, 8 months",House,M001157,,,"Trinity University ( BA ) St. Mary's University, Texas ( JD )"
Lisa,McClain,Lisa McClain,4/7/66,59,1/3/21,56,4.67,"4 years, 8 months",House,M001136,,,Lansing Community College Northwood University ( BA )
Jennifer,McClellan,Jennifer McClellan,12/28/72,52,3/7/23,30,2.5,"2 years, 6 months",House,M001227,,,University of Richmond ( BA ) University of Virginia ( JD )
Tom,McClintock,Tom McClintock,7/10/56,69,1/3/09,200,16.67,"16 years, 8 months",House,M001177,,,"University of California, Los Angeles ( BA )"
Betty,McCollum,Betty McCollum,7/12/54,71,1/3/01,296,24.67,"24 years, 8 months",House,M001143,,,St. Catherine University ( BA )
Mitch,McConnell,Mitch McConnell,2/20/42,83,1/3/85,488,40.67,"40 years, 8 months",Senate,M000355,,,University of Louisville ( BA ) University of Kentucky ( JD )
Dave,McCormick,Dave McCormick,8/17/65,60,1/3/25,8,0.67,8 months,Senate,,,,
Rich,McCormick,Rich McCormick,10/7/68,56,1/3/23,32,2.67,"2 years, 8 months",House,,Marine Corps Navy,Yes,Oregon State University ( BS ) Morehouse School of Medicine ( MD ) National University ( MBA )
Addison,McDowell,Addison McDowell,1/21/94,31,1/3/25,8,0.67,8 months,House,M001240,,,University of North Carolina at Charlotte ( BS )
Morgan,McGarvey,Morgan McGarvey,12/23/79,45,1/3/23,32,2.67,"2 years, 8 months",House,M001220,,,University of Missouri ( BA ) University of Kentucky ( JD )
Jim,McGovern,Jim McGovern,11/20/59,65,1/3/97,344,28.67,"28 years, 8 months",House,,,,"American University ( BA , MPA )"
John,McGuire,John McGuire,8/24/68,57,1/3/25,8,0.67,8 months,House,M001239,Navy,Yes,Okaloosa-Walton Community College
LaMonica,McIver,LaMonica McIver,6/20/86,39,9/23/24,12,1,1 year,House,M001229,,,Bloomfield College ( BA ) Seton Hall University ( MA ) Kean University ( EdD )
Gregory,Meeks,Gregory Meeks,9/25/53,72,2/5/98,331,27.58,"27 years, 7 months",House,M001137,,,Adelphi University ( BA ) Howard University ( JD )
Rob,Menendez,Rob Menendez,7/12/85,40,1/3/23,32,2.67,"2 years, 8 months",House,,,,University of North Carolina at Chapel Hill ( BA ) Rutgers University–Newark ( JD )
Grace,Meng,Grace Meng,10/1/75,49,1/3/13,152,12.67,"12 years, 8 months",House,M001188,,,University of Michigan ( BA ) Yeshiva University ( JD )
Jeff,Merkley,Jeff Merkley,10/24/56,68,1/3/09,200,16.67,"16 years, 8 months",Senate,M001176,,,
Mark,Messmer,Mark Messmer,12/16/67,57,1/3/25,8,0.67,8 months,House,M001233,,,Purdue University ( BS )
Dan,Meuser,Dan Meuser,2/10/64,61,1/3/19,80,6.67,"6 years, 8 months",House,,,,State University of New York Maritime College Cornell University ( BA )
Kweisi,Mfume,Kweisi Mfume,10/24/48,76,5/5/20,64,5.33,"5 years, 4 months",House,M000687,,,Baltimore City Community College Morgan State University ( BA ) Johns Hopkins University ( MA )
Mary,Miller,Mary Miller,8/27/59,66,1/3/21,56,4.67,"4 years, 8 months",House,M001211,,,"Eastern Illinois University ( BA , BS )"
Max,Miller,Max Miller,11/13/88,36,1/3/23,32,2.67,"2 years, 8 months",House,M001222,Marine Corps Reserve,Yes,Cleveland State University ( BA )
Carol,Miller,Carol Miller,11/4/50,74,1/3/19,80,6.67,"6 years, 8 months",House,M001205,,,"Columbia College, South Carolina ( BA )"
Mariannette,Miller-Meeks,Mariannette Miller-Meeks,9/6/55,70,1/3/21,56,4.67,"4 years, 8 months",House,M001215,Army Army Reserve,Yes,"Texas Christian University ( BS ) University of Southern California ( MS ) University of Texas, San Antonio ( MD )"
Cory,Mills,Cory Mills,7/13/80,45,1/3/23,32,2.67,"2 years, 8 months",House,M001216,Army,Yes,"Florida State College at Jacksonville ( AA ) American Military University ( BS , MA )"
Dave,Min,Dave Min,3/5/76,49,1/3/25,8,0.67,8 months,House,M001241,,,University of Pennsylvania ( BA ) Harvard University ( JD )
Ashley,Moody,Ashley Moody,3/28/75,50,1/21/25,8,0.67,8 months,Senate,M001244,,,
John,Moolenaar,John Moolenaar,5/8/61,64,1/3/15,128,10.67,"10 years, 8 months",House,M001194,,,Hope College ( BS ) Harvard University ( MPA )
Barry,Moore,Barry Moore,9/26/66,59,1/3/21,56,4.67,"4 years, 8 months",House,M001212,Alabama National Guard Alabama Reserve,Yes,Enterprise State Community College ( AS ) Auburn University ( BS )
Tim,Moore,Tim Moore,10/2/70,54,1/3/25,8,0.67,8 months,House,M001236,,,Campbell University University of North Carolina at Chapel Hill ( BA ) Wake Forest University ( JD )
Blake,Moore,Blake Moore,6/22/80,45,1/3/21,56,4.67,"4 years, 8 months",House,M001213,,,University of Utah ( BA ) Northwestern University ( MS )
Riley,Moore,Riley Moore,7/1/80,45,1/3/25,8,0.67,8 months,House,M001235,,,George Mason University ( BA ) National Defense University ( MS )
Gwen,Moore,Gwen Moore,4/18/51,74,1/3/05,248,20.67,"20 years, 8 months",House,M001160,,,Marquette University ( BA )
Jerry,Moran,Jerry Moran,5/29/54,71,1/3/11,176,14.67,"14 years, 8 months",Senate,M000934,,,"Fort Hays State University University of Kansas ( BA , JD )"
Nathaniel,Moran,Nathaniel Moran,9/23/74,51,1/3/23,32,2.67,"2 years, 8 months",House,M001224,,,"Texas Tech University ( BA , MBA , JD )"
Joseph,Morelle,Joseph Morelle,4/29/57,68,11/13/18,82,6.83,"6 years, 10 months",House,M001206,,,State University of New York at Geneseo ( BA )
Bernie,Moreno,Bernie Moreno,2/14/67,58,1/3/25,8,0.67,8 months,Senate,M001242,,,University of Michigan ( BBA )
Kelly,Morrison,Kelly Morrison,2/2/69,56,1/3/25,8,0.67,8 months,House,M001234,,,Yale University ( BA ) Boston University Case Western Reserve University ( MD )
Jared,Moskowitz,Jared Moskowitz,12/18/80,44,1/3/23,32,2.67,"2 years, 8 months",House,M001217,,,George Washington University ( BA ) Nova Southeastern University ( JD )
