first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber
John B.,Larson,John B. Larson,7/22/48,77,1/3/99,320,26.67,"26 years, 8 months",House
George,Latimer,George Latimer,11/22/53,71,1/3/25,8,0.67,8 months,House
Bob,Latta,Bob Latta,4/18/56,69,12/13/07,213,17.75,"17 years, 9 months",House
Mike,Lawler,Mike Lawler,9/9/86,39,1/3/23,32,2.67,"2 years, 8 months",House
Mike,Lee,Mike Lee,6/4/71,54,1/3/11,176,14.67,"14 years, 8 months",Senate
Laurel,Lee,Laurel Lee,3/26/74,51,1/3/23,32,2.67,"2 years, 8 months",House
Susie,Lee,Susie Lee,11/7/66,58,1/3/19,80,6.67,"6 years, 8 months",House
Summer,Lee,Summer Lee,11/26/87,37,1/3/23,32,2.67,"2 years, 8 months",House
Julia,Letlow,Julia Letlow,3/16/81,44,4/14/21,53,4.42,"4 years, 5 months",House
Mike,Levin,Mike Levin,10/20/78,46,1/3/19,80,6.67,"6 years, 8 months",House
Sam,Liccardo,Sam Liccardo,4/16/70,55,1/3/25,8,0.67,8 months,House
Ted,Lieu,Ted Lieu,3/29/69,56,1/3/15,128,10.67,"10 years, 8 months",House
Zoe,Lofgren,Zoe Lofgren,12/21/47,77,1/3/95,368,30.67,"30 years, 8 months",House
Barry,Loudermilk,Barry Loudermilk,12/22/63,61,1/3/15,128,10.67,"10 years, 8 months",House
Frank,Lucas,Frank Lucas,1/6/60,65,5/10/94,376,31.33,"31 years, 4 months",House
Ben Ray,Luján,Ben Ray Luján,6/7/72,53,1/3/21,56,4.67,"4 years, 8 months",Senate
Cynthia,Lummis,Cynthia Lummis,9/10/54,71,1/3/21,56,4.67,"4 years, 8 months",Senate
Anna Paulina,Luna,Anna Paulina Luna,5/6/89,36,1/3/23,32,2.67,"2 years, 8 months",House
Morgan,Luttrell,Morgan Luttrell,11/7/75,49,1/3/23,32,2.67,"2 years, 8 months",House
Stephen F.,Lynch,Stephen F. Lynch,3/31/55,70,10/16/01,287,23.92,"23 years, 11 months",House
Nancy,Mace,Nancy Mace,12/4/77,47,1/3/21,56,4.67,"4 years, 8 months",House
Ryan,Mackenzie,Ryan Mackenzie,8/3/82,43,1/3/25,8,0.67,8 months,House
Seth,Magaziner,Seth Magaziner,7/22/83,42,1/3/23,32,2.67,"2 years, 8 months",House
Nicole,Malliotakis,Nicole Malliotakis,11/11/80,44,1/3/21,56,4.67,"4 years, 8 months",House
Celeste,Maloy,Celeste Maloy,5/22/81,44,11/28/23,22,1.83,"1 year, 10 months",House
Tracey,Mann,Tracey Mann,12/17/76,48,1/3/21,56,4.67,"4 years, 8 months",House
John,Mannion,John Mannion,7/8/68,57,1/3/25,8,0.67,8 months,House
Ed,Markey,Ed Markey,7/11/46,79,7/16/13,146,12.17,"12 years, 2 months",Senate
Roger,Marshall,Roger Marshall,8/9/60,65,1/3/21,56,4.67,"4 years, 8 months",Senate
Thomas,Massie,Thomas Massie,1/13/71,54,11/13/12,154,12.83,"12 years, 10 months",House
Brian,Mast,Brian Mast,7/10/80,45,1/3/17,104,8.67,"8 years, 8 months",House
Doris,Matsui,Doris Matsui,9/25/44,81,3/10/05,246,20.5,"20 years, 6 months",House
Lucy,McBath,Lucy McBath,6/1/60,65,1/3/19,80,6.67,"6 years, 8 months",House
Sarah,McBride,Sarah McBride,8/9/90,35,1/3/25,8,0.67,8 months,House
Michael,McCaul,Michael McCaul,1/14/62,63,1/3/05,248,20.67,"20 years, 8 months",House
Lisa,McClain,Lisa McClain,4/7/66,59,1/3/21,56,4.67,"4 years, 8 months",House
Jennifer,McClellan,Jennifer McClellan,12/28/72,52,3/7/23,30,2.5,"2 years, 6 months",House
Tom,McClintock,Tom McClintock,7/10/56,69,1/3/09,200,16.67,"16 years, 8 months",House
Betty,McCollum,Betty McCollum,7/12/54,71,1/3/01,296,24.67,"24 years, 8 months",House
Mitch,McConnell,Mitch McConnell,2/20/42,83,1/3/85,488,40.67,"40 years, 8 months",Senate
Dave,McCormick,Dave McCormick,8/17/65,60,1/3/25,8,0.67,8 months,Senate
Rich,McCormick,Rich McCormick,10/7/68,56,1/3/23,32,2.67,"2 years, 8 months",House
Addison,McDowell,Addison McDowell,1/21/94,31,1/3/25,8,0.67,8 months,House
Morgan,McGarvey,Morgan McGarvey,12/23/79,45,1/3/23,32,2.67,"2 years, 8 months",House
Jim,McGovern,Jim McGovern,11/20/59,65,1/3/97,344,28.67,"28 years, 8 months",House
John,McGuire,John McGuire,8/24/68,57,1/3/25,8,0.67,8 months,House
LaMonica,McIver,LaMonica McIver,6/20/86,39,9/23/24,12,1,1 year,House
Gregory,Meeks,Gregory Meeks,9/25/53,72,2/5/98,331,27.58,"27 years, 7 months",House
Rob,Menendez,Rob Menendez,7/12/85,40,1/3/23,32,2.67,"2 years, 8 months",House
Grace,Meng,Grace Meng,10/1/75,49,1/3/13,152,12.67,"12 years, 8 months",House
Jeff,Merkley,Jeff Merkley,10/24/56,68,1/3/09,200,16.67,"16 years, 8 months",Senate
Mark,Messmer,Mark Messmer,12/16/67,57,1/3/25,8,0.67,8 months,House
Dan,Meuser,Dan Meuser,2/10/64,61,1/3/19,80,6.67,"6 years, 8 months",House
Kweisi,Mfume,Kweisi Mfume,10/24/48,76,5/5/20,64,5.33,"5 years, 4 months",House
Mary,Miller,Mary Miller,8/27/59,66,1/3/21,56,4.67,"4 years, 8 months",House
Max,Miller,Max Miller,11/13/88,36,1/3/23,32,2.67,"2 years, 8 months",House
Carol,Miller,Carol Miller,11/4/50,74,1/3/19,80,6.67,"6 years, 8 months",House
Mariannette,Miller-Meeks,Mariannette Miller-Meeks,9/6/55,70,1/3/21,56,4.67,"4 years, 8 months",House
Cory,Mills,Cory Mills,7/13/80,45,1/3/23,32,2.67,"2 years, 8 months",House
Dave,Min,Dave Min,3/5/76,49,1/3/25,8,0.67,8 months,House
Ashley,Moody,Ashley Moody,3/28/75,50,1/21/25,8,0.67,8 months,Senate
John,Moolenaar,John Moolenaar,5/8/61,64,1/3/15,128,10.67,"10 years, 8 months",House
Barry,Moore,Barry Moore,9/26/66,59,1/3/21,56,4.67,"4 years, 8 months",House
Tim,Moore,Tim Moore,10/2/70,54,1/3/25,8,0.67,8 months,House
Blake,Moore,Blake Moore,6/22/80,45,1/3/21,56,4.67,"4 years, 8 months",House
Riley,Moore,Riley Moore,7/1/80,45,1/3/25,8,0.67,8 months,House
Gwen,Moore,Gwen Moore,4/18/51,74,1/3/05,248,20.67,"20 years, 8 months",House
Jerry,Moran,Jerry Moran,5/29/54,71,1/3/11,176,14.67,"14 years, 8 months",Senate
Nathaniel,Moran,Nathaniel Moran,9/23/74,51,1/3/23,32,2.67,"2 years, 8 months",House
Joseph,Morelle,Joseph Morelle,4/29/57,68,11/13/18,82,6.83,"6 years, 10 months",House
Bernie,Moreno,Bernie Moreno,2/14/67,58,1/3/25,8,0.67,8 months,Senate
Kelly,Morrison,Kelly Morrison,2/2/69,56,1/3/25,8,0.67,8 months,House
Jared,Moskowitz,Jared Moskowitz,12/18/80,44,1/3/23,32,2.67,"2 years, 8 months",House
Seth,Moulton,Seth Moulton,10/24/78,46,1/3/15,128,10.67,"10 years, 8 months",House
Frank J.,Mrvan,Frank J. Mrvan,4/16/69,56,1/3/21,56,4.67,"4 years, 8 months",House
Markwayne,Mullin,Markwayne Mullin,7/26/77,48,1/3/23,32,2.67,"2 years, 8 months",Senate
Kevin,Mullin,Kevin Mullin,6/15/70,55,1/3/23,32,2.67,"2 years, 8 months",House
Lisa,Murkowski,Lisa Murkowski,5/22/57,68,12/20/02,273,22.75,"22 years, 9 months",Senate
Chris,Murphy,Chris Murphy,8/3/73,52,1/3/13,152,12.67,"12 years, 8 months",Senate
Greg,Murphy,Greg Murphy,3/5/63,62,9/17/19,72,6,6 years,House
Patty,Murray,Patty Murray,10/11/50,74,1/3/93,392,32.67,"32 years, 8 months",Senate
Jerry,Nadler,Jerry Nadler,6/13/47,78,11/3/92,394,32.83,"32 years, 10 months",House
Richard,Neal,Richard Neal,2/14/49,76,1/3/89,440,36.67,"36 years, 8 months",House
Joe,Neguse,Joe Neguse,5/13/84,41,1/3/19,80,6.67,"6 years, 8 months",House
Troy,Nehls,Troy Nehls,4/7/68,57,1/3/21,56,4.67,"4 years, 8 months",House
Dan,Newhouse,Dan Newhouse,7/10/55,70,1/3/15,128,10.67,"10 years, 8 months",House
Donald,Norcross,Donald Norcross,12/13/58,66,11/12/14,130,10.83,"10 years, 10 months",House
Ralph,Norman,Ralph Norman,6/20/53,72,6/20/17,99,8.25,"8 years, 3 months",House
Zach,Nunn,Zach Nunn,5/4/79,46,1/3/23,32,2.67,"2 years, 8 months",House
Jay,Obernolte,Jay Obernolte,8/18/70,55,1/3/21,56,4.67,"4 years, 8 months",House
Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,10/13/89,35,1/3/19,80,6.67,"6 years, 8 months",House
Andy,Ogles,Andy Ogles,6/18/71,54,1/3/23,32,2.67,"2 years, 8 months",House
Johnny,Olszewski,Johnny Olszewski,9/10/82,43,1/3/25,8,0.67,8 months,House
Ilhan,Omar,Ilhan Omar,10/4/82,42,1/3/19,80,6.67,"6 years, 8 months",House
Bob,Onder,Bob Onder,1/6/62,63,1/3/25,8,0.67,8 months,House
Derrick Van,Orden,Derrick Van Orden,9/15/69,56,1/3/23,32,2.67,"2 years, 8 months",House
Jon,Ossoff,Jon Ossoff,2/16/87,38,1/20/21,56,4.67,"4 years, 8 months",Senate
Burgess,Owens,Burgess Owens,8/2/51,74,1/3/21,56,4.67,"4 years, 8 months",House
Alex,Padilla,Alex Padilla,3/22/73,52,1/20/21,56,4.67,"4 years, 8 months",Senate
Frank,Pallone,Frank Pallone,10/30/51,73,11/8/88,442,36.83,"36 years, 10 months",House
Gary,Palmer,Gary Palmer,5/14/54,71,1/3/15,128,10.67,"10 years, 8 months",House
Jimmy,Panetta,Jimmy Panetta,10/1/69,55,1/3/17,104,8.67,"8 years, 8 months",House
Chris,Pappas,Chris Pappas,6/4/80,45,1/3/19,80,6.67,"6 years, 8 months",House
Jimmy,Patronis,Jimmy Patronis,4/13/72,53,4/2/25,5,0.42,5 months,House
Rand,Paul,Rand Paul,1/7/63,62,1/3/11,176,14.67,"14 years, 8 months",Senate
Nancy,Pelosi,Nancy Pelosi,3/26/40,85,6/2/87,459,38.25,"38 years, 3 months",House
Marie Gluesenkamp,Perez,Marie Gluesenkamp Perez,6/6/88,37,1/3/23,32,2.67,"2 years, 8 months",House
Scott,Perry,Scott Perry,5/27/62,63,1/3/13,152,12.67,"12 years, 8 months",House
Gary,Peters,Gary Peters,12/1/58,66,1/3/15,128,10.67,"10 years, 8 months",Senate
Scott,Peters,Scott Peters,6/17/58,67,1/3/13,152,12.67,"12 years, 8 months",House
Brittany,Pettersen,Brittany Pettersen,12/6/81,43,1/3/23,32,2.67,"2 years, 8 months",House
August,Pfluger,August Pfluger,12/28/78,46,1/3/21,56,4.67,"4 years, 8 months",House
Chellie,Pingree,Chellie Pingree,4/2/55,70,1/3/09,200,16.67,"16 years, 8 months",House
Mark,Pocan,Mark Pocan,8/14/64,61,1/3/13,152,12.67,"12 years, 8 months",House
Nellie,Pou,Nellie Pou,5/20/56,69,1/3/25,8,0.67,8 months,House
Ayanna,Pressley,Ayanna Pressley,2/3/74,51,1/3/19,80,6.67,"6 years, 8 months",House
Mike,Quigley,Mike Quigley,10/17/58,66,4/7/09,197,16.42,"16 years, 5 months",House
Delia,Ramirez,Delia Ramirez,6/2/83,42,1/3/23,32,2.67,"2 years, 8 months",House
Emily,Randall,Emily Randall,10/3/85,39,1/3/25,8,0.67,8 months,House
Jamie,Raskin,Jamie Raskin,12/13/62,62,1/3/17,104,8.67,"8 years, 8 months",House
Jack,Reed,Jack Reed,11/12/49,75,1/3/97,344,28.67,"28 years, 8 months",Senate
Guy,Reschenthaler,Guy Reschenthaler,4/17/83,42,1/3/19,80,6.67,"6 years, 8 months",House
Pete,Ricketts,Pete Ricketts,8/19/64,61,1/12/23,32,2.67,"2 years, 8 months",Senate
Josh,Riley,Josh Riley,1/21/81,44,1/3/25,8,0.67,8 months,House
Jim,Risch,Jim Risch,5/3/43,82,1/3/09,200,16.67,"16 years, 8 months",Senate
Luz,Rivas,Luz Rivas,2/6/74,51,1/3/25,8,0.67,8 months,House
Kristen McDonald,Rivet,Kristen McDonald Rivet,7/11/70,55,1/3/25,8,0.67,8 months,House
Mike,Rogers,Mike Rogers,7/16/58,67,1/3/03,272,22.67,"22 years, 8 months",House
Hal,Rogers,Hal Rogers,12/31/37,87,1/3/81,536,44.67,"44 years, 8 months",House
John,Rose,John Rose,2/23/65,60,1/3/19,80,6.67,"6 years, 8 months",House
Jacky,Rosen,Jacky Rosen,8/2/57,68,1/3/19,80,6.67,"6 years, 8 months",Senate
Deborah,Ross,Deborah Ross,6/20/63,62,1/3/21,56,4.67,"4 years, 8 months",House
Mike,Rounds,Mike Rounds,10/24/54,70,1/3/15,128,10.67,"10 years, 8 months",Senate
David,Rouzer,David Rouzer,2/16/72,53,1/3/15,128,10.67,"10 years, 8 months",House
Chip,Roy,Chip Roy,8/7/72,53,1/3/19,80,6.67,"6 years, 8 months",House
Raul,Ruiz,Raul Ruiz,8/25/72,53,1/3/13,152,12.67,"12 years, 8 months",House
Michael,Rulli,Michael Rulli,3/11/69,56,6/25/24,15,1.25,"1 year, 3 months",House
John,Rutherford,John Rutherford,9/2/52,73,1/3/17,104,8.67,"8 years, 8 months",House
Pat,Ryan,Pat Ryan,3/28/82,43,9/13/22,36,3,3 years,House
Linda,Sánchez,Linda Sánchez,1/28/69,56,1/3/03,272,22.67,"22 years, 8 months",House
María Elvira,Salazar,María Elvira Salazar,11/1/61,63,1/3/21,56,4.67,"4 years, 8 months",House
Andrea,Salinas,Andrea Salinas,12/6/69,55,1/3/23,32,2.67,"2 years, 8 months",House
Bernie,Sanders,Bernie Sanders,9/8/41,84,1/3/07,224,18.67,"18 years, 8 months",Senate
Steve,Scalise,Steve Scalise,10/6/65,59,5/3/08,208,17.33,"17 years, 4 months",House
Mary Gay,Scanlon,Mary Gay Scanlon,8/30/59,66,11/13/18,82,6.83,"6 years, 10 months",House
Jan,Schakowsky,Jan Schakowsky,5/26/44,81,1/3/99,320,26.67,"26 years, 8 months",House
Brian,Schatz,Brian Schatz,10/20/72,52,12/26/12,153,12.75,"12 years, 9 months",Senate
Adam,Schiff,Adam Schiff,6/22/60,65,12/8/24,9,0.75,9 months,Senate
Derek,Schmidt,Derek Schmidt,1/23/68,57,1/3/25,8,0.67,8 months,House
Eric,Schmitt,Eric Schmitt,6/20/75,50,1/3/23,32,2.67,"2 years, 8 months",Senate
Brad,Schneider,Brad Schneider,8/20/61,64,1/3/17,104,8.67,"8 years, 8 months",House
Hillary,Scholten,Hillary Scholten,2/22/82,43,1/3/23,32,2.67,"2 years, 8 months",House
Kim,Schrier,Kim Schrier,8/23/68,57,1/3/19,80,6.67,"6 years, 8 months",House
Debbie Wasserman,Schultz,Debbie Wasserman Schultz,9/27/66,59,1/3/05,248,20.67,"20 years, 8 months",House
Chuck,Schumer,Chuck Schumer,11/23/50,74,1/3/99,320,26.67,"26 years, 8 months",Senate
David,Schweikert,David Schweikert,3/3/62,63,1/3/11,176,14.67,"14 years, 8 months",House
Rick,Scott,Rick Scott,12/1/52,72,1/8/19,80,6.67,"6 years, 8 months",Senate
Tim,Scott,Tim Scott,9/19/65,60,1/2/13,152,12.67,"12 years, 8 months",Senate
Austin,Scott,Austin Scott,12/10/69,55,1/3/11,176,14.67,"14 years, 8 months",House
David,Scott,David Scott,6/27/45,80,1/3/03,272,22.67,"22 years, 8 months",House
Bobby,Scott,Bobby Scott,4/30/47,78,1/3/93,392,32.67,"32 years, 8 months",House
Keith,Self,Keith Self,3/20/53,72,1/3/23,32,2.67,"2 years, 8 months",House
Pete,Sessions,Pete Sessions,3/22/55,70,1/3/21,56,4.67,"4 years, 8 months",House
Terri,Sewell,Terri Sewell,1/1/65,60,1/3/11,176,14.67,"14 years, 8 months",House
Jeanne,Shaheen,Jeanne Shaheen,1/28/47,78,1/3/09,200,16.67,"16 years, 8 months",Senate
Tim,Sheehy,Tim Sheehy,11/18/85,39,1/3/25,8,0.67,8 months,Senate
Brad,Sherman,Brad Sherman,10/24/54,70,1/3/97,344,28.67,"28 years, 8 months",House
Mikie,Sherrill,Mikie Sherrill,1/19/72,53,1/3/19,80,6.67,"6 years, 8 months",House
Jefferson,Shreve,Jefferson Shreve,9/24/65,60,1/3/25,8,0.67,8 months,House
Lateefah,Simon,Lateefah Simon,1/29/77,48,1/3/25,8,0.67,8 months,House
Mike,Simpson,Mike Simpson,9/8/50,75,1/3/99,320,26.67,"26 years, 8 months",House
Elissa,Slotkin,Elissa Slotkin,7/10/76,49,1/3/25,8,0.67,8 months,Senate
Tina,Smith,Tina Smith,3/4/58,67,1/3/18,92,7.67,"7 years, 8 months",Senate
Jason,Smith,Jason Smith,6/16/80,45,6/4/13,147,12.25,"12 years, 3 months",House
Adrian,Smith,Adrian Smith,12/19/70,54,1/3/07,224,18.67,"18 years, 8 months",House
Chris,Smith,Chris Smith,3/4/53,72,1/3/81,536,44.67,"44 years, 8 months",House
Adam,Smith,Adam Smith,6/15/65,60,1/3/97,344,28.67,"28 years, 8 months",House
Lloyd,Smucker,Lloyd Smucker,1/23/64,61,1/3/17,104,8.67,"8 years, 8 months",House
Eric,Sorensen,Eric Sorensen,3/18/76,49,1/3/23,32,2.67,"2 years, 8 months",House
Darren,Soto,Darren Soto,2/25/78,47,1/3/17,104,8.67,"8 years, 8 months",House
Victoria,Spartz,Victoria Spartz,10/6/78,46,1/3/21,56,4.67,"4 years, 8 months",House
Melanie,Stansbury,Melanie Stansbury,1/31/79,46,6/14/21,51,4.25,"4 years, 3 months",House
Greg,Stanton,Greg Stanton,3/8/70,55,1/3/19,80,6.67,"6 years, 8 months",House
Pete,Stauber,Pete Stauber,5/10/66,59,1/3/19,80,6.67,"6 years, 8 months",House
Elise,Stefanik,Elise Stefanik,7/2/84,41,1/3/15,128,10.67,"10 years, 8 months",House
Bryan,Steil,Bryan Steil,3/3/81,44,1/3/19,80,6.67,"6 years, 8 months",House
Greg,Steube,Greg Steube,5/19/78,47,1/3/19,80,6.67,"6 years, 8 months",House
Haley,Stevens,Haley Stevens,6/24/83,42,1/3/19,80,6.67,"6 years, 8 months",House
Marilyn,Strickland,Marilyn Strickland,9/25/62,63,1/3/21,56,4.67,"4 years, 8 months",House
Dale,Strong,Dale Strong,5/8/70,55,1/3/23,32,2.67,"2 years, 8 months",House
Marlin,Stutzman,Marlin Stutzman,8/31/76,49,1/3/25,8,0.67,8 months,House
Suhas,Subramanyam,Suhas Subramanyam,9/26/86,39,1/3/25,8,0.67,8 months,House
Dan,Sullivan,Dan Sullivan,11/13/64,60,1/3/15,128,10.67,"10 years, 8 months",Senate
Tom,Suozzi,Tom Suozzi,8/31/62,63,2/28/24,19,1.58,"1 year, 7 months",House
Eric,Swalwell,Eric Swalwell,11/16/80,44,1/3/13,152,12.67,"12 years, 8 months",House
Emilia,Sykes,Emilia Sykes,1/4/86,39,1/3/23,32,2.67,"2 years, 8 months",House
Mark,Takano,Mark Takano,12/10/60,64,1/3/13,152,12.67,"12 years, 8 months",House
David,Taylor,David Taylor,11/16/69,55,1/3/25,8,0.67,8 months,House
Claudia,Tenney,Claudia Tenney,2/4/61,64,1/3/21,56,4.67,"4 years, 8 months",House
Shri,Thanedar,Shri Thanedar,2/22/55,70,1/3/23,32,2.67,"2 years, 8 months",House
Mike,Thompson,Mike Thompson,1/24/51,74,1/3/99,320,26.67,"26 years, 8 months",House
Bennie,Thompson,Bennie Thompson,1/28/48,77,4/13/93,389,32.42,"32 years, 5 months",House
Glenn,Thompson,Glenn Thompson,7/27/59,66,1/3/09,200,16.67,"16 years, 8 months",House
John,Thune,John Thune,1/7/61,64,1/3/05,248,20.67,"20 years, 8 months",Senate
Tom,Tiffany,Tom Tiffany,12/30/57,67,5/19/20,64,5.33,"5 years, 4 months",House
Thom,Tillis,Thom Tillis,8/30/60,65,1/3/15,128,10.67,"10 years, 8 months",Senate
William,Timmons,William Timmons,4/30/84,41,1/3/19,80,6.67,"6 years, 8 months",House
Dina,Titus,Dina Titus,5/23/50,75,1/3/13,152,12.67,"12 years, 8 months",House
Rashida,Tlaib,Rashida Tlaib,7/24/76,49,1/3/19,80,6.67,"6 years, 8 months",House
Jill,Tokuda,Jill Tokuda,3/3/76,49,1/3/23,32,2.67,"2 years, 8 months",House
Paul,Tonko,Paul Tonko,6/18/49,76,1/3/09,200,16.67,"16 years, 8 months",House
Norma,Torres,Norma Torres,4/4/65,60,1/3/15,128,10.67,"10 years, 8 months",House
Ritchie,Torres,Ritchie Torres,3/12/88,37,1/3/21,56,4.67,"4 years, 8 months",House
Lori,Trahan,Lori Trahan,10/27/73,51,1/3/19,80,6.67,"6 years, 8 months",House
Derek,Tran,Derek Tran,12/22/80,44,1/3/25,8,0.67,8 months,House
Tommy,Tuberville,Tommy Tuberville,9/18/54,71,1/3/21,56,4.67,"4 years, 8 months",Senate
Mike,Turner,Mike Turner,1/11/60,65,1/3/03,272,22.67,"22 years, 8 months",House
Lauren,Underwood,Lauren Underwood,10/4/86,38,1/3/19,80,6.67,"6 years, 8 months",House
David,Valadao,David Valadao,4/14/77,48,1/3/21,56,4.67,"4 years, 8 months",House
Chris,Van Hollen,Chris Van Hollen,1/10/59,66,1/3/17,104,8.67,"8 years, 8 months",Senate
Juan,Vargas,Juan Vargas,3/7/61,64,1/3/13,152,12.67,"12 years, 8 months",House
Gabe,Vasquez,Gabe Vasquez,8/3/84,41,1/3/23,32,2.67,"2 years, 8 months",House
Marc,Veasey,Marc Veasey,1/3/71,54,1/3/13,152,12.67,"12 years, 8 months",House
Nydia,Velázquez,Nydia Velázquez,3/28/53,72,1/3/93,392,32.67,"32 years, 8 months",House
Eugene,Vindman,Eugene Vindman,6/6/75,50,1/3/25,8,0.67,8 months,House
Ann,Wagner,Ann Wagner,9/13/62,63,1/3/13,152,12.67,"12 years, 8 months",House
Tim,Walberg,Tim Walberg,4/12/51,74,1/3/11,176,14.67,"14 years, 8 months",House
James,Walkinshaw,James Walkinshaw,10/2/82,42,9/10/25,0,0,0 months,House
Mark,Warner,Mark Warner,12/15/54,70,1/3/09,200,16.67,"16 years, 8 months",Senate
Raphael,Warnock,Raphael Warnock,7/23/69,56,1/20/21,56,4.67,"4 years, 8 months",Senate
Elizabeth,Warren,Elizabeth Warren,6/22/49,76,1/3/13,152,12.67,"12 years, 8 months",Senate
Maxine,Waters,Maxine Waters,8/15/38,87,1/3/91,416,34.67,"34 years, 8 months",House
Randy,Weber,Randy Weber,7/2/53,72,1/3/13,152,12.67,"12 years, 8 months",House
Daniel,Webster,Daniel Webster,4/27/49,76,1/3/11,176,14.67,"14 years, 8 months",House
Peter,Welch,Peter Welch,5/2/47,78,1/3/23,32,2.67,"2 years, 8 months",Senate
Bruce,Westerman,Bruce Westerman,11/18/67,57,1/3/15,128,10.67,"10 years, 8 months",House
Sheldon,Whitehouse,Sheldon Whitehouse,10/20/55,69,1/3/07,224,18.67,"18 years, 8 months",Senate
George,Whitesides,George Whitesides,3/3/74,51,1/3/25,8,0.67,8 months,House
Roger,Wicker,Roger Wicker,7/5/51,74,12/31/07,212,17.67,"17 years, 8 months",Senate
Tony,Wied,Tony Wied,5/3/76,49,11/12/24,10,0.83,10 months,House
Nikema,Williams,Nikema Williams,7/30/78,47,1/3/21,56,4.67,"4 years, 8 months",House
Roger,Williams,Roger Williams,9/13/49,76,1/3/13,152,12.67,"12 years, 8 months",House
Frederica,Wilson,Frederica Wilson,11/5/42,82,1/3/11,176,14.67,"14 years, 8 months",House
Joe,Wilson,Joe Wilson,7/31/47,78,12/18/01,285,23.75,"23 years, 9 months",House
Rob,Wittman,Rob Wittman,2/3/59,66,12/11/07,213,17.75,"17 years, 9 months",House
Steve,Womack,Steve Womack,2/18/57,68,1/3/11,176,14.67,"14 years, 8 months",House
Ron,Wyden,Ron Wyden,5/3/49,76,2/5/96,355,29.58,"29 years, 7 months",Senate
Rudy,Yakym,Rudy Yakym,2/24/84,41,11/14/22,34,2.83,"2 years, 10 months",House
Todd,Young,Todd Young,8/24/72,53,1/3/17,104,8.67,"8 years, 8 months",Senate
Ryan,Zinke,Ryan Zinke,11/1/61,63,1/3/23,32,2.67,"2 years, 8 months",House
