first_name,last_name,full_name,date_of_birth,age,bioguide_id
Suhas,Subramanyam,Suhas Subramanyam,9/26/86,39,S001230
Summer,Lee,Summer Lee,11/26/87,37,L000602
Susan,Collins,Susan Collins,12/7/52,72,C001035
Susie,Lee,Susie Lee,11/7/66,58,L000590
Suzan,DelBene,Suzan DelBene,2/17/62,63,D000617
Suzanne,Bonamici,Suzanne Bonamici,10/14/54,70,B001278
Sydney,Kamlager-Dove,Sydney Kamlager-Dove,7/20/72,53,K000400
Sylvia,Garcia,Sylvia Garcia,9/6/50,75,G000587
Tammy,Baldwin,Tammy Baldwin,2/11/62,63,B001230
Tammy,Duckworth,Tammy Duckworth,3/12/68,57,D000622
Ted,Budd,Ted Budd,10/21/71,53,B001305
Ted,Cruz,Ted Cruz,12/22/70,54,C001098
Ted,Lieu,Ted Lieu,3/29/69,56,L000582
Teresa Leger,Fernandez,Teresa Leger Fernandez,7/1/59,66,L000273
Terri,Sewell,Terri Sewell,1/1/65,60,S001185
Thom,Tillis,Thom Tillis,8/30/60,65,
Thomas,Massie,Thomas Massie,1/13/71,54,M001184
Thomas Kean,Jr.,Thomas Kean Jr.,9/5/68,57,
Tim,Burchett,Tim Burchett,8/25/64,61,B001309
Tim,Kaine,Tim Kaine,2/26/58,67,
Tim,Kennedy,Tim Kennedy,10/20/76,48,
Tim,Moore,Tim Moore,10/2/70,54,M001236
Tim,Scott,Tim Scott,9/19/65,60,S001184
Tim,Sheehy,Tim Sheehy,11/18/85,39,S001232
Tim,Walberg,Tim Walberg,4/12/51,74,W000798
Tina,Smith,Tina Smith,3/4/58,67,S001203
Todd,Young,Todd Young,8/24/72,53,Y000064
Tom,Barrett,Tom Barrett,4/30/81,44,B001321
Tom,Cole,Tom Cole,4/28/49,76,C001053
Tom,Cotton,Tom Cotton,5/13/77,48,C001095
Tom,Emmer,Tom Emmer,3/3/61,64,E000294
Tom,McClintock,Tom McClintock,7/10/56,69,M001177
Tom,Suozzi,Tom Suozzi,8/31/62,63,
Tom,Tiffany,Tom Tiffany,12/30/57,67,
Tommy,Tuberville,Tommy Tuberville,9/18/54,71,T000278
Tony,Gonzales,Tony Gonzales,10/10/80,44,G000594
Tony,Wied,Tony Wied,5/3/76,49,W000829
Tracey,Mann,Tracey Mann,12/17/76,48,M000871
Trent,Kelly,Trent Kelly,3/1/66,59,K000388
Troy,Balderson,Troy Balderson,1/16/62,63,B001306
Troy,Carter,Troy Carter,10/26/63,61,C001125
Troy,Downing,Troy Downing,3/4/67,58,D000634
Troy,Nehls,Troy Nehls,4/7/68,57,N000026
Val,Hoyle,Val Hoyle,2/14/64,61,H001094
Valerie,Foushee,Valerie Foushee,5/7/56,69,F000477
Vern,Buchanan,Vern Buchanan,5/8/51,74,B001260
Veronica,Escobar,Veronica Escobar,9/15/69,56,E000299
Vicente,Gonzalez,Vicente Gonzalez,9/4/67,58,G000581
Victoria,Spartz,Victoria Spartz,10/6/78,46,S000929
Vince,Fong,Vince Fong,10/24/79,45,F000480
Warren,Davidson,Warren Davidson,3/1/70,55,D000626
Wesley,Bell,Wesley Bell,11/5/74,50,B001324
Wesley,Hunt,Wesley Hunt,11/13/81,43,H001095
William,Timmons,William Timmons,4/30/84,41,T000480
Yassamin,Ansari,Yassamin Ansari,4/7/92,33,A000381
Young,Kim,Young Kim,10/18/62,62,K000397
Yvette,Clarke,Yvette Clarke,11/21/64,60,C001067
Zach,Nunn,Zach Nunn,5/4/79,46,
Zoe,Lofgren,Zoe Lofgren,12/21/47,77,L000397
