first_name,first_name2,last_name,last_name2,middle_name1,nick_name1,suffix,bioguide_id,fecid,chamber,assumed_office,date_of_birth,age,match_method,merge_note,full_name,tenure_months,tenure_pretty,tenure_years
Brandon,Brandon,Gill,Gill,,,,G000603,H4TX26149,House,1/3/25,2/26/94,31,bioguide_id,,Brandon Gill,8,8 months,0.67
Laura,Laura,Gillen,Gillen,,,,G000602,H2NY04244,House,1/3/25,7/10/69,56,bioguide_id,,Laura Gillen,8,8 months,0.67
Kirsten,Kirsten,Gillibrand,Gillibrand,E.,,,G000555,,Senate,1/26/09,12/9/66,58,bioguide_id,,Kirsten Gillibrand,200,"16 years, 8 months",16.67
Carlos,Carlos,Giménez,Gimenez,A.,,,G000593,H0FL26036,House,1/3/21,1/17/54,71,bioguide_id,,Carlos Giménez,56,"4 years, 8 months",4.67
Jared,Jared,Golden,Golden,F.,,,G000592,H8ME02185,House,1/3/19,7/25/82,43,bioguide_id,,Jared Golden,80,"6 years, 8 months",6.67
Dan,,Goldman,,,,,,,House,1/3/23,2/26/76,49,,,Dan Goldman,32,"2 years, 8 months",2.67
Craig,Craig,Goldman,Goldman,A.,,,G000601,H4TX12065,House,1/3/25,10/3/68,56,bioguide_id,,Craig Goldman,8,8 months,0.67
Jimmy,Jimmy,Gomez,Gomez,,,,G000585,H8CA34266,House,7/11/17,11/25/74,50,bioguide_id,,Jimmy Gomez,98,"8 years, 2 months",8.17
Tony,Tony,Gonzales,Gonzales,,,II,G000594,H0TX35015,House,1/3/21,10/10/80,44,bioguide_id,,Tony Gonzales,56,"4 years, 8 months",4.67
Vicente,Vicente,Gonzalez,Gonzalez,,,,G000581,H6TX15162,House,1/3/17,9/4/67,58,bioguide_id,,Vicente Gonzalez,104,"8 years, 8 months",8.67
Lance,Lance,Gooden,Gooden,,,,G000589,H8TX05144,House,1/3/19,12/1/82,42,bioguide_id,,Lance Gooden,80,"6 years, 8 months",6.67
Maggie,Maggie,Goodlander,Goodlander,,,,G000604,H4NH02399,House,1/3/25,11/4/86,38,bioguide_id,,Maggie Goodlander,8,8 months,0.67
Paul,Paul,Gosar,Gosar,A.,,,G000565,H0AZ01259,House,1/3/11,11/27/58,66,bioguide_id,,Paul Gosar,176,"14 years, 8 months",14.67
Josh,Josh,Gottheimer,Gottheimer,,,,G000583,H6NJ05171,House,1/3/17,3/8/75,50,bioguide_id,,Josh Gottheimer,104,"8 years, 8 months",8.67
Lindsey,Lindsey,Graham,Graham,,,,G000359,S0SC00149,Senate,1/3/03,7/9/55,70,bioguide_id,,Lindsey Graham,272,"22 years, 8 months",22.67
Chuck,Chuck,Grassley,Grassley,,,,G000386,S0IA00028,Senate,1/3/81,9/17/33,92,bioguide_id,,Chuck Grassley,536,"44 years, 8 months",44.67
Sam,Sam,Graves,Graves,,,Jr.,G000546,H0MO06073,House,1/3/01,11/7/63,61,bioguide_id,,Sam Graves,296,"24 years, 8 months",24.67
Adam,Adam,Gray,Gray,,,,G000605,H2CA13115,House,1/3/25,9/23/77,48,bioguide_id,,Adam Gray,8,8 months,0.67
Al,Al,Green,Green,,,,G000553,H4TX09095,House,1/3/05,9/1/47,78,bioguide_id,,Al Green,248,"20 years, 8 months",20.67
Marjorie Taylor,Marjorie Taylor,Greene,Greene,,,,,H0GA06192,House,1/3/21,5/27/74,51,slug,,Marjorie Taylor Greene,56,"4 years, 8 months",4.67
Morgan,,Griffith,,,,,,,House,1/3/11,3/15/58,67,,,Morgan Griffith,176,"14 years, 8 months",14.67
Glenn,Glenn,Grothman,Grothman,,,,G000576,H4WI06048,House,1/3/15,7/3/55,70,bioguide_id,,Glenn Grothman,128,"10 years, 8 months",10.67
Michael,Michael,Guest,Guest,,,,G000591,H8MS03125,House,1/3/19,2/4/70,55,bioguide_id,,Michael Guest,80,"6 years, 8 months",6.67
Brett,Brett,Guthrie,Guthrie,,,,G000558,H8KY02031,House,1/3/09,2/18/64,61,bioguide_id,,Brett Guthrie,200,"16 years, 8 months",16.67
Harriet,Harriet,Hageman,Hageman,M.,,,H001096,H2WY00166,House,1/3/23,10/18/62,62,bioguide_id,,Harriet Hageman,32,"2 years, 8 months",2.67
Bill,Bill,Hagerty,Hagerty,,,,H000601,S0TN00169,Senate,1/3/21,8/14/59,66,bioguide_id,,Bill Hagerty,56,"4 years, 8 months",4.67
Abraham,Abraham,Hamadeh,Hamadeh,J.,,,H001098,H4AZ08108,House,1/3/25,5/15/91,34,bioguide_id,,Abraham Hamadeh,8,8 months,0.67
Josh,Josh,Harder,Harder,,,,H001090,H8CA10126,House,1/3/19,8/1/86,39,bioguide_id,,Josh Harder,80,"6 years, 8 months",6.67
Mike,Mike,Haridopolos,Haridopolos,,,,H001099,H4FL08168,House,1/3/25,3/15/70,55,bioguide_id,,Mike Haridopolos,8,8 months,0.67
Pat,Pat,Harrigan,Harrigan,,,,H001101,H2NC13243,House,1/3/25,6/21/87,38,bioguide_id,,Pat Harrigan,8,8 months,0.67
Andy,Andy,Harris,Harris,,,,H001052,H8MD01094,House,1/3/11,1/25/57,68,bioguide_id,,Andy Harris,176,"14 years, 8 months",14.67
Mark,Mark,Harris,Harris,,,,H001102,H6NC09200,House,1/3/25,4/24/66,59,bioguide_id,,Mark Harris,8,8 months,0.67
Diana,Diana,Harshbarger,Harshbarger,,,,H001086,H0TN01118,House,1/3/21,1/1/60,65,bioguide_id,,Diana Harshbarger,56,"4 years, 8 months",4.67
Maggie,Margaret Wood,Hassan,Hassan,,,,H001076,,Senate,1/3/17,2/27/58,67,bioguide_id,,Maggie Hassan,104,"8 years, 8 months",8.67
Josh,Josh,Hawley,Hawley,,,,H001089,,Senate,1/3/19,12/31/79,45,bioguide_id,,Josh Hawley,80,"6 years, 8 months",6.67
Jahana,Jahana,Hayes,Hayes,,,,H001081,H8CT05245,House,1/3/19,3/8/73,52,bioguide_id,,Jahana Hayes,80,"6 years, 8 months",6.67
Martin,Martin,Heinrich,Heinrich,,,,H001046,,Senate,1/3/13,10/17/71,53,bioguide_id,,Martin Heinrich,152,"12 years, 8 months",12.67
Kevin,Kevin,Hern,Hern,,,,H001082,H8OK01157,House,11/13/18,12/4/61,63,bioguide_id,,Kevin Hern,82,"6 years, 10 months",6.83
John,John,Hickenlooper,Hickenlooper,W.,,,H000273,S0CO00575,Senate,1/3/21,2/7/52,73,bioguide_id,,John Hickenlooper,56,"4 years, 8 months",4.67
Clay,Clay,Higgins,Higgins,,,,H001077,H6LA03148,House,1/3/17,8/24/61,64,bioguide_id,,Clay Higgins,104,"8 years, 8 months",8.67
French,,Hill,,,,,,,House,1/3/15,12/5/56,68,,,French Hill,128,"10 years, 8 months",10.67
Jim,,Himes,,,,,,,House,1/3/09,7/5/66,59,,,Jim Himes,200,"16 years, 8 months",16.67
Ashley,Ashley,Hinson,Hinson,,,,H001091,H0IA01174,House,1/3/21,6/27/83,42,bioguide_id,,Ashley Hinson,56,"4 years, 8 months",4.67
Mazie,Mazie,Hirono,Hirono,K.,,,H001042,,Senate,1/3/13,11/3/47,77,bioguide_id,,Mazie Hirono,152,"12 years, 8 months",12.67
John,John,Hoeven,Hoeven,,,,H001061,S0ND00093,Senate,1/3/11,3/13/57,68,bioguide_id,,John Hoeven,176,"14 years, 8 months",14.67
Steven,Steven,Horsford,Horsford,,,,H001066,H2NV04011,House,1/3/19,4/29/73,52,bioguide_id,,Steven Horsford,80,"6 years, 8 months",6.67
Erin,Erin,Houchin,Houchin,,,,H001093,H6IN09143,House,1/3/23,9/24/76,49,bioguide_id,,Erin Houchin,32,"2 years, 8 months",2.67
Chrissy,Chrissy,Houlahan,Houlahan,,,,H001085,H8PA06087,House,1/3/19,6/5/67,58,bioguide_id,,Chrissy Houlahan,80,"6 years, 8 months",6.67
Steny,Steny,Hoyer,Hoyer,H.,,,H000874,H2MD05155,House,5/19/81,6/14/39,86,bioguide_id,,Steny Hoyer,532,"44 years, 4 months",44.33
Val,Val,Hoyle,Hoyle,T.,,,H001094,H2OR04095,House,1/3/23,2/14/64,61,bioguide_id,,Val Hoyle,32,"2 years, 8 months",2.67
Richard,Richard,Hudson,Hudson,,,Jr.,H001067,H2NC08185,House,1/3/13,11/4/71,53,bioguide_id,,Richard Hudson,152,"12 years, 8 months",12.67
Jared,Jared,Huffman,Huffman,,,,H001068,H2CA06259,House,1/3/13,2/18/64,61,bioguide_id,,Jared Huffman,152,"12 years, 8 months",12.67
Bill,Bill,Huizenga,Huizenga,,,,H001058,H0MI02094,House,1/3/11,1/31/69,56,bioguide_id,,Bill Huizenga,176,"14 years, 8 months",14.67
Wesley,Wesley,Hunt,Hunt,,,,H001095,H0TX07170,House,1/3/23,11/13/81,43,bioguide_id,,Wesley Hunt,32,"2 years, 8 months",2.67
Jeff,Jeff,Hurd,Hurd,,,,H001100,,House,1/3/25,8/15/79,46,bioguide_id,,Jeff Hurd,8,8 months,0.67
Jon,Jon,Husted,Husted,,,,H001104,S6OH00304,Senate,1/21/25,8/25/67,58,bioguide_id,,Jon Husted,8,8 months,0.67
Cindy,Cindy,Hyde-Smith,Hyde-Smith,,,,H001079,S8MS00261,Senate,4/9/18,5/10/59,66,bioguide_id,,Cindy Hyde-Smith,89,"7 years, 5 months",7.42
Nick Begich,,III,,,,,,,House,1/3/25,10/27/77,47,,,Nick Begich III,8,8 months,0.67
Darrell,Darrell,Issa,Issa,,,,I000056,H0CA48024,House,1/3/21,11/1/53,71,bioguide_id,,Darrell Issa,56,"4 years, 8 months",4.67
Glenn,Glenn,Ivey,Ivey,,,,I000058,H2MD04315,House,1/3/23,2/27/61,64,bioguide_id,,Glenn Ivey,32,"2 years, 8 months",2.67
Brian,Brian,Jack,Jack,,,,J000311,H4GA03126,House,1/3/25,2/17/88,37,bioguide_id,,Brian Jack,8,8 months,0.67
Jonathan,Jonathan,Jackson,Jackson,L.,,,J000309,H2IL01349,House,1/3/23,1/7/66,59,bioguide_id,,Jonathan Jackson,32,"2 years, 8 months",2.67
Ronny,Ronny,Jackson,Jackson,,,,J000304,H0TX13228,House,1/3/21,5/4/67,58,bioguide_id,,Ronny Jackson,56,"4 years, 8 months",4.67
Sara,Sara,Jacobs,Jacobs,,,,J000305,H8CA49074,House,1/3/21,2/1/89,36,bioguide_id,,Sara Jacobs,56,"4 years, 8 months",4.67
John,John,James,James,,,,J000307,H2MI10150,House,1/3/23,6/8/81,44,bioguide_id,,John James,32,"2 years, 8 months",2.67
Pramila,Pramila,Jayapal,Jayapal,,,,J000298,H6WA07458,House,1/3/17,9/21/65,60,bioguide_id,,Pramila Jayapal,104,"8 years, 8 months",8.67
Hakeem,Hakeem,Jeffries,Jeffries,S.,,,J000294,H2NY10092,House,1/3/13,8/4/70,55,bioguide_id,,Hakeem Jeffries,152,"12 years, 8 months",12.67
Ron,Ron,Johnson,Johnson,,,,J000293,,Senate,1/3/11,4/8/55,70,bioguide_id,,Ron Johnson,176,"14 years, 8 months",14.67
Hank,,Johnson,,,,,,,House,1/3/07,10/2/54,70,,,Hank Johnson,224,"18 years, 8 months",18.67
Mike,Mike,Johnson,Johnson,,,,J000299,H6LA04138,House,1/3/17,1/30/72,53,bioguide_id,,Mike Johnson,104,"8 years, 8 months",8.67
Dusty,Dusty,Johnson,Johnson,,,,J000301,H8SD01055,House,1/3/19,9/30/76,48,bioguide_id,,Dusty Johnson,80,"6 years, 8 months",6.67
Julie,Julie,Johnson,Johnson,,,,J000310,H4TX32089,House,1/3/25,5/2/66,59,bioguide_id,,Julie Johnson,8,8 months,0.67
Jim,Jim,Jordan,Jordan,,,,J000289,H6OH04082,House,1/3/07,2/17/64,61,bioguide_id,,Jim Jordan,224,"18 years, 8 months",18.67
David,David,Joyce,Joyce,P.,,,J000295,H2OH14064,House,1/3/13,3/17/57,68,bioguide_id,,David Joyce,152,"12 years, 8 months",12.67
John,John,Joyce,Joyce,,,,J000302,H8PA13125,House,1/3/19,2/8/57,68,bioguide_id,,John Joyce,80,"6 years, 8 months",6.67
Thomas Kean,,Jr.,,,,,,,House,1/3/23,9/5/68,57,,,Thomas Kean Jr.,32,"2 years, 8 months",2.67
Jim,,Justice,,,,,,,Senate,1/14/25,4/27/51,74,,,Jim Justice,8,8 months,0.67
Tim,Tim,Kaine,Kaine,,,,,,Senate,1/3/13,2/26/58,67,slug,,Tim Kaine,152,"12 years, 8 months",12.67
Sydney,Sydney,Kamlager-Dove,Kamlager-Dove,,,,K000400,H2CA37304,House,1/3/23,7/20/72,53,bioguide_id,,Sydney Kamlager-Dove,32,"2 years, 8 months",2.67
Marcy,Marcy,Kaptur,Kaptur,,,,K000009,H2OH09031,House,1/3/83,6/17/46,79,bioguide_id,,Marcy Kaptur,512,"42 years, 8 months",42.67
Bill,,Keating,,,,,,,House,1/3/11,9/6/52,73,,,Bill Keating,176,"14 years, 8 months",14.67
Mark,Mark,Kelly,Kelly,,,,K000377,S0AZ00350,Senate,12/2/20,2/21/64,61,bioguide_id,,Mark Kelly,57,"4 years, 9 months",4.75
Robin,Robin,Kelly,Kelly,L.,,,K000385,S6IL00474,House,4/11/13,4/30/56,69,bioguide_id,,Robin Kelly,149,"12 years, 5 months",12.42
Trent,Trent,Kelly,Kelly,,,,K000388,H6MS01131,House,6/2/15,3/1/66,59,bioguide_id,,Trent Kelly,123,"10 years, 3 months",10.25
Mike,Mike,Kelly,Kelly,,,Jr.,K000376,H0PA03271,House,1/3/11,5/10/48,77,bioguide_id,,Mike Kelly,176,"14 years, 8 months",14.67
John,John,Kennedy,Kennedy,,,,K000393,S4LA00065,Senate,1/3/17,11/21/51,73,bioguide_id,,John Kennedy,104,"8 years, 8 months",8.67
Tim,,Kennedy,,,,,,,House,5/6/24,10/20/76,48,,,Tim Kennedy,16,"1 year, 4 months",1.33
Mike,Mike,Kennedy,Kennedy,,,,K000403,,House,1/3/25,2/2/69,56,bioguide_id,,Mike Kennedy,8,8 months,0.67
Ro,Ro,Khanna,Khanna,,,,K000389,H4CA12055,House,1/3/17,9/13/76,49,bioguide_id,,Ro Khanna,104,"8 years, 8 months",8.67
Jen,,Kiggans,,,,,,,House,1/3/23,6/18/71,54,,,Jen Kiggans,32,"2 years, 8 months",2.67
Kevin,Kevin,Kiley,Kiley,,,,K000401,H2CA03157,House,1/3/23,1/30/85,40,bioguide_id,,Kevin Kiley,32,"2 years, 8 months",2.67
Andy,Andy,Kim,Kim,,,,K000394,H8NJ03206,Senate,12/8/24,7/12/82,43,bioguide_id,,Andy Kim,9,9 months,0.75
Young,Young,Kim,Kim,,,,K000397,H8CA39240,House,1/3/21,10/18/62,62,bioguide_id,,Young Kim,56,"4 years, 8 months",4.67
Angus,Angus,King,King,S.,,Jr.,K000383,,Senate,1/3/13,3/31/44,81,bioguide_id,,Angus King,152,"12 years, 8 months",12.67
Amy,Amy,Klobuchar,Klobuchar,,,,K000367,,Senate,1/3/07,5/25/60,65,bioguide_id,,Amy Klobuchar,224,"18 years, 8 months",18.67
Brad,Brad,Knott,Knott,,,,K000405,,House,1/3/25,4/17/86,39,bioguide_id,,Brad Knott,8,8 months,0.67
Raja,Raja,Krishnamoorthi,Krishnamoorthi,,,,K000391,H6IL08147,House,1/3/17,7/19/73,52,bioguide_id,,Raja Krishnamoorthi,104,"8 years, 8 months",8.67
David,David,Kustoff,Kustoff,,,,K000392,H2TN07103,House,1/3/17,10/8/66,58,bioguide_id,,David Kustoff,104,"8 years, 8 months",8.67
Darin,Darin,LaHood,LaHood,,,,L000585,H6IL18088,House,9/17/15,7/5/68,57,bioguide_id,,Darin LaHood,120,10 years,10
Nick,Nick,LaLota,LaLota,,,,L000598,H2NY01190,House,1/3/23,6/23/78,47,bioguide_id,,Nick LaLota,32,"2 years, 8 months",2.67
Doug,Doug,LaMalfa,LaMalfa,,,,L000578,H2CA02142,House,1/3/13,7/2/60,65,bioguide_id,,Doug LaMalfa,152,"12 years, 8 months",12.67
Greg,Greg,Landsman,Landsman,,,,L000601,H2OH01194,House,1/3/23,12/4/76,48,bioguide_id,,Greg Landsman,32,"2 years, 8 months",2.67
Nick,,Langworthy,,,,,,,House,1/3/23,2/27/81,44,,,Nick Langworthy,32,"2 years, 8 months",2.67
James,James,Lankford,Lankford,,,,L000575,S4OK00232,Senate,1/3/15,3/4/68,57,bioguide_id,,James Lankford,128,"10 years, 8 months",10.67
Rick,Rick,Larsen,Larsen,,,,L000560,H0WA02080,House,1/3/01,6/15/65,60,bioguide_id,,Rick Larsen,296,"24 years, 8 months",24.67
John B.,,Larson,,,,,,,House,1/3/99,7/22/48,77,,,John B. Larson,320,"26 years, 8 months",26.67
George,George,Latimer,Latimer,,,,L000606,H4NY16087,House,1/3/25,11/22/53,71,bioguide_id,,George Latimer,8,8 months,0.67
Bob,,Latta,,,,,,,House,12/13/07,4/18/56,69,,,Bob Latta,213,"17 years, 9 months",17.75
Mike,,Lawler,,,,,,,House,1/3/23,9/9/86,39,,,Mike Lawler,32,"2 years, 8 months",2.67
Mike,Mike,Lee,Lee,,,,L000577,S0UT00165,Senate,1/3/11,6/4/71,54,bioguide_id,,Mike Lee,176,"14 years, 8 months",14.67
Laurel,Laurel,Lee,Lee,M.,,,L000597,H2FL15241,House,1/3/23,3/26/74,51,bioguide_id,,Laurel Lee,32,"2 years, 8 months",2.67
Susie,Susie,Lee,Lee,,,,L000590,H6NV04020,House,1/3/19,11/7/66,58,bioguide_id,,Susie Lee,80,"6 years, 8 months",6.67
Summer,Summer,Lee,Lee,L.,,,L000602,H2PA18200,House,1/3/23,11/26/87,37,bioguide_id,,Summer Lee,32,"2 years, 8 months",2.67
Julia,Julia,Letlow,Letlow,,,,L000595,H2LA05126,House,4/14/21,3/16/81,44,bioguide_id,,Julia Letlow,53,"4 years, 5 months",4.42
Mike,Mike,Levin,Levin,,,,L000593,H8CA49058,House,1/3/19,10/20/78,46,bioguide_id,,Mike Levin,80,"6 years, 8 months",6.67
Sam,Sam,Liccardo,Liccardo,T.,,,L000607,H4CA16197,House,1/3/25,4/16/70,55,bioguide_id,,Sam Liccardo,8,8 months,0.67
Ted,Ted,Lieu,Lieu,,,,L000582,H4CA33119,House,1/3/15,3/29/69,56,bioguide_id,,Ted Lieu,128,"10 years, 8 months",10.67
Zoe,Zoe,Lofgren,Lofgren,,,,L000397,H4CA16049,House,1/3/95,12/21/47,77,bioguide_id,,Zoe Lofgren,368,"30 years, 8 months",30.67
Barry,Barry,Loudermilk,Loudermilk,,,,L000583,H4GA11061,House,1/3/15,12/22/63,61,bioguide_id,,Barry Loudermilk,128,"10 years, 8 months",10.67
Frank,Frank,Lucas,Lucas,D.,,,L000491,H4OK06056,House,5/10/94,1/6/60,65,bioguide_id,,Frank Lucas,376,"31 years, 4 months",31.33
Ben Ray,Ben Ray,Luján,Luján,,,,,,Senate,1/3/21,6/7/72,53,slug,,Ben Ray Luján,56,"4 years, 8 months",4.67
Cynthia,Cynthia,Lummis,Lummis,M.,,,L000571,S0WY00137,Senate,1/3/21,9/10/54,71,bioguide_id,,Cynthia Lummis,56,"4 years, 8 months",4.67
Anna Paulina,Anna Paulina,Luna,Luna,,,,L000596,H0FL13158,House,1/3/23,5/6/89,36,bioguide_id,,Anna Paulina Luna,32,"2 years, 8 months",2.67
Morgan,Morgan,Luttrell,Luttrell,,,,L000603,H2TX08182,House,1/3/23,11/7/75,49,bioguide_id,,Morgan Luttrell,32,"2 years, 8 months",2.67
Stephen F.,,Lynch,,,,,,,House,10/16/01,3/31/55,70,,,Stephen F. Lynch,287,"23 years, 11 months",23.92
Nancy,Nancy,Mace,Mace,,,,M000194,H0SC01394,House,1/3/21,12/4/77,47,bioguide_id,,Nancy Mace,56,"4 years, 8 months",4.67
Ryan,Ryan,Mackenzie,Mackenzie,,,,M001230,H8PA15195,House,1/3/25,8/3/82,43,bioguide_id,,Ryan Mackenzie,8,8 months,0.67
Seth,Seth,Magaziner,Magaziner,,,,M001223,H2RI02184,House,1/3/23,7/22/83,42,bioguide_id,,Seth Magaziner,32,"2 years, 8 months",2.67
Nicole,Nicole,Malliotakis,Malliotakis,,,,M000317,H0NY11078,House,1/3/21,11/11/80,44,bioguide_id,,Nicole Malliotakis,56,"4 years, 8 months",4.67
Celeste,Celeste,Maloy,Maloy,,,,M001228,H4UT02296,House,11/28/23,5/22/81,44,bioguide_id,,Celeste Maloy,22,"1 year, 10 months",1.83
Tracey,Tracey,Mann,Mann,,,,M000871,H0KS01123,House,1/3/21,12/17/76,48,bioguide_id,,Tracey Mann,56,"4 years, 8 months",4.67
John,John,Mannion,Mannion,W.,,,M001231,H4NY22085,House,1/3/25,7/8/68,57,bioguide_id,,John Mannion,8,8 months,0.67
Ed,,Markey,,,,,,,Senate,7/16/13,7/11/46,79,,,Ed Markey,146,"12 years, 2 months",12.17
Roger,Roger,Marshall,Marshall,,,,M001198,S0KS00315,Senate,1/3/21,8/9/60,65,bioguide_id,,Roger Marshall,56,"4 years, 8 months",4.67
Thomas,Thomas,Massie,Massie,,,,M001184,H2KY04121,House,11/13/12,1/13/71,54,bioguide_id,,Thomas Massie,154,"12 years, 10 months",12.83
Brian,Brian,Mast,Mast,J.,,,M001199,H6FL18097,House,1/3/17,7/10/80,45,bioguide_id,,Brian Mast,104,"8 years, 8 months",8.67
Doris,Doris,Matsui,Matsui,O.,,,M001163,H6CA05195,House,3/10/05,9/25/44,81,bioguide_id,,Doris Matsui,246,"20 years, 6 months",20.5
Lucy,Lucy,McBath,McBath,,,,M001208,H8GA06393,House,1/3/19,6/1/60,65,bioguide_id,,Lucy McBath,80,"6 years, 8 months",6.67
Sarah,Sarah,McBride,McBride,,,,M001238,H4DE00045,House,1/3/25,8/9/90,35,bioguide_id,,Sarah McBride,8,8 months,0.67
Michael,Michael,McCaul,McCaul,T.,,,M001157,H4TX10093,House,1/3/05,1/14/62,63,bioguide_id,,Michael McCaul,248,"20 years, 8 months",20.67
Lisa,Lisa,McClain,McClain,C.,,,M001136,H0MI10287,House,1/3/21,4/7/66,59,bioguide_id,,Lisa McClain,56,"4 years, 8 months",4.67
Jennifer,Jennifer,McClellan,McClellan,L.,,,M001227,H4VA04066,House,3/7/23,12/28/72,52,bioguide_id,,Jennifer McClellan,30,"2 years, 6 months",2.5
Tom,Tom,McClintock,McClintock,,,,M001177,H8CA04152,House,1/3/09,7/10/56,69,bioguide_id,,Tom McClintock,200,"16 years, 8 months",16.67
Betty,Betty,McCollum,McCollum,,,,M001143,H0MN04049,House,1/3/01,7/12/54,71,bioguide_id,,Betty McCollum,296,"24 years, 8 months",24.67
Mitch,Mitch,McConnell,McConnell,,,,M000355,,Senate,1/3/85,2/20/42,83,bioguide_id,,Mitch McConnell,488,"40 years, 8 months",40.67
Dave,,McCormick,,,,,,,Senate,1/3/25,8/17/65,60,,,Dave McCormick,8,8 months,0.67
Rich,,McCormick,,,,,,,House,1/3/23,10/7/68,56,,,Rich McCormick,32,"2 years, 8 months",2.67
Addison,Addison,McDowell,McDowell,P.,,,M001240,H4NC06177,House,1/3/25,1/21/94,31,bioguide_id,,Addison McDowell,8,8 months,0.67
Morgan,Morgan,McGarvey,McGarvey,,,,M001220,H2KY03206,House,1/3/23,12/23/79,45,bioguide_id,,Morgan McGarvey,32,"2 years, 8 months",2.67
Jim,,McGovern,,,,,,,House,1/3/97,11/20/59,65,,,Jim McGovern,344,"28 years, 8 months",28.67
John,John,McGuire,McGuire,J.,,III,M001239,H2VA07196,House,1/3/25,8/24/68,57,bioguide_id,,John McGuire,8,8 months,0.67
LaMonica,LaMonica,McIver,McIver,,,,M001229,H4NJ10176,House,9/23/24,6/20/86,39,bioguide_id,,LaMonica McIver,12,1 year,1
Gregory,Gregory,Meeks,Meeks,W.,,,M001137,H8NY06048,House,2/5/98,9/25/53,72,bioguide_id,,Gregory Meeks,331,"27 years, 7 months",27.58
Rob,,Menendez,,,,,,,House,1/3/23,7/12/85,40,,,Rob Menendez,32,"2 years, 8 months",2.67
Grace,Grace,Meng,Meng,,,,M001188,H2NY06116,House,1/3/13,10/1/75,49,bioguide_id,,Grace Meng,152,"12 years, 8 months",12.67
Jeff,Jeff,Merkley,Merkley,,,,M001176,,Senate,1/3/09,10/24/56,68,bioguide_id,,Jeff Merkley,200,"16 years, 8 months",16.67
Mark,Mark,Messmer,Messmer,B.,,,M001233,H4IN08249,House,1/3/25,12/16/67,57,bioguide_id,,Mark Messmer,8,8 months,0.67
Dan,,Meuser,,,,,,,House,1/3/19,2/10/64,61,,,Dan Meuser,80,"6 years, 8 months",6.67
Kweisi,Kweisi,Mfume,Mfume,,,,M000687,H6MD07020,House,5/5/20,10/24/48,76,bioguide_id,,Kweisi Mfume,64,"5 years, 4 months",5.33
Mary,Mary,Miller,Miller,E.,,,M001211,H0IL15129,House,1/3/21,8/27/59,66,bioguide_id,,Mary Miller,56,"4 years, 8 months",4.67
Max,Max,Miller,Miller,L.,,,M001222,H2OH16051,House,1/3/23,11/13/88,36,bioguide_id,,Max Miller,32,"2 years, 8 months",2.67
Carol,Carol,Miller,Miller,D.,,,M001205,H8WV03097,House,1/3/19,11/4/50,74,bioguide_id,,Carol Miller,80,"6 years, 8 months",6.67
Mariannette,Mariannette,Miller-Meeks,Miller-Meeks,,,,M001215,H8IA02043,House,1/3/21,9/6/55,70,bioguide_id,,Mariannette Miller-Meeks,56,"4 years, 8 months",4.67
Cory,Cory,Mills,Mills,,,,M001216,H2FL07156,House,1/3/23,7/13/80,45,bioguide_id,,Cory Mills,32,"2 years, 8 months",2.67
Dave,Dave,Min,Min,,,,M001241,H4CA47085,House,1/3/25,3/5/76,49,bioguide_id,,Dave Min,8,8 months,0.67
Ashley,Ashley,Moody,Moody,,,,M001244,S6FL00640,Senate,1/21/25,3/28/75,50,bioguide_id,,Ashley Moody,8,8 months,0.67
John,John,Moolenaar,Moolenaar,R.,,,M001194,H4MI04126,House,1/3/15,5/8/61,64,bioguide_id,,John Moolenaar,128,"10 years, 8 months",10.67
Barry,Barry,Moore,Moore,,,,M001212,H8AL02171,House,1/3/21,9/26/66,59,bioguide_id,,Barry Moore,56,"4 years, 8 months",4.67
Tim,Tim,Moore,Moore,,,,M001236,,House,1/3/25,10/2/70,54,bioguide_id,,Tim Moore,8,8 months,0.67
Blake,Blake,Moore,Moore,D.,,,M001213,H0UT01205,House,1/3/21,6/22/80,45,bioguide_id,,Blake Moore,56,"4 years, 8 months",4.67
Riley,Riley,Moore,Moore,M.,,,M001235,H4WV02205,House,1/3/25,7/1/80,45,bioguide_id,,Riley Moore,8,8 months,0.67
Gwen,Gwen,Moore,Moore,,,,M001160,H4WI04183,House,1/3/05,4/18/51,74,bioguide_id,,Gwen Moore,248,"20 years, 8 months",20.67
Jerry,Jerry,Moran,Moran,,,,M000934,S0KS00091,Senate,1/3/11,5/29/54,71,bioguide_id,,Jerry Moran,176,"14 years, 8 months",14.67
Nathaniel,Nathaniel,Moran,Moran,,,,M001224,H2TX01112,House,1/3/23,9/23/74,51,bioguide_id,,Nathaniel Moran,32,"2 years, 8 months",2.67
Joseph,Joseph,Morelle,Morelle,D.,,,M001206,H8NY25105,House,11/13/18,4/29/57,68,bioguide_id,,Joseph Morelle,82,"6 years, 10 months",6.83
Bernie,Bernie,Moreno,Moreno,,,,M001242,S2OH00386,Senate,1/3/25,2/14/67,58,bioguide_id,,Bernie Moreno,8,8 months,0.67
Kelly,Kelly,Morrison,Morrison,,,,M001234,H4MN03118,House,1/3/25,2/2/69,56,bioguide_id,,Kelly Morrison,8,8 months,0.67
Jared,Jared,Moskowitz,Moskowitz,,,,M001217,H2FL22171,House,1/3/23,12/18/80,44,bioguide_id,,Jared Moskowitz,32,"2 years, 8 months",2.67
Seth,Seth,Moulton,Moulton,,,,M001196,H4MA06090,House,1/3/15,10/24/78,46,bioguide_id,,Seth Moulton,128,"10 years, 8 months",10.67
