first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty
Claudia,Tenney,Claudia Tenney,1961-02-04,64,2021-01-03,56,4.67,"4 years, 8 months"
Joseph,Morelle,Joseph Morelle,1957-04-29,68,2018-11-13,82,6.83,"6 years, 10 months"
Tim,Kennedy,Tim Kennedy,1976-10-20,48,2024-05-06,16,1.33,"1 year, 4 months"
Don,Davis,Don Davis,1971-08-29,54,2023-01-03,32,2.67,"2 years, 8 months"
Deborah,Ross,Deborah Ross,1963-06-20,62,2021-01-03,56,4.67,"4 years, 8 months"
Greg,Murphy,Greg Murphy,1963-03-05,62,2019-09-17,72,6.0,6 years
Valerie,Foushee,Valerie Foushee,1956-05-07,69,2023-01-03,32,2.67,"2 years, 8 months"
Addison,McDowell,Addison McDowell,1994-01-21,31,2025-01-03,8,0.67,8 months
David,Rouzer,David Rouzer,1972-02-16,53,2015-01-03,128,10.67,"10 years, 8 months"
Mark,Harris,Mark Harris,1966-04-24,59,2025-01-03,8,0.67,8 months
Richard,Hudson,Richard Hudson,1971-11-04,53,2013-01-03,152,12.67,"12 years, 8 months"
Pat,Harrigan,Pat Harrigan,1987-06-21,38,2025-01-03,8,0.67,8 months
Chuck,Edwards,Chuck Edwards,1960-09-13,65,2023-01-03,32,2.67,"2 years, 8 months"
Alma,Adams,Alma Adams,1946-05-27,79,2014-11-12,130,10.83,"10 years, 10 months"
Brad,Knott,Brad Knott,1986-04-17,39,2025-01-03,8,0.67,8 months
Tim,Moore,Tim Moore,1970-10-02,54,2025-01-03,8,0.67,8 months
Julie,Fedorchak,Julie Fedorchak,1968-09-28,57,2025-01-03,8,0.67,8 months
Greg,Landsman,Greg Landsman,1976-12-04,48,2023-01-03,32,2.67,"2 years, 8 months"
David,Taylor,David Taylor,1969-11-16,55,2025-01-03,8,0.67,8 months
Joyce,Beatty,Joyce Beatty,1950-03-12,75,2013-01-03,152,12.67,"12 years, 8 months"
Jim,Jordan,Jim Jordan,1964-02-17,61,2007-01-03,224,18.67,"18 years, 8 months"
Bob,Latta,Bob Latta,1956-04-18,69,2007-12-13,213,17.75,"17 years, 9 months"
Michael,Rulli,Michael Rulli,1969-03-11,56,2024-06-25,15,1.25,"1 year, 3 months"
Max,Miller,Max Miller,1988-11-13,36,2023-01-03,32,2.67,"2 years, 8 months"
Warren,Davidson,Warren Davidson,1970-03-01,55,2016-06-09,111,9.25,"9 years, 3 months"
Marcy,Kaptur,Marcy Kaptur,1946-06-17,79,1983-01-03,512,42.67,"42 years, 8 months"
Mike,Turner,Mike Turner,1960-01-11,65,2003-01-03,272,22.67,"22 years, 8 months"
Shontel,Brown,Shontel Brown,1975-06-24,50,2021-11-04,46,3.83,"3 years, 10 months"
Troy,Balderson,Troy Balderson,1962-01-16,63,2018-09-05,84,7.0,7 years
Emilia,Sykes,Emilia Sykes,1986-01-04,39,2023-01-03,32,2.67,"2 years, 8 months"
David,Joyce,David Joyce,1957-03-17,68,2013-01-03,152,12.67,"12 years, 8 months"
Mike,Carey,Mike Carey,1971-03-13,54,2021-11-04,46,3.83,"3 years, 10 months"
Kevin,Hern,Kevin Hern,1961-12-04,63,2018-11-13,82,6.83,"6 years, 10 months"
Josh,Brecheen,Josh Brecheen,1979-06-19,46,2023-01-03,32,2.67,"2 years, 8 months"
Frank,Lucas,Frank Lucas,1960-01-06,65,1994-05-10,376,31.33,"31 years, 4 months"
Tom,Cole,Tom Cole,1949-04-28,76,2003-01-03,272,22.67,"22 years, 8 months"
Stephanie,Bice,Stephanie Bice,1973-11-11,51,2021-01-03,56,4.67,"4 years, 8 months"
Suzanne,Bonamici,Suzanne Bonamici,1954-10-14,70,2012-01-31,163,13.58,"13 years, 7 months"
Cliff,Bentz,Cliff Bentz,1952-01-12,73,2021-01-03,56,4.67,"4 years, 8 months"
Maxine,Dexter,Maxine Dexter,1972-12-05,52,2025-01-03,8,0.67,8 months
Val,Hoyle,Val Hoyle,1964-02-14,61,2023-01-03,32,2.67,"2 years, 8 months"
Janelle,Bynum,Janelle Bynum,1975-01-31,50,2025-01-03,8,0.67,8 months
Andrea,Salinas,Andrea Salinas,1969-12-06,55,2023-01-03,32,2.67,"2 years, 8 months"
Brian,Fitzpatrick,Brian Fitzpatrick,1973-12-17,51,2017-01-03,104,8.67,"8 years, 8 months"
Brendan,Boyle,Brendan Boyle,1977-02-06,48,2015-01-03,128,10.67,"10 years, 8 months"
Dwight,Evans,Dwight Evans,1954-05-16,71,2016-11-14,106,8.83,"8 years, 10 months"
Madeleine,Dean,Madeleine Dean,1959-06-06,66,2019-01-03,80,6.67,"6 years, 8 months"
Mary Gay,Scanlon,Mary Gay Scanlon,1959-08-30,66,2018-11-13,82,6.83,"6 years, 10 months"
Chrissy,Houlahan,Chrissy Houlahan,1967-06-05,58,2019-01-03,80,6.67,"6 years, 8 months"
Ryan,Mackenzie,Ryan Mackenzie,1982-08-03,43,2025-01-03,8,0.67,8 months
Rob,Bresnahan,Rob Bresnahan,1990-04-22,35,2025-01-03,8,0.67,8 months
Dan,Meuser,Dan Meuser,1964-02-10,61,2019-01-03,80,6.67,"6 years, 8 months"
Scott,Perry,Scott Perry,1962-05-27,63,2013-01-03,152,12.67,"12 years, 8 months"
Lloyd,Smucker,Lloyd Smucker,1964-01-23,61,2017-01-03,104,8.67,"8 years, 8 months"
Summer,Lee,Summer Lee,1987-11-26,37,2023-01-03,32,2.67,"2 years, 8 months"
John,Joyce,John Joyce,1957-02-08,68,2019-01-03,80,6.67,"6 years, 8 months"
Guy,Reschenthaler,Guy Reschenthaler,1983-04-17,42,2019-01-03,80,6.67,"6 years, 8 months"
Glenn,Thompson,Glenn Thompson,1959-07-27,66,2009-01-03,200,16.67,"16 years, 8 months"
Mike,Kelly,Mike Kelly,1948-05-10,77,2011-01-03,176,14.67,"14 years, 8 months"
Chris,Deluzio,Chris Deluzio,1984-07-13,41,2023-01-03,32,2.67,"2 years, 8 months"
Gabe,Amo,Gabe Amo,1987-12-11,37,2023-11-13,22,1.83,"1 year, 10 months"
Seth,Magaziner,Seth Magaziner,1983-07-22,42,2023-01-03,32,2.67,"2 years, 8 months"
Nancy,Mace,Nancy Mace,1977-12-04,47,2021-01-03,56,4.67,"4 years, 8 months"
Joe,Wilson,Joe Wilson,1947-07-31,78,2001-12-18,285,23.75,"23 years, 9 months"
Sheri,Biggs,Sheri Biggs,1970-03-28,55,2025-01-03,8,0.67,8 months
William,Timmons,William Timmons,1984-04-30,41,2019-01-03,80,6.67,"6 years, 8 months"
Ralph,Norman,Ralph Norman,1953-06-20,72,2017-06-20,99,8.25,"8 years, 3 months"
Jim,Clyburn,Jim Clyburn,1940-07-21,85,1993-01-03,392,32.67,"32 years, 8 months"
Russell,Fry,Russell Fry,1985-01-31,40,2023-01-03,32,2.67,"2 years, 8 months"
Dusty,Johnson,Dusty Johnson,1976-09-30,48,2019-01-03,80,6.67,"6 years, 8 months"
Diana,Harshbarger,Diana Harshbarger,1960-01-01,65,2021-01-03,56,4.67,"4 years, 8 months"
Tim,Burchett,Tim Burchett,1964-08-25,61,2019-01-03,80,6.67,"6 years, 8 months"
Chuck,Fleischmann,Chuck Fleischmann,1962-10-11,62,2011-01-03,176,14.67,"14 years, 8 months"
Scott,DesJarlais,Scott DesJarlais,1964-02-21,61,2011-01-03,176,14.67,"14 years, 8 months"
Andy,Ogles,Andy Ogles,1971-06-18,54,2023-01-03,32,2.67,"2 years, 8 months"
John,Rose,John Rose,1965-02-23,60,2019-01-03,80,6.67,"6 years, 8 months"
David,Kustoff,David Kustoff,1966-10-08,58,2017-01-03,104,8.67,"8 years, 8 months"
Steve,Cohen,Steve Cohen,1949-05-24,76,2007-01-03,224,18.67,"18 years, 8 months"
Nathaniel,Moran,Nathaniel Moran,1974-09-23,51,2023-01-03,32,2.67,"2 years, 8 months"
Dan,Crenshaw,Dan Crenshaw,1984-03-14,41,2019-01-03,80,6.67,"6 years, 8 months"
Keith,Self,Keith Self,1953-03-20,72,2023-01-03,32,2.67,"2 years, 8 months"
Pat,Fallon,Pat Fallon,1967-12-19,57,2021-01-03,56,4.67,"4 years, 8 months"
Lance,Gooden,Lance Gooden,1982-12-01,42,2019-01-03,80,6.67,"6 years, 8 months"
Jake,Ellzey,Jake Ellzey,1970-01-24,55,2021-07-30,49,4.08,"4 years, 1 month"
Lizzie,Fletcher,Lizzie Fletcher,1975-02-13,50,2019-01-03,80,6.67,"6 years, 8 months"
Morgan,Luttrell,Morgan Luttrell,1975-11-07,49,2023-01-03,32,2.67,"2 years, 8 months"
Al,Green,Al Green,1947-09-01,78,2005-01-03,248,20.67,"20 years, 8 months"
Michael,McCaul,Michael McCaul,1962-01-14,63,2005-01-03,248,20.67,"20 years, 8 months"
August,Pfluger,August Pfluger,1978-12-28,46,2021-01-03,56,4.67,"4 years, 8 months"
Craig,Goldman,Craig Goldman,1968-10-03,56,2025-01-03,8,0.67,8 months
Ronny,Jackson,Ronny Jackson,1967-05-04,58,2021-01-03,56,4.67,"4 years, 8 months"
Randy,Weber,Randy Weber,1953-07-02,72,2013-01-03,152,12.67,"12 years, 8 months"
Monica De La,Cruz,Monica De La Cruz,1974-11-11,50,2023-01-03,32,2.67,"2 years, 8 months"
Veronica,Escobar,Veronica Escobar,1969-09-15,56,2019-01-03,80,6.67,"6 years, 8 months"
Pete,Sessions,Pete Sessions,1955-03-22,70,2021-01-03,56,4.67,"4 years, 8 months"
Jodey,Arrington,Jodey Arrington,1972-03-09,53,2017-01-03,104,8.67,"8 years, 8 months"
Joaquin,Castro,Joaquin Castro,1974-09-16,51,2013-01-03,152,12.67,"12 years, 8 months"
Chip,Roy,Chip Roy,1972-08-07,53,2019-01-03,80,6.67,"6 years, 8 months"
Troy,Nehls,Troy Nehls,1968-04-07,57,2021-01-03,56,4.67,"4 years, 8 months"
Tony,Gonzales,Tony Gonzales,1980-10-10,44,2021-01-03,56,4.67,"4 years, 8 months"
Beth Van,Duyne,Beth Van Duyne,1970-11-16,54,2021-01-03,56,4.67,"4 years, 8 months"
Roger,Williams,Roger Williams,1949-09-13,76,2013-01-03,152,12.67,"12 years, 8 months"
Brandon,Gill,Brandon Gill,1994-02-26,31,2025-01-03,8,0.67,8 months
Michael,Cloud,Michael Cloud,1975-05-13,50,2018-07-10,86,7.17,"7 years, 2 months"
Henry,Cuellar,Henry Cuellar,1955-09-19,70,2005-01-03,248,20.67,"20 years, 8 months"
Sylvia,Garcia,Sylvia Garcia,1950-09-06,75,2019-01-03,80,6.67,"6 years, 8 months"
Jasmine,Crockett,Jasmine Crockett,1981-03-29,44,2023-01-03,32,2.67,"2 years, 8 months"
John,Carter,John Carter,1941-11-06,83,2003-01-03,272,22.67,"22 years, 8 months"
Julie,Johnson,Julie Johnson,1966-05-02,59,2025-01-03,8,0.67,8 months
Marc,Veasey,Marc Veasey,1971-01-03,54,2013-01-03,152,12.67,"12 years, 8 months"
Vicente,Gonzalez,Vicente Gonzalez,1967-09-04,58,2017-01-03,104,8.67,"8 years, 8 months"
Greg,Casar,Greg Casar,1989-05-04,36,2023-01-03,32,2.67,"2 years, 8 months"
Brian,Babin,Brian Babin,1948-03-23,77,2015-01-03,128,10.67,"10 years, 8 months"
Lloyd,Doggett,Lloyd Doggett,1946-10-06,78,1995-01-03,368,30.67,"30 years, 8 months"
Wesley,Hunt,Wesley Hunt,1981-11-13,43,2023-01-03,32,2.67,"2 years, 8 months"
Blake,Moore,Blake Moore,1980-06-22,45,2021-01-03,56,4.67,"4 years, 8 months"
Celeste,Maloy,Celeste Maloy,1981-05-22,44,2023-11-28,22,1.83,"1 year, 10 months"
Mike,Kennedy,Mike Kennedy,1969-02-02,56,2025-01-03,8,0.67,8 months
Burgess,Owens,Burgess Owens,1951-08-02,74,2021-01-03,56,4.67,"4 years, 8 months"
Becca,Balint,Becca Balint,1968-05-04,57,2023-01-03,32,2.67,"2 years, 8 months"
Rob,Wittman,Rob Wittman,1959-02-03,66,2007-12-11,213,17.75,"17 years, 9 months"
Jen,Kiggans,Jen Kiggans,1971-06-18,54,2023-01-03,32,2.67,"2 years, 8 months"
Bobby,Scott,Bobby Scott,1947-04-30,78,1993-01-03,392,32.67,"32 years, 8 months"
Jennifer,McClellan,Jennifer McClellan,1972-12-28,52,2023-03-07,30,2.5,"2 years, 6 months"
John,McGuire,John McGuire,1968-08-24,57,2025-01-03,8,0.67,8 months
Ben,Cline,Ben Cline,1972-02-29,53,2019-01-03,80,6.67,"6 years, 8 months"
Eugene,Vindman,Eugene Vindman,1975-06-06,50,2025-01-03,8,0.67,8 months
Don,Beyer,Don Beyer,1950-06-20,75,2015-01-03,128,10.67,"10 years, 8 months"
Morgan,Griffith,Morgan Griffith,1958-03-15,67,2011-01-03,176,14.67,"14 years, 8 months"
Suhas,Subramanyam,Suhas Subramanyam,1986-09-26,39,2025-01-03,8,0.67,8 months
James,Walkinshaw,James Walkinshaw,1982-10-02,42,2025-09-10,0,0.0,0 months
Suzan,DelBene,Suzan DelBene,1962-02-17,63,2012-11-13,154,12.83,"12 years, 10 months"
Rick,Larsen,Rick Larsen,1965-06-15,60,2001-01-03,296,24.67,"24 years, 8 months"
Marie Gluesenkamp,Perez,Marie Gluesenkamp Perez,1988-06-06,37,2023-01-03,32,2.67,"2 years, 8 months"
Dan,Newhouse,Dan Newhouse,1955-07-10,70,2015-01-03,128,10.67,"10 years, 8 months"
Michael,Baumgartner,Michael Baumgartner,1975-12-13,49,2025-01-03,8,0.67,8 months
Emily,Randall,Emily Randall,1985-10-03,39,2025-01-03,8,0.67,8 months
Pramila,Jayapal,Pramila Jayapal,1965-09-21,60,2017-01-03,104,8.67,"8 years, 8 months"
Kim,Schrier,Kim Schrier,1968-08-23,57,2019-01-03,80,6.67,"6 years, 8 months"
Adam,Smith,Adam Smith,1965-06-15,60,1997-01-03,344,28.67,"28 years, 8 months"
Marilyn,Strickland,Marilyn Strickland,1962-09-25,63,2021-01-03,56,4.67,"4 years, 8 months"
Carol,Miller,Carol Miller,1950-11-04,74,2019-01-03,80,6.67,"6 years, 8 months"
Riley,Moore,Riley Moore,1980-07-01,45,2025-01-03,8,0.67,8 months
Bryan,Steil,Bryan Steil,1981-03-03,44,2019-01-03,80,6.67,"6 years, 8 months"
Mark,Pocan,Mark Pocan,1964-08-14,61,2013-01-03,152,12.67,"12 years, 8 months"
Derrick Van,Orden,Derrick Van Orden,1969-09-15,56,2023-01-03,32,2.67,"2 years, 8 months"
Gwen,Moore,Gwen Moore,1951-04-18,74,2005-01-03,248,20.67,"20 years, 8 months"
Scott,Fitzgerald,Scott Fitzgerald,1963-11-16,61,2021-01-03,56,4.67,"4 years, 8 months"
Glenn,Grothman,Glenn Grothman,1955-07-03,70,2015-01-03,128,10.67,"10 years, 8 months"
Tom,Tiffany,Tom Tiffany,1957-12-30,67,2020-05-19,64,5.33,"5 years, 4 months"
Tony,Wied,Tony Wied,1976-05-03,49,2024-11-12,10,0.83,10 months
Harriet,Hageman,Harriet Hageman,1962-10-18,62,2023-01-03,32,2.67,"2 years, 8 months"
