cadidate name,fec_id,party,state
"SMITH, KEVIN PALMER",P40008559,,NY
"ELLZEY, JOHN KEVIN SR.",H8TX06266,REP,TX
"WICKER, ROGER SEN.",S8MS00196,REP,MS
"ROSENDALE, MATT MR.",S8MT00234,REP,MT
"PUGLIESE, ROSE",H4CO05154,REP,CO
"CRAMER, KEVIN MR.",S8ND00120,REP,ND
"SHEAR'REE, SHEAR'REE",P60003415,IND,CA
"LAWHORN, ZANE RENE",S6WV00063,REP,WV
"WITKOP, THOMAS",H4FL21070,DEM,FL
"KREGLER, WILLIAM",H4NY07128,REP,NY
"BOYSKO, JENNIFER",H4VA10238,DEM,DC
"PINO, NIKKI MR",P40018616,IND,UT
"SUBRAMANYAM, SUHAS",H4VA10279,DEM,VA
"MURPHY, CHRISTOPHER S",S2CT00132,DEM,CT
"COULTER, JOSHUA",P40018723,IND,FL
"HILDERBRAND, KURT",H4OH06173,REP,OH
"HIRONO, MAZIE K.",S2HI00106,DEM,HI
"WARREN, ELIZABETH",S2MA00170,DEM,MA
"CHRISTIANSEN, KATRINA",S2ND00123,DEM,ND
"FISCHER, DEBRA S.",S2NE00094,REP,NE
"HEINRICH, MARTIN",S2NM00088,DEM,NM
"PAUL, ADAM NICHOLAS",P00011767,IND,WI
"MARINA, KRISTIN",P40018590,IND,OR
"MCBRIDE, AUSTIN PRESIDENT",P40018608,NPA,UT
"MCDADE, CLAIR MARIE",H4VA10311,REP,VA
"COHEN, HOWARD RUSSELL",P40012676,IND,FL
"WATERS, DOM",H2CO01173,UNI,CO
"HEMPHILL, JAMES TERRELLE",H2OH11250,REP,OH
"SAXENA, ANIL",H4CO04306,DEM,CO
"COLEMAN, OCTAVIA MRS.",H4GA13059,DEM,GA
"BROWN, DAVID MR.",H6CA32157,DEM,CA
"HUQ, MD MUZIBUL DR MD",H4NY02079,DEM,NY
"MYGLAND, JEREMY",S4MT00175,REP,MT
"SJOBERG, JESSICA",H4MD02299,DEM,MD
"CHOWDHURY, MOHAMMED MOHIUDDIN",H4NY06054,IND,NY
"LAPIDES, BENNETT",H4TN01193,DEM,TN
"FARR, JOAN",P40014599,REP,KS
"QUIGLEY, ROBERT ALLEN",P40016222,W,DC
"IWERKS, JEFF A MR.",P40016230,IND,SD
"DOWNARD, JEFFREY BRIAN DR.",P00012872,IND,AZ
"MOILANEN, DANIEL BURTON",H4MI08200,DEM,MI
"MAY, PAM",H4MO06125,DEM,MO
"MARTIN, JACK",H6FL11217,REP,FL
"HILL, MATT FOR",S4VT00173,LIB,VT
"SHERMAN, CARL OSCAR SR.",S4TX00805,DEM,TX
"CURTIS, JOHN",S4UT00282,REP,UT
"JENSEN, TYRONE",S4UT00191,REP,UT
"MATHYS, CHRIS",H2CA21183,REP,CA
"DENAME, MICHAEL",P00005256,AMP,NY
"DICKSON, GARY A",H4NY26102,REP,NY
"NG, ROBIN",H4NH02316,REP,NH
"BILASH, TIMOTHY DANIEL DR. M.D.",H2CA50190,DEM,CA
"CUNNINGHAM, CHRIS",S4NV00379,LIB,NV
"GUNDERSON, MATT",H4CA49149,REP,CA
"HUBBARD, CHUCK",H4NC05294,DEM,NC
"AGUILAR, YLENIA",H4AZ03125,DEM,AZ
"GARAPATI, ABHIRAM",H0TX31030,REP,TX
"KITISHIAN, DANY OHANNES MR.",H4LA05270,REP,LA
"KIFLE, AARON",H4NV02177,REP,NV
"PASTREICH, EMANUEL YI",P40015356,GRE,MA
"REHBERG, DENNIS R",H0MT00033,REP,MT
"OLIVER, CHASE RUSSELL",P40011983,LIB,GA
"SCOTT, TIMOTHY E.",P40012155,REP,SC
"PENCE, MIKE",P40013435,REP,IN
"STAPLETON, COREY",P40009144,REP,MT
"HORAN, DONALD",S4FL00538,DEM,FL
"BURGUM, DOUG",P40013518,REP,GA
"KARLEN, JONATHAN",H2MO03159,DEM,MO
"HOWELL, TATE ARZA",H4UT03245,REP,UT
"JENNINGS, GERALD JOHN PROPHET II",P60008299,REP,CO
"DEAN, BRANDAUN LEFRED MAYOR",S4DC00035,DEM,DC
"GARRETSON, JAMES BRANDON",P40011421,IAP,TX
"LIMON, TRACY L",H4IA03156,DEM,IA
"DAVIS, GARY G MR",P40011439,DEM,TN
"PATTON, ROYCE MARIE GODDESS",P40011447,UNK,TX
"WILLS, LONNIE",P40011454,REP,AZ
"LIMON, TRACY",S4IA00251,DEM,IA
"HARDIN, JONATHAN",P40011462,W,VA
"HARDIN, JONATHAN T DR PH.D.",S4VA00262,IND,VA
"ATKINSON, ED RAY MR.",H4TX18120,VET,TX
"NICHOLAS, GIBRAN",P40011470,DEM,GA
"WEISS, DONNA",H4NJ10283,OTH,NJ
"CASEY, MIKE",H4MN04132,REP,MN
"DOLAN, MATT",S2OH00477,REP,OH
"MCCORMICK, DAVE",S2PA00661,REP,PA
"CRUZ, RAFAEL EDWARD  TED",S2TX00312,REP,TX
"ALTEKAR, GIRISH",H4TX07164,LIB,TX
"LIEW, SARAH SUN DR.",H0CA33216,REP,CA
"MANNING, ZACHARIAH C.",S4TX00714,DEM,TX
"HOBBS, ELIJAH DEE MR.",P40021693,REP,TX
"PARSONS, STEVE G.",H4AR01085,LIB,MO
"BENDAR, BARRY D",H0NJ03161,GRE,NJ
"JENKINS, RUSSELL A",H4NJ10267,OTH,NJ
"RAYMOND, ROBERT",H4WI04266,IND,WI
"LYTHCOTT-HAIMS, JULIE",H4CA16262,DEM,CA
"RAYMOND, ROBERT R.",H8WI05124,IND,WI
"SHERMAN, LEA",H2NJ09156,OTH,NJ
"OLIVERA, PABLO",H2NJ08224,OTH,NJ
"KAPLAN, VICTOR",H4NJ05119,LIB,NJ
"TOSONE, JAMES",H8NJ05144,LIB,NJ
"JOHNSON, CYNTHIA",H8NJ10144,OTH,NJ
"SPELLMAN, CLINT JR.",H4MD02307,DEM,MD
"IRONS, CASSIDY",P40014664,IDP,FL
"SILVER, STEWART FRED",H4MD03347,DEM,MD
"MIAN, NAVEED",H4MD03354,REP,MD
"JOHNSON, EMMETT",H4MD04204,DEM,MD
"MCDOW, STEPHEN R. II",H4MD06399,DEM,MD
"LOPEZ, GREGORY DIEGO",H4TX23146,DEM,TX
"HOFFMAN, RALPH ROBBIE MR",P40014573,DEM,WI
"MICHEL, CASEY",H4AZ05104,REP,AZ
"MOZUMDER, MOHAMMAD S.",H4MD06407,DEM,MD
"MASSEY, COLLEEN JOAN",H4GA02128,IND,GA
"PUGLISI, TODD A.",H4MD06415,REP,MD
"LANDHAM, MOSHE Y.",H4MD06423,OTH,MD
"BACON, DONALD J",H6NE02125,REP,NE
"CAPPARELL, CHRIS",P40014912,W,GA
"SMITH, ADRIAN",H6NE03115,REP,NE
"GOTTHEIMER, JOSH",H6NJ05171,DEM,NJ
"WOZNIAK, STEVE",H2CA05137,NOP,CA
"LARSEN, FLEMMING",H4NV01203,REP,NV
"WATTS, HELCHIC KOTON",H4DC00118,OTH,DC
"SMITH, KASANDRA L",H4TN09113,DEM,TN
"HENRICKSON, PAUL",P40019895,IND,WA
"BISWAS, NEENA DR",H4TX26206,REP,TX
"LANKENAU, STEVE",H4OH09144,REP,OH
"ZUMBLUSKAS, MICHAEL",H2NY12221,REP,NY
"SAUL, JOSHUA",H4MI01171,REP,MI
"PITTMAN, BERNADETTE",H4FL01270,REP,FL
"WATERS, ALLEN",H2RI01202,REP,RI
"SPANBERGER, ABIGAIL",H8VA07094,DEM,VA
"EVANS, RICHARD MR.",H4FL26111,REP,FL
"OLUKORE, ADE OBA",P40012486,APF,CA
"PANAYIOTOU, CHRISTOPHER",H4TX32121,DEM,TX
"LINGSCH, ROD",H0TX34034,REP,TX
"RAASCH, WAYNE",H6TX27068,DEM,TX
"JONES, RASHAAD",H4GA12077,DEM,GA
"GILLESPIE, PATRICK DAVID",H2TX33248,REP,TX
"ROBISON, DOUGLAS",H4TX26198,REP,TX
"GILBERRY, WALLACE",H4AL02204,REP,AL
"VILLARREAL RIGNEY, JOHN",H4TX15142,DEM,TX
"HATFIELD JR, SCOTT ALLEN",H3UT02017,REP,UT
"CHERA, ANGAD SINGH",P40015893,DEM,CA
"CORTES, JOSE SANTOS MR. JR.",P40011488,REP,CA
"WRIGHT, RICHARD",P40021560,REP,TN
"XIONG, TIGER DR.",S4VA00270,IND,VA
"MURDAY, ELSPETH SNOW",H4SC03137,REP,SC
"BENSON, ERIK",H2IN06296,REP,IN
"JOSEPH, VLADIMY MR.",S4NY00453,DEM,NY
"YANKOVICH, COREY MATTHEW MR",P40021628,W,GA
"CEDENO, ALBERTO MR.",P40021842,W,TX
"HARPER, FRANK EUGENE HILL",S4MI00553,DEM,MI
"ARRINGTON, RANDALL",H4LA01162,REP,LA
"SHALES, ROSS",H4LA01170,REP,LA
"SWANSON, MARGUERITTE",H4LA01188,REP,LA
"HYERS, J. 'FRANKIE'",H4LA01196,NNE,LA
"PERRILLOUX, SHONDRELL",H4LA02152,REP,LA
"JONES, WILKEN JR.",H4LA06245,DEM,LA
"BROWNFIELD, ROBIN",H4NJ01217,GRE,NJ
"JOHNSON, AUSTIN",H4NJ01225,OTH,NJ
"ROSE, CHRISTOPHER ANDREW",S4WV00316,REP,WV
"CANNAVO, THOMAS",H4NJ02223,GRE,NJ
"CARL, ARRECHEA",P00013110,IND,CA
"LYONS SR, STEPHEN PATRICK",P00013573,DEM,MD
"KELLY, NATHAN DOUGLAS MR 'NATHANAEL'",P00015370,REP,VA
"FAIRLCOTH, ROY  (CLAY FAIR CLAYBORNE J",H2TN06170,DEM,TN
"BARBERA, JUSTIN R.",H4NJ03288,OTH,NJ
"MOORE, KELLIE ANN MS",H4IN08215,DEM,IN
"FRASIER, BENJAMIN JR",H6SC01136,DEM,SC
"MCCUSKER, JOSEPH ANGUS MR.",P40015885,NPA,NY
"TEDDER, ELIZABETH",H4SC05066,W,SC
"JAFRI, KHALID",H0CA43074,REP,CA
"WILSON, ERIC",H2CA12265,DEM,CA
"PENNINGTON, RICHARD",P40015661,UN,VT
"MIXON, ANDREW WOODRUFF NONE NONE",P40021461,IND,TN
"GARCIA, JOSHUA",S4CA00894,REP,CA
"WILLIAMS, SAMUEL LEE",H4FL10131,REP,FL
"MIXON, ANDREW WOODRUFF NONE NONE",P40021479,IND,TN
"MIXON, ANDREW WOODRUFF",P40021537,FED,TN
"TEMPEST, KELLIE PASTOR",H4AR02190,REP,CA
"BISHOP, JOSHUA ADAM",P40021875,ALM,IA
"TEMPEST, KELLIE",H4AR02208,REP,CA
"TEMPEST, KELLIE MISS",H4AR02216,REP,CA
"HAKOLA, LIZ",H2MI01167,OTH,MI
"TEMPEST, KELLIE MISS",H4AR02224,REP,CA
"PALUS, LOUIS",H2MI03239,OTH,MI
"DAILEY, LEAH R.",H2MI07149,LIB,MI
"WALKOWICZ, JIM",H2MI09178,OTH,MI
"COLEMAN, SIMONE R.",H2MI13410,OTH,MI
"CASHA, JIM",H4MI08176,GRE,MI
"VAYKO, KEVIN",H4MI09133,LIB,MI
"GOODWIN, KATHY",H8MI05124,OTH,MI
" GONZALES, JOHN OLIVER DELOS REYES",H8MP00033,IND,MP
"GOFFE, ANDREW LEE",H4CA47168,DEM,CA
"RODRIGUEZ, ANTONIO",H4TX05069,IND,TX
"RICHARDSON, CHRIS",H0CA07145,GRE,CA
"BROWN, GARY J",P40014938,DEM,NV
"SUGGS, RODNEY EUGENE",P40016289,NNE,SC
"PHAM, JIMMY D",H4CA45154,DEM,CA
"HAHN, TINA JAYNE",P60005949,IND,AZ
"FEDALIZO, BALTAZAR MR.",H2CA37320,REP,CA
"IYER, STEVE",H2CA14204,REP,CA
"PASCRELL, WILLIAM J. JR.",H6NJ08118,DEM,NJ
"DAVIDSON, WARREN",H6OH08315,REP,OH
"MUNDY, KEITH FRANCIS",H6OH16136,DEM,OH
"BLUMENAUER, EARL",H6OR03064,DEM,OR
"EVANS, DWIGHT",H6PA02171,DEM,PA
"FITZPATRICK, BRIAN",H6PA08277,REP,PA
"SMUCKER, LLOYD K.",H6PA16320,REP,PA
"FRATTO, MARIO",H4NY24115,REP,NY
"STEELE, DAYNA",H8TX36024,DEM,TX
"JEFFERSON, JRMAR",H4TX30083,LIB,TX
"MAJEWSKI, JR",H4OH09151,REP,OH
"MARCELLINI, MARK ROBERT",P40008716,,CA
"SHULTZ, DESHAN LEVY",H4NV04132,DEM,NV
"SONS, LUKE",H4OH05050,DEM,OH
"TRAN, ASHLEY",H4TX32162,IND,TX
"ALKIRE, JERRY LEE",P40016792,REP,KS
"TAEBEL, MITCH",P40018392,HRP,IN
"GALLEGOS, ISIAH NATHANIEL",H4AZ08116,REP,AZ
"SOETAERT, MICHAEL",P40010498,DEM,KS
"WALKOWICZ, GARY",H8MI07039,OTH,MI
"CAMPBELL, DOUGLAS",H8MI09084,GRE,MI
"BHALLA, RAVI",H4NJ07149,DEM,NJ
"MCKINNEY, BRYAN",S4WV00365,REP,WV
"CURRAN, REBEKAH A.",S4MI00686,REP,MI
"HEATH, JEFFORY",P40011413,REP,NM
"KIRBY, ANDREA",H8MI09142,OTH,MI
"CUMMINGS, DANIEL CLYDE",P60021136,CON,UT
"IMPERATO, DANIEL J",P80002975,REP,FL
"WILKINSON, BRANDON",H0MO03237,REP,MO
"RICHARDS, AUDREY",H0MO07279,REP,MO
"WENMOTH, ANDREW DOUGLAS REV. DR.",P40021651,GOD,OH
"DRAKE, PHILLIP JOSEPH",P40012734,IND,SC
"CURTIS, MICHAEL ROGER",P40006942,REP,NE
"KOHLER, JOSEPH ANTHONY",P40021669,UNK,NY
"HEART, WILLIAM J. MR. I",S4OH00242,GOD,OH
"KYLLONEN, JEFFREE",H4WA24011,REP,WA
"ELSE, LITERALLY ANYBODY",P40021701,UN,TX
"YOUNG, STEVEN LOUIS",P40021727,W,CA
"BRINKLEY, EDWARD LEE",P40012791,REP,TN
" LEWIS, ADAM CHARLES",P40012809,OTH,AZ
"GONZALEZ, DIEGO ANTONIO JR",H4IN01251,DEM,IN
"POTUS, FUTURE MADAM",P40021735,W,AK
"HARTMAN, RALPH",H2FL16116,W,FL
"KIPUKE, OMBA",H4CA06131,DEM,CA
"KENT, VAN",P40011595,IND,MI
"HUNT, EUGENE ROSELL JR",P20002861,REP,MI
"DEMBINSKY, RICHARD PAUL",H4FL06089,W,FL
"BELLE, ANITA EILEEN",P00011262,GRE,MI
"GOLDFARB, EDDIE",H4FL25063,W,FL
"RUDNICK, FREDERICKA DAVID MR.",P40015844,REP,CA
"MERTS, JAMES MARK",P40016420,NNE,CA
"VAN CLEEF, ALEXANDRA",H4FL06071,REP,FL
"WARRENS, JOANNA",H4CA01165,DEM,CA
"DANIELS, SHOLDON",H4TX30109,REP,TX
"MORRISON, JOHN",H4NJ04187,LIB,NJ
"FORTE, BEAU",H4NJ05176,GRE,
"ARIF, AAMIR",H4NJ05184,OTH,NJ
"AMITRANO, MATTHEW",H4NJ06158,LIB,NJ
"ROBBINS, CHRISTIAN J.",H4NJ08147,GRE,NJ
"CHERA, ANGAD SINGH",P40015810,W,CA
"RUDNICK, FREDERICK DAVID MR.",P40015828,REP,CA
"RUDNICK, FREDERICK DAVID MR.",P40015836,REP,CA
"PEREIRA, BRUNO",H4NJ09202,LIB,NJ
"SCOTT, MICHAEL ERVIN MR.",H4MD12025,PPY,MD
"MIDDLETON, MICHELLE",H4NJ10275,OTH,NJ
"FERRY, CHARLES GRIFFITH MR JR",P40014276,LIB,NY
"MOSS, MARTY",P40004319,REP,IN
"CABRERA, MING A MR",H4MT02056,DEM,MT
"NORTON, MIKE",S4AZ00287,GRE,AZ
"GRANGER, KAY",H6TX12060,REP,TX
"ARRINGTON, JODEY",H6TX19099,REP,TX
"SERRANO GLASSNER, CHRISTINE",S4NJ00441,REP,NJ
"BOWE, LINDSAY",H4AZ02176,DEM,AZ
"KIM, ANDY",S4NJ00466,DEM,NJ
"ANDERSON, JO",H4IN03216,DEM,IN
"BASHAW, CURTIS",S4NJ00540,REP,NJ
"MORAN, CORY",H4MT01074,REP,MT
"DOMENICI, NELLA LOUISE LOUISE",S4NM00183,REP,NM
"BRANNUM, ROBERT VINSON",S4DC00050,DEM,DC
"EVANS, ANTHONY G JR",H4OH11090,DEM,OH
"BEIRNE, MICHAEL",P40014987,OTH,MD
"VAZQUES, RICARDO",H4CA31121,DEM,CA
"HOLY, SHELLEY FAYE",P60022050,REP,ID
"WELTON, CHRISTOPHER JOHN",P40008955,REP,WA
"UNDERWOOD, LAUREN",H8IL14174,DEM,IL
"PENCE, GREGORY J.",H8IN06129,REP,IN
"STACK, BRIAN PATRICK",P40011520,REP,VA
"DAVIDS, SHARICE",H8KS03155,DEM,KS
"ESTES, RON",H8KS04112,REP,KS
"GUTHRIE, S. BRETT HON.",H8KY02031,REP,KY
"NEAL, RICHARD E",H8MA02041,DEM,MA
"TRAHAN, LORI",H8MA03106,DEM,MA
"PRESSLEY, AYANNA",H8MA07032,DEM,MA
"HARRIS, ANDREW P",H8MD01094,REP,MD
"CAST, CLIFFORD VANCE DR",H4AZ06144,LIB,AZ
"MILLS, RALPH JOHN III",H6FL01143,REP,MO
"JOHNSON, JASON 'MR. J'",H4MD06431,UN,MD
"AVION, ORLONDO",H2CO05224,DEM,CO
"FELBER, ERIC",H4MD08221,DEM,MD
"NAJERA, COURTNEY SIMONE",H4CA30321,DEM,CA
"BOHAN, PATRICK",H4CO07051,LIB,CO
"EBERS, DANIEL",H4NE03086,DEM,NE
"BOERNER, ERIC JON",P40009409,REP,WA
"MCCUISTON, ROBERT",H4NE03094,REP,NE
"STRONG, COREY O",H0TN09129,DEM,TN
"REED, CHRIS BOB",H4WV01082,DEM,WV
"DANIELS, PAMELA RENEE MS",H2NJ04249,DEM,NJ
"GELFAT, MARK",P40019960,DEM,NJ
"TILTON, DAVID M",S4WA00656,NON,WA
"CHEADLE, GREGORY",H2CA01136,DEM,CA
"SAREGA, JOHN",H2CA38278,REP,CA
"RASCON, MATTHEW G.",H2CA48129,DEM,CA
"SALVESEN, JOHN 'BONGO'",H4GA05071,REP,GA
"OCHOA, ROBERT",H4CA38092,REP,CA
"PESTA, LORI MARIE",H4GA11145,REP,GA
"BLAND, DEXTER",H4DE10010,DEM,DE
"ORMEROD, DENNY",H4KY03285,REP,KY
"MCGINNIS, MICHAEL",H4KY04127,REP,KY
"PHAM, LONG KIM",H4CA47192,REP,CA
"POSEY, BILL",H8FL15107,REP,FL
"BAUMGARTNER, MICHAEL JAMES",H4WA05234,REP,WA
"BINGLE, JONATHAN",H4WA05242,REP,WA
"ROSSER, TREMEL MARQUIS",P40018194,CMD,VA
"COOPER, TERRI KAY",H4WA05259,REP,WA
"CARMEN, GOERS",H4WA08139,REP,WA
"CHAUDHRY, MELISSA",H4WA09095,DEM,WA
"HALE, KEVIN",H0TX05125,LIB,TX
"BARCA, PETER WILLIAM",H4WI01056,DEM,WI
"CARRILLO JR, FRANCISCO",H4CA27129,DEM,CA
"MORCKEL, RICHARD A MR.",H6OH13240,GOP,OH
"GALLEGO, RUBEN",S4AZ00139,DEM,AZ
"RODDEN, PAUL DAVID",P40018863,UC,CA
"PELUSI, RALPH ANTHONY",P40009037,IND,MS
"LAMB, MARK",S4AZ00188,REP,AZ
"LAKE, KARI",S4AZ00220,REP,AZ
"WILLIAMS, SARAH",S4AZ00261,LIB,AZ
"GARY-PANDOL, DENICE LYN MS.",S4CA00407,REP,CA
"SEWELL, BRIANA",H4VA07259,DEM,VA
"BENJAMIN, LEON MR. SR.",H0VA04064,REP,VA
"QUINTANILLA, CARLOS",H2TX06186,DEM,TX
"JEFFERSON, THOMAS MR.",P40014961,OTH,VA
"WHITLEY, DAVID VANN MR",H4CO03480,LIB,CO
"COSTA, JIM",H4CA20082,DEM,CA
"CROSS, ROBERT N",H4ME02275,REP,ME
"MARKEY, MICHAEL JAY MR. JR.",H4MI03243,REP,MI
"CYSEWSKI, MASON",H4VA04090,W,ND
"DARDZINSKI, CHRISTOPHER",H2MI13337,TX,MI
"HOUGH, BRUCE",H4UT02312,REP,UT
"PINGREE, CHELLIE M",H8ME01120,DEM,ME
"GOLDEN, JARED",H8ME02185,DEM,ME
"SHETH, NIRAV",H4WA08147,REP,WA
"STEVENS, HALEY",H8MI11254,DEM,MI
"TLAIB, RASHIDA",H8MI13250,DEM,MI
"STAUBER, PETER ALLEN",H8MN08043,REP,MN
"GLEICH, CAROLINE",S4UT00308,DEM,UT
"PARKINSON, SCOTT THOMAS",S4VA00312,REP,VA
"MEEKS, JANAI S.O",H4CA01207,NON,CA
"MEEKS, JANAI SO",H4CA01215,NON,CA
"TUPA, RONALD",H4CO07044,OTH,CO
"TAYLOR, MATTHEW EDWARD",P40016313,NPA,FL
"BLOOD, CAROL",H4NE01189,DEM,NE
"WILSON, BRUCE RANSON",P40016321,IND,SC
"FRIZZELL, JAMES KIETH MR SR",S4MI00645,IND,MI
"HART, JAMES",H2TN08077,IND,TN
"MAZO, EUGENE",H0NJ10208,DEM,NJ
"MINK, AUSTIN JAMES",H4IL10080,IND,IL
"BYLENGA, NOLAN EDWARD",H4OR03184,DEM,OR
"BELL, EVAN",H4CA16189,DEM,CA
"AREVALO, NORMAN",P40018897,IND,VA
"HUBER, RAIPH R",H4OR02228,REP,OR
"RICHARDSON, JONATHAN",H4KY06205,DEM,KY
"CAPPARELL, CHRISTOPHER PAUL",H4GA07317,DEM,GA
"KEPHART, STEPHEN JOSEPH MR",H4IA02083,REP,IA
"KREBAUM, WILLIAM B",H4MI06147,LIB,MI
"BRUNETTIIS, STEFANIA MS.",H4NY14116,REP,NY
"PERALES JR, MARIO A",P40018731,LIB,IA
"NELSON, PRESTON",H0IL08165,DEM,IL
"CASGRAUX (MOORE), COURTNEY E.",H4OR01139,DEM,OR
"RAMIREZ MORALES, VIVIANA",H4PR01077,REP,PR
"TODD, BOB",H4OR01147,REP,OR
"DUDLEY, STEPHEN PAUL",H4TX14129,IND,TX
"BEEBE, JASON",H4OR02244,REP,OR
"RAND, RACHEL LYDIA",H4OR03234,DEM,OR
"MCGUIRE, SEAN THOMAS",P40003949,DEM,FL
"PRESTON, JOSEPH EDWARD",H4VA04074,DEM,VA
"MALONE, YEHANNA JOAN M M",P00003814,REP,DC
"MCQUEEN, ELDON DAN",H0TX20124,IND,TX
"AZEVEDO, LARRY D",P40010894,DEM,CA
"LEON, JIMMY",H2TX09156,REP,TX
"BURCH, DAVID A.",H4OR06021,REP,OR
"WELLS, MAY ALICE CATHERINE",P40015901,IND,CA
"MCCAY, JAMES M MR. JR.",P40015984,IND,MS
"MOORE, SCOTTY",H2FL09228,REP,FL
"LEE, BARBARA",S4CA00589,DEM,CA
"PARELLA, CORY MR.",H4CO05188,REP,CO
"POUND, PERRY",S4CA00746,DEM,CA
"SINGH, MAJOR",S4CA00761,NOP,CA
"GONZALEZ, PATRICIA",H2FL24052,REP,FL
"WEBB, TOMMY",P40019978,IDP,CO
"BEDI, SURINDAR",S4FL00801,IND,FL
"LAVIN, JEFFREY R MR.",H4CA01082,LIB,CA
"BARCA, PETER",H4WI01197,DEM,WI
"COOKE, REBECCA",H4WI03169,DEM,WI
"WILSON, ERIC",H4WI03219,DEM,WI
"MOORE, GWEN S",H4WI04183,DEM,WI
"NATH, PURNIMA",H4WI04282,REP,WI
"SOTIRIOU DROZ, MELIN ARGYRO",H4PR01044,DEM,PR
"LICHTENBERGER, MATTHEW",P40016495,IND,CA
"GROTHMAN, GLENN S.",H4WI06048,REP,WI
"WIED, TONY",H4WI08119,REP,WI
"ZENG, JASON",H4CA11172,REP,CA
"BEN-AVI, TYRRELL",S2NY00374,DEM,NY
"PERELMAN, JENNIFER PILCHICK",H0FL23082,DEM,FL
"GOWETT, CHRISTOPHER JAMES",H4NY22101,NPA,NY
"RENE, KAREN",H4GA13091,DEM,GA
"BOGNER, KEN",H4MT02114,REP,MT
"CARONA, AILINA",H4TN57013,DEM,TN
"DURAZO, JOSEPH ANTHONY",H4CA00027,ACE,CA
"DUNLAP, HARRY WILLIAM",H4FL12079,REP,FL
"POWELL, LONNIE",H4IN05229,REP,IN
"SMITH SLATER, PRESIDENT QUINCI",P40016859,REP,CA
"EASTON, KEVIN",H4OR05270,DEM,OR
"PRYCE, PRESIDENT QUINCI",P40016867,REP,CA
"PARKER, ZACHARY",P40014995,AIP,CA
"RENEE SMITH SLATER, PRESIDENT QUINCI",P40016875,REP,CA
"PADUA HILLS, PRESIDENT QUINCI",P40016883,REP,CA
"THELEN, DAVID",S4CA00886,DEM,CA
"DONNELLY, RYAN",H4NH02308,IND,NH
"OLOFF, GERALD H. MR.",P40015000,REP,AZ
"WALKER, JAMARION",P40016248,DEM,AL
"PIVNICK, LAWRENCE ALLEN",H4TN08065,DEM,TN
"WILLIAMS, M LATROY",H6TN09415,DEM,TN
"CAO, HUNG",S4VA00353,REP,VA
"SANDERS, BERNARD",S4VT00033,IND,VT
"MOONEY, ALEXANDER X",S4WV00324,REP,WV
"HENNRICH, BRENT WILLIAM",H2WA03134,DEM,WA
"BALENO, IRENE STEPHANIE",S4GA11376,W,GA
"DUNN, BRANDON CRAIG MR",H4TX35033,REP,TX
"CLEGG, FREDERICK JAMES",P40016511,LIB,CA
"HEROLD, CONRAD J.",H4OR06039,REP,OR
"DYE, GARY LYNDON",H8OR03110,REP,OR
"CHEAURE, MICHAEL JAMES",H4CA36153,DEM,CA
"MACDONALD, LAURIE",H4PA12076,DEM,PA
"WATERS, ALLEN",H4RI01141,REP,RI
"CORDOVA, VINCENT DEAN MR. JR.",P40006520,IND,NV
"CASTENADA, JON",P40012692,IND,WA
"HOINSKI, JOSEPH",P40012700,REP,PA
"SWAIN, JOSEPH MILFORD MR",H4KS02156,DEM,KS
"REDMOND, JACOB THOMAS",P40018699,REP,CA
"KANE, CAROLINE",H4TX07099,REP,TX
"CAPPARELL, CHRIS",S4GA11384,DEM,GA
"ARBUCKEL, JAY",P40016008,REP,NJ
"CRAIGHILL-MIDDLETON, ANDUIN ELIM",H4NC06185,DEM,NC
"FREEMAN, ESAU A",H2KS04099,DEM,KS
"SMITH, ALEXANDER CHATFIELD",P40016032,REP,FL
"KHAIRULLAH, MOHAMED T.",H4NJ09178,DEM,NJ
"SCHECHINGER, SETH",P40016107,UN,IA
"WILLIAMS, SHANISE T",H4VA03068,IND,VA
"CAMPBELL, BILL",H4UT01132,DEM,UT
"HARMON, SUSAN SMITH",P40019093,PPY,PA
"MURSET, TYLER",H4UT02395,UN,UT
"CHRIST, JESUS",P40011744,IND,CA
"VILLAVERDE MORSE, MS MARY ANN",P40008476,REP,NY
"CAMPION, JEREMIAH JEREMIAH",H4OR03176,DEM,OR
"VAN HUISEN, GREGORY SCOTT",P40010217,REP,CA
"MARTIN, MARSHALL",H4CA06164,REP,CA
"MACKENZIE, RYAN EDWARD",H8PA15195,REP,PA
"GAASERUD, ALEXANDER",H4WV02197,REP,WV
"MOORE, RILEY",H4WV02205,REP,WV
"GILANI, SEPI",S4CA00845,DEM,AR
"BLUNT ROCHESTER, LISA",S4DE00060,DEM,DE
"CAMPBELL, STANLEY",S4FL00637,DEM,FL
"BANKS, JAMES E. HON.",S4IN00196,REP,IN
"FLOWERS, BERNARD",H4MD03149,REP,MD
"FICKER, ROBIN",S4MD00293,REP,MD
"LESKO, DEBBIE",H8AZ08158,REP,AZ
"BROWN, JASON KEITH",H4IN01228,AIP,IN
"WISE, SCOTT",H4IN03224,REP,IN
"SNYDER, NATHANIEL T.",H4FL14174,LIB,FL
"PELOSI, NANCY",H8CA05035,DEM,CA
"ROMAN, ELMER LUIS",H4PR01051,NPP,PR
"HARDER, JOSH",H8CA10126,DEM,CA
"TAVELER, TRIME CLOVER",P40015075,LIB,FL
"BUTTAR, SHAHID",H8CA12262,DEM,CA
"SINGLETON, PHILLIP",H4GA03076,REP,GA
