candidate name,party,fec_id,cid
"Carlson, Eric",R,H2IL01323,N00050103
"Carnahan, Jennifer",R,H2MN01264,N00050653
"Carnevale, Michael",R,H2FL12081,N00049285
"Carney, Bob",R,H8MN05270,N00043722
"Caronna, Dorothy",D,H2CA28196,N00051352
"Carpio, Monica",R,H2VA10174,N00048601
"Carr, James Jr",D,S2NC00570,N00049398
"Carra, Stephen",R,H2MI06117,N00048231
"Carroll, Mark",R,H2IL11199,N00050360
"Carson, Andre",D,H8IN07184,N00029513
"Carson, Michael",R,H2MS02179,N00051400
"Carson, Paulette",R,H2TX08216,N00048779
"Carter, Buddy",R,H4GA01039,N00035346
"Carter, John",R,H2TX31044,N00025095
"Carter, Troy",D,H2LA02149,N00025766
"Cartwright, Matt",D,H2PA17079,N00034128
"Cartwright, Nick",D,H2AR02087,N00048656
"Caruso, Liz",R,H2ME02212,N00049591
"Casanova, Manuel",D,H2NY16073,N00049324
"Casar, Greg",D,H2TX35144,N00049855
"Case, Ed",D,H2HI02128,N00025882
"Casey, Keith",R,H6TX14132,N00038807
"Casey, Sandy",R,H2TN03243,N00048902
"Casha, Larry",R,H2NJ11194,N00049318
"Casper, Brandon",R,H2UT03264,N00049876
"Cassidy, Michael",R,H2MS03151,N00050660
"Casson, Thomas",L,H4AL03053,N00036093
"Castelli, Christian",R,H2NC07161,N00049656
"Castelli, Matt",D,H2NY21164,N00049148
"Casten, Sean",D,H8IL06139,N00041338
"Castillo, Jose",R,H0FL09115,N00044862
"Castillo, Saul",D,H2CA42171,N00047925
"Castor, Kathy",D,H6FL11126,N00027514
"Castorani, John",R,H2VA07154,N00045469
"Castro, Joaquin",D,H2TX35011,N00033316
"Castro, John",R,H2TX06384,N00048585
"Catala, Ryan",R,H2TX12101,N00049175
"Cates, Kenneth",L,S2AR00131,N00051304
"Catucci, Nick",R,H2NJ12135,N00050415
"Cavagna, Joseph",R,H2FL07172,N00048678
"Cavaleri, Vincent",R,H2WA01252,N00050253
"Cavalier, Crystal",D,H2NC07195,N00049659
"Cavanaugh, Ken",L,H2NV01348,N00051921
"Cavaretta, Dean",R,H2PA17145,N00050178
"Cavazos, Aizar",R,H2TX15120,N00049342
"Cavener, Mark",R,H2OR02164,N00046850
"Cawthorn, Madison",R,H0NC11233,N00046252
"Cenedella, Marc",R,H2NY23194,N00051212
"Centers, Brent",R,H2OH01186,N00048554
"Centurion, Ingrid",R,H2SC01085,N00049006
"Cerrotti, Jesse",D,H2NY12189,N00048267
"Chabot, Steve",R,H8OH01043,N00003689
"Chaffee, Chris",R,S6MD03557,N00036537
"Chai, Amy",L,H2CT03102,N00048971
"Chaires, Justin",D,H2NY20117,N00048551
"Chambers, Chris",R,H2FL15209,N00050593
"Chambers, Gary",D,S2LA00150,N00047734
"Champion, Chris",R,H2CA37353,N00051357
"Chan, Sea",R,H2WA09156,N00049356
"Chandler, Michael",3,H2SC04121,N00035193
"Chandler, Tharon",I,H6TN07146,N00039842
"Chapman, Dave",R,H2WA08240,N00051664
"Chapman, John",R,H2SC06118,N00048573
"Chappell, Matthew",R,H2VA11214,N00049897
"Chartrand, Derek",R,H0WA01124,N00047034
"Chase, Amanda",R,H2VA07204,N00049887
"Chavez, Jonathan",R,H2GA04201,N00049531
"Chavez, Michaela",R,H2NM01284,N00048260
"Chavez-Deremer, Lori",R,H2OR05209,N00048900
"Chehade, Iymen",D,H2IL03170,N00050108
"Chen, Jay",D,H2CA39136,N00034000
"Cheney, Jamie",D,H2NY19135,N00051210
"Cheney, Liz",R,H6WY00159,N00035504
"Cheng, John",I,S2OH00550,N00052088
"Cherfilus-McCormick, Sheila",D,H8FL20032,N00043504
"Chesbro, Patricia",D,S2AK00226,N00051467
"Chess, Steve",R,H2FL22130,N00048194
"Chick, Cameron",I,H2NM01342,N00044263
"Chiddick, David",R,H2CA50240,N00050796
"Chieffo, Andria",L,H2AL06183,N00051877
"Childress, Clenard Jr",3,H2NJ10261,N00051917
"Childress, Earl",D,H2MO01161,N00047986
"Childs, Vivian",R,H4GA02078,N00036257
"Chilton, Dennis Lee",R,S2MO00791,N00051704
"Chima, Harpreet",D,H2CA09121,N00048960
"Ching, Eric J",R,H2CA39151,N00048169
"Chlebek, Casey",R,S0IL00550,N00045358
"Christensen, Chris",R,S2OR00184,N00046813
"Christensen, Flint",R,H2ID02190,N00050100
"Christian, Bob",D,H2GA06222,N00050599
"Christian, Wallyn",R,S2HI00221,N00051695
"Christiansen, Katrina",D,S2ND00123,N00050758
"Christophe, Candy",D,H0LA05070,N00044321
"Chu, Judy",D,H0CA32101,N00030600
"Chuba, Jon",R,H2FL05200,N00048494
"Churchill, Pano",D,S6WA00438,N00040125
"Churchill, Vangela",R,H2TX15237,N00050190
"Ciampoli, John",R,H4NY29148,N00027273
"Ciarcia, Gina",R,H2VA07253,N00049892
"Ciarrocchi, Guy",R,H2PA06197,N00050453
"Cicilline, David",D,H0RI01073,N00032019
"Cingolani, Rebecca",D,H2SC01101,N00049333
"Ciscomani, Juan",R,H2AZ02360,N00049039
"Cisneros, Jessica",D,H0TX28077,N00044798
"Cisneros, Laura E. Dr.",D,H2TX34188,N00049851
"Clancy, Mike",R,H2VA11206,N00049189
"Clark, Ben",D,H2NC04150,N00049643
"Clark, Curtis",3,H2MI04286,N00051738
"Clark, Dennis",I,H0TN09111,N00047364
"Clark, Drew Montez",R,H2FL25083,N00049524
"Clark, Eric M",R,H2OH15251,N00049154
"Clark, Josh",R,S2GA00266,N00049989
"Clark, Katherine",D,H4MA05084,N00035278
"Clark, Travis",R,H2WI04070,N00051124
"Clarke, Yvette",D,H4NY11138,N00026961
"Clarmont, Shaun",R,H2WI08089,N00051442
"Claus, Santa",I,H2AK01141,N00050779
"Clay, Mark",R,H2GA14069,N00048513
"Claytor, Chris",L,H2TX27117,N00025105
"Cleaver, Emanuel",D,H4MO05234,N00026790
"Clemmons, Mitchell",R,H2CA38260,N00049461
"Cleveland, Scott",I,S2ID00145,N00049991
"Click, Nathan",D,H2NC14027,N00049134
"Clifford, Sianay Chase",D,H2VT01092,N00050734
"Cline, Ben",R,H8VA06104,N00042296
"Cloud, Michael",R,H8TX27049,N00041882
"Clouse, Gary",R,H2TN08168,N00050473
"Clyburn, James E",D,H2SC02042,N00002408
"Clyde, Andrew",R,H0GA09246,N00046654
"Clynch, Sean",R,H2WA05113,N00051439
"Coatney, David",L,H2NC11254,N00049130
"Cobble, Daniel",R,H2KY03248,N00050376
"Cochran, Johnny",L,H2AL04105,N00051492
"Coder, Kathy",R,H2PA17186,N00051108
"Coester, Mark",I,S2VT00185,N00050038
"Cogbill, Michael",D,H2PA03145,N00049744
"Coghill, John B Jr.",R,H2AK01133,N00050778
"Cohen, Steve",D,H6TN09068,N00003225
"Cohen, Tina",R,H2TX07119,N00050186
"Cohn, Alan",D,H4FL15155,N00035575
"Coibion, Michael",R,S2OK00293,N00051544
"Colarusso, Caroline",R,H0MA05132,N00047072
"Cole, Jahmal",D,H2IL01208,N00047949
"Cole, Jonathon Dale",D,H2IN09217,N00048991
"Cole, TJ",3,S2CO00324,N00052067
"Cole, Tom",R,H2OK04055,N00025726
"Coleman, Bonnie Watson",D,H4NJ12149,N00036158
"Coleman, Jeff",R,H2AL02182,N00045203
"Coleman, Simone",3,H2MI13410,N00051799
"Coll, Gregory",R,H0MD08203,N00046214
"Collick, John",R,H0VA03124,N00044594
"Collier, Scott",I,H2TX25319,N00049824
"Collier, Scott M",R,H0MD02255,N00047130
"Collins, Charles",R,S2HI00189,N00051002
"Collins, Christian",R,H2TX08273,N00049791
"Collins, Genevieve",R,H0TX32087,N00045070
"Collins, Jacqueline",D,H2IL01315,N00050102
"Collins, Jay",R,H2FL14251,N00048975
"Collins, Joe",R,H0CA43108,N00044496
"Collins, Kina",D,H0IL07167,N00044528
"Collins, Mike",R,H4GA10071,N00035370
"Collins, Shawn",R,H2CA45158,N00048966
"Colombe, Michael",D,H2CO05190,N00049281
"Colombo, Malcolm",D,H2MD03176,N00047985
"Colon, Robert",D,S2NC00745,N00046785
"Combs, Lewis",D,H2VA05083,N00048789
"Comer, James",R,H6KY01110,N00038260
"Compton, William",D,H2KY02125,N00047959
"Condict, Bill",R,H2TX35243,N00050725
"Condit, Jim Jr",R,H2OH02077,N00025431
"Conerly, Chad",R,H2LA05134,N00047973
"Conforti, Niki",R,H2IL06090,N00048704
"Conn, James",3,S2CA01078,N00049224
"Connely, Thireena Yuki",R,H2NE01183,N00051072
"Conner, Lateefah",D,H2GA14036,N00047947
"Connolly, Gerry",D,H8VA11062,N00029891
"Connors, Nick",R,S2CT00322,N00050749
"Conole, Francis",D,H0NY24063,N00044461
"Conoly, Henry",3,H2PA01081,N00048756
"Conrad, William",R,S2NV00399,N00051483
"Constant, Chris",D,H2AK00200,N00050291
"Contogiannis, Mary Ann",R,H2NC06155,N00050882
"Contreras, Maya",D,H2NY12205,N00048739
"Conway, Connie",R,H2CA22231,N00050064
"Conyers, John III",D,H2MI13261,N00050391
"Cook, David W",3,H2NJ08307,N00051913
"Cook, Paul",I,H4TN09097,N00036492
"Cooke, Marty",R,S2NC00539,N00048644
"Cooke, Rebecca",D,H2WI03130,N00049358
"Cooper, Brandon",R,H2SC07249,N00048574
"Cooper, Daniel",I,H2TN05487,N00051650
"Cooper, Jim",D,H2TN05131,N00003132
"Cooper, Kelly",R,H2AZ09191,N00049425
"Cooper, Randal",D,H2TN06162,N00051437
"Cooperrider, Thad",R,H2OH15236,N00048751
"Cope, Michelle",L,H2GA08087,N00049536
"Coplen, Rick",D,H2PA10116,N00050707
"Coram, Don",R,H2CO03328,N00049479
"Corazon, Charly",R,H2AZ08177,N00050054
"Corbett, Keith",D,H2NY04269,N00050680
"Corbin, Mike",R,H2GA07121,N00047865
"Corey, Seth",D,H2OH11243,N00048556
"Cormack, Bevin",R,H2OH14122,N00051103
"Cornicelli, Robert",R,H2NY01158,N00049000
"Coronado, Rene",D,H2TX34246,N00051114
"Correa, Lou",D,H6CA46116,N00037260
"Corrigan, Cait",R,H2NY02149,N00049702
"Corrigan, Daniel",D,H2OH11219,N00048022
"Cortes, Jose",3,H2CA51222,N00046755
"Costa, Jim",D,H4CA20082,N00026341
"Coulombe, Chris",R,H2CA02241,N00050557
"Courser, Amy Ryan",R,H0OR05104,N00045283
"Courtney, Joe",D,H2CT02112,N00024842
"Covarrubias, Phil",R,H2TX38015,N00049866
"Covell, Carolyn",R,H2CA31141,N00048167
"Cowden, Tony",R,H2NC04192,N00049647
"Cowen, Martin",L,H8GA13027,N00042816
"Cox, Steve",I,H8CA39190,N00041634
"Cozzens, Jeff",R,H2NH02245,N00049314
"Craft, Frank",L,H2FL13212,N00048185
"Craig, Angie",D,H6MN02131,N00037039
"Craig, Jared",R,S2GA00217,N00049228
"Craig, Jared",R,H2GA03179,N00049289
"Craig, Kevin",L,H4MO07107,N00025023
"Craig, Rufus",L,H4LA06047,N00027243
"Crain, Mark",I,H2TN09208,N00048289
"Crane, Eli",R,H2AZ01354,N00048953
"Crapo, Mike",R,S8ID00027,N00006267
"Craven , Mike",R,H8KY03187,N00042630
"Cravens, Randy",I,H2KY06217,N00051789
"Crawford, Rick",R,H0AR01083,N00030770
"Crenshaw, Dan",R,H8TX02166,N00042224
"Crispi, Michael",R,H2NJ04207,N00049681
"Crockett, Jasmine",D,H2TX30178,N00049840
"Croom, George",D,H2MD03192,N00049111
"Crooms, Connell",D,H2FL05226,N00050081
"Cropley, Tyler",I,H2AK01109,N00050776
"Cross, Alex",R,H2TX38080,N00050728
"Crow, Jason",D,H8CO06229,N00040876
"Crumpacker, Jimmy",R,H0OR02168,N00046274
"Cruz, Erin",R,H0CA36193,N00042557
"Cruz, Ignacio",R,H0CA39114,N00044451
"Cruz, Israel",R,S2PA00604,N00049402
"Cruz, Jerico",I,H2IL05225,N00050829
"Cruz, Rob",R,H2IL03147,N00048407
"Cubero, Bryan Duval",R,H0MD05274,N00047134
"Cuellar, Desi",3,H2NY14094,N00048549
"Cuellar, Henry",D,H2TX23082,N00024978
"Cullen, Jason",L,H2NJ04231,N00051079
"Culp, Loren",R,H2WA04173,N00048604
"Cultra, Shane",R,H2IL02206,N00051502
"Cunningham, Eric",R,H2GA14119,N00050350
"Curnow, Jacob",I,H0FL13190,N00047453
"Curry, David",R,H2GA10182,N00048695
"Curry, Eric",D,H2CA12190,N00048160
"Curtis , Ron",R,H0HI01298,N00043698
"Curtis, James",D,H2MD04331,N00049585
"Curtis, John",R,H8UT03238,N00041221
"Cusmir, Sam",D,S2WA00502,N00051717
"D'Agostino, Nick",R,H2NJ05303,N00047998
"D'Amico, Samuel",I,S2WI00300,N00046143
"D'Arrigo, Melanie",3,H0NY03075,N00045050
"D'Esposito, Anthony",R,H2NY04277,N00050681
"Dady, John",R,H0MO06115,N00013327
"Dahm, Nathan Ryan",R,S2OK00145,N00031336
"Dailey, Leah",L,H2MI07149,N00051797
"Dale, Clinton",I,S4CO00452,N00051488
"Dale, Terry",R,H2CA45141,N00048857
"Dalhouse, Timothy",R,S2HI00197,N00051308
"Dallin, Jared",R,H2UT03272,N00050198
"Dalsimer, Ally",D,H2VA11198,N00048319
"Daly, Andrew",D,H2MO03183,N00051069
"Daly, Jolene",R,H2CA10194,N00049053
"Dammen, Khaleb",R,H4CO06103,N00049016
"Daniel, Matthew",D,H2AZ04184,N00047907
"Daniels, Bret",R,H2CA07133,N00049052
"Daniels, Michael",D,H2MO01203,N00049613
"Daniels, Pam",I,H2NJ04249,N00051593
"Daniels, Shamaine",D,H2PA10124,N00050934
"Daniels, Teddy",R,H0PA08197,N00045928
"Danimus, Ann Marie",D,H2WA05097,N00049355
"Dante, Ruben Landon",R,H2TX14198,N00048308
"Dantzler, Oscar",D,H2LA05282,N00051906
"Darden, Dave",I,S2AK00291,N00051693
"Darden, Dustin",3,S2AK00143,N00048627
"Dardzinski, Chris",3,H2MI13337,N00050641
"Dargis, Chris",R,H2IL08187,N00050615
"Darling, Katie",D,H2LA01109,N00051584
"Darnowsky, Alan",D,H2OH02135,N00050438
"Dashevsky, Yuri",R,H2NY08187,N00051288
"Dass, Gavin",D,H2TX01138,N00049777
"Daugherty, Roger",I,H2AR01139,N00051264
"Daughtry, Kelly",R,H2NC04200,N00049648
"Davenport, Keith",D,S2NC00331,N00035948
"David, Shoshana",R,H2NY17170,N00051647
"Davids, Sharice",D,H8KS03155,N00042626
"Davidson, Warren",R,H6OH08315,N00038767
"Davilo, Mitch",3,H2IL01257,N00049542
"Davis, Alan",R,H2FL04179,N00051033
"Davis, Angela Grace",I,H2GA11248,N00048698
"Davis, Benjamin",R,S2UT00328,N00048839
"Davis, Charles Edward",R,H2FL06190,N00048973
"Davis, Cicely",R,H2MN05166,N00048993
"Davis, Danny K",D,H4IL07037,N00004884
"Davis, Don",D,H2NC02287,N00049636
"Davis, George",R,S2MD00636,N00051606
"Davis, James",R,H2FL13295,N00051175
"Davis, James",R,H8CA23137,N00042783
"Davis, Jim",I,H2LA05167,N00047975
"Davis, Moe",D,H0NC11175,N00045915
"Davis, Nathan",R,H2TX32141,N00049847
"Davis, Rodney",R,H2IL13120,N00034784
"Davis, Tashi",D,H2MD07094,N00048877
"Davis, Wendy",D,H2GA14077,N00048699
"Davison, Jerone",R,H2AZ09183,N00049046
"Davison, Justin",R,H2SC07199,N00048282
"Davisson, J Michael",R,H2IN09266,N00050269
"Dawson, Marshall",R,H2CO02205,N00051032
"Day, Darrell",R,H2TX32182,N00050721
"Day, Roger",D,H8IN04231,N00036127
"Daza, Antonio",D,H2GA11230,N00048204
"De Blasio, Bill",D,H2NY10282,N00044658
"De Ganna, Benjamin",D,H2CA51214,N00049477
"De La Cruz, Jessica",R,H2RI02168,N00050180
"De La Cruz, Monica",R,H0TX15124,N00045793
"De La Fuente, Ricardo",D,S2FL00755,N00040637
"De Luca, Rocco",D,H2CA31166,N00049455
"Deal-Bartell, Candice",D,H2MN01256,N00050652
"Dean, Brandaun",D,S2AL00111,N00044687
"Dean, Katie",D,H2NC11171,N00048250
"Dean, Madeleine",D,H8PA04116,N00042894
"DeAngelo, Elaine",R,H2NJ01146,N00050411
"DeBellis, John",R,S2PA00323,N00048124
"Debello, James",R,H0CA52083,N00045664
"Decillis, Mike",D,H8NY11097,N00041160
"Deck, Beth",R,H2OH19204,N00051105
"Decker, Dan",3,S2HI00213,N00051476
"Deel, Michael",R,S2AR00099,N00048629
"Deering, Regan",R,H2IL13179,N00050114
"DeGette, Diana",D,H6CO01141,N00006134
"DeGrammont, Vic",R,H2FL20225,N00046877
"DeGregorio, Nick",R,H2NJ05311,N00049316
"DeGroot, Paul",R,H2NJ11186,N00049141
"DeHart, Brandon",R,H2AZ04200,N00048155
"Dehn, Joe",L,H6CA14064,N00007379
"Deitch, Douglas",D,H8CA20091,N00043120
"Dejean, Joel",I,H2TX38098,N00051566
"DeJesus-Coniglio, Pura",R,H2NY14151,N00050161
"DeJoie, Steven",D,H2IL01422,N00050828
"Del Castello, Eve",R,H2CA12224,N00049435
"Delaney, Dan",L,H2NJ08281,N00040388
"Delaney, Michael L",I,S2OK00335,N00051548
"DeLauro, Rosa",D,H0CT03072,N00000615
"DelBene, Suzan",D,H0WA08046,N00030693
"Delgado, Antonio",D,H8NY19181,N00040741
"Delices, Patrick",R,H2NY16065,N00044718
"Delk, David",3,H6OR03163,N00040342
"Della Pia, Max",D,H2NY23186,N00041388
"Delle, Peter",D,H2CA03132,N00049428
"Dellicker, Kevin",R,H2PA07096,N00048759
"Deluzio, Christopher",D,H2PA17103,N00049160
"DeLuzio, Mark",R,H2AZ02402,N00049419
"DeMarco, Samuel III",R,H2PA17178,N00050709
"DeMille, Thomas",3,H2UT02449,N00048598
"Demings, Val",D,S2FL00631,N00033449
"Dempsey, Brad",R,H2CO07212,N00050329
"DeNardis, Lesley",R,H2CT03110,N00050332
"Dennis, John",R,H2CA12174,N00031180
"Dennison, Henry Clay",3,S2WA00569,N00051723
"Dennison, Jeremy",R,H2MO08083,N00048238
"Deno, Al",R,H2FL11141,N00049078
"Denotter, Matthew",R,H2MI11232,N00049117
"Dent, Marques",D,H2MD02327,N00050131
"DePaolis, Gio",I,H2CA27222,N00047921
"DePasquale, Eugene",D,H0PA10110,N00044919
"Depuy, Kevin",R,S2FL00706,N00049387
"Derby, David",R,H2OK02323,N00051107
"Desantis, Mario",D,H2NJ01120,N00049138
"Desaulnier, Mark",D,H0CA10073,N00030709
"Desjarlais, Scott",R,H0TN04195,N00030957
"Destin, Joseph J",I,S2NV00340,N00049248
"Desvignes, Elfreda",D,H2GA06149,N00048692
"Detmer, Mike",R,H0MI08133,N00045608
"Deutch, Ted",D,H0FL19080,N00031317
"Devaughan, Taysha Lee",D,H2VA09085,N00050968
"Devine, Timothy Michael",I,S2FL00664,N00048821
"Devoe, Rick",D,H2MN01322,N00051281
"DeVore, Bob",R,H2KY03180,N00029857
"Dewell, Ben",D,H2CA20144,N00050309
"Dhahir, Adnan",D,H2IN08177,N00050371
"Diacogiannis, Jeremiah",R,H2TX37074,N00049865
"Diamond, Ben",D,H2FL13220,N00048499
"Diamondstone Kohout, Natasha",3,S2VT00383,N00052093
"Diaz, Lizbeth",R,H2TX30269,N00050720
"Diaz-Balart, Mario",R,H2FL25018,N00025337
"Dickinson, Jerry",D,H2PA18192,N00044463
"Dickinson, Mike",R,H2VA04128,N00036012
"Dickinson, Spencer",D,H2RI02069,N00011035
"Diemer, Matthew",D,H2OH16044,N00048276
"DiLizia, Anthony",D,H2CT02179,N00048970
"Dillon, Patrick",I,H8WA08262,N00043545
"Dine, Jonathan",L,S0MO00340,N00032152
"Dingell, Debbie",D,H4MI12079,N00036149
"DiPaola, John",R,H2OR05217,N00050170
"DiSanto, Delina",D,H8AZ04165,N00026555
"Dixon, Arthur",D,H2TX30160,N00049839
"Dixon, Gregg",D,H2SC06134,N00049164
"Dixon, Nate",3,S2SC00186,N00051485
"Doan, Dan Phan",I,S2WA00544,N00051721
"Dodge, Danelle",D,H2FL08121,N00050340
"Doggett, Lloyd",D,H4TX10028,N00006023
"Dolan, Matt",R,S2OH00477,N00049253
"Donalds, Byron",R,H2FL14186,N00034016
"Dong, Yuhong",I,S6NC00332,N00049270
"Donnell, Dexter",R,H2AL05193,N00049410
"Donovan, Kerry",D,H2CO03211,N00047930
"Donovan, Michelle",R,H4MI09109,N00050210
"Dooley, Patrick",D,H2NY10167,N00050252
"Dorilas, Rod",R,H2FL21090,N00048193
"Dorlon, Kevin",R,H2NJ07226,N00050148
"Dorris, Dale",D,H0IN09161,N00045999
"Doss, Nathaniel III",D,H2TN03201,N00048287
"Doty, Justin",R,S2WI00490,N00050044
"Doucette, Michael",D,H2NV02528,N00050156
"Dougherty, Kael",D,S2PA00588,N00049259
"Douglas, Steve",D,H2CO08137,N00050330
"Dowell, Jeremy",D,H2CO05158,N00048174
"Dowell, Pat",D,H2IL01281,N00049545
"Dowling, Elvin",D,H2FL20142,N00048188
"Dowling, Sandra",R,H2AZ09225,N00043497
"Doyle, Michael",R,H2PA12070,N00050935
"Drake, Darian",L,H2ID01200,N00051898
"Driggers, Calvin",R,S2FL00557,N00048398
"Driscoll, Shastity",D,H2GA13129,N00050602
"Druzba, Matt",I,H2VT00169,N00051932
"Duarte, John",R,H2CA13131,N00050562
"Dubiel, Matt",R,S2IL00259,N00050529
"DuBose, Bobby",D,H2FL20209,N00048503
"Duch, Billy",R,S2PA00414,N00048440
"Duckworth, Tammy",D,S6IL00292,N00027860
"Dudley, Brown",R,H2TN09216,N00049774
"Duenas, Angelica",D,H8CA29100,N00041309
"Duffy, Jennifer",D,H2CA31174,N00050567
"Duke, Brady",R,H2FL07164,N00048677
"Duke, Stephen",I,S2VT00391,N00052094
"Duncan, Jeff",R,H0SC03077,N00030752
"Duncan, Vince",I,H4TX18112,N00036826
"Dunn, Aubrey",I,H2NM01151,N00047872
"Dunn, Mike",R,S2AL00178,N00049221
"Dunn, Neal",R,H6FL02208,N00037442
"Dunn, Reagan",R,H2WA08208,N00049906
"Dunn, Tom",R,H2SC07215,N00048284
"Dunn, Victor",D,H2TX01161,N00050713
"DuPree, Johnny",D,H2MS04332,N00051405
"Duprel, Collin",L,H2SD00142,N00051806
"Dupriest, Karla",R,S2AL00228,N00049974
"Durant, Michael",R,S2AL00202,N00049972
"Durrwachter, Dylan",D,H2MO03191,N00051640
"Dutchess, Lady Donna",I,H2AK01182,N00050783
"Dwyer, Angela",D,H2WV02175,N00049913
"Earhart, Eric",R,H2NC03160,N00050666
"Earls, Harold",R,H2GA06123,N00048200
"Easley, Cassie",3,H2UT02506,N00051115
"Eastman, Majorie",R,S2NC00588,N00049399
"Easton, Kevin",D,H2OR05191,N00048754
"Eckert, Kevin",D,H2SC05094,N00050182
"Eddings, Daryl",D,H2TX06285,N00048298
"Edmonds, Ruth",R,H2OH15160,N00048562
"Edmonson, Audrey",D,H2FL24060,N00050816
"Edwards, Ava",D,S2NC00372,N00048114
"Edwards, Becky",R,S2UT00336,N00048840
"Edwards, Chuck",R,H2NC14050,N00049670
"Edwards, Donna",D,H6MD04183,N00028249
"Edwards, Ted",R,H2FL07297,N00051371
"Egan, Mike",R,H2TX06228,N00048040
"Egriu, Emin Eddie",D,H0NY26068,N00032484
"Ehasz, Ashley",D,H2PA01099,N00049332
"Ehr, Phil",D,H8FL01107,N00041323
"Ehrle, Doug",R,H2AL05201,N00050051
"Eichenberg, John",R,S2PA00646,N00050028
"Eisen, Josh",R,S2NY00416,N00045754
"Ejigu, Lulite",R,H2TX29121,N00049836
"Ekpete, Uloma",I,S2FL00714,N00051242
"Eldon, Tony",D,H2FL14236,N00047863
"Elgin, TJ",R,H0CT04203,N00045976
"Eli El, Elihu",D,H2MD07102,N00051590
"Elist, Jon",R,S2CA01250,N00050521
"Elizabeth, Anne",R,H2CA49259,N00049061
"Elizondo, Darian",R,H2CA02266,N00051342
"Elizondo, Pamela",3,S6CA00956,N00039919
"Eller, Ron",R,H2MS02187,N00051401
"Ellerby, Carlton",R,S2NC00364,N00048113
"Elliott, Steven",R,H2MI13311,N00050396
"Ellis, Alan",D,H0TX21130,N00044927
"Ellis, Dawn",I,S2VT00409,N00052095
"Ellis, Grant Smith",D,H2MA09247,N00049298
"Ellis, Jameson",R,H2TX08158,N00048588
"Ellis, Theresa",R,H2VA10190,N00049188
"Ellison, Allen",D,H2FL23278,N00036527
"Ellmers, Renee",R,H2NC04218,N00031513
"Ellzey, Jake",R,H8TX06266,N00042243
"Else, David",D,H0NE03217,N00046563
"Emery, Edgar",R,H2MO04132,N00048721
"Emmer, Tom",R,H4MN06087,N00035440
"Engdahl, Andrew",D,H2CA04155,N00050790
"Engel, Kirsten",D,H2AZ02311,N00048151
"Engquist, Ted",R,H2VA02056,N00048314
"Ennis, Craig",R,H8VA01220,N00030100
"Enoch, Vanessa",D,H8OH08097,N00042480
"Entin, Alex",R,H2PA01149,N00050450
"Epperson, Dalila",R,H2CA20136,N00048661
"Erbst, Bob",R,H2CA35167,N00051356
"Ericksen, Alena",R,H2UT01250,N00049873
"Erickson, Lily",D,H2MN03096,N00047798
"Erickson, Mike",R,H2OR06124,N00028333
"Ericson, Cris",I,S2VT00326,N00027434
"Eriksen, Roy",L,H0TX10240,N00047768
"Ernst, Roland",D,H2CA47212,N00050071
"Escobar, Veronica",D,H8TX16109,N00041702
"Esh, Matthew",I,S2OH00568,N00052089
"Eshoo, Anna",D,H8CA12098,N00007335
"Espaillat, Adriano",D,H2NY13096,N00034549
"Esrati, David",D,H8OH03098,N00029719
"Esshaki, Eric",R,H0MI11129,N00045731
"Estes, Ron",R,H8KS04112,N00040712
"Estrada, John Anthony",R,H2CA05103,N00007307
"Etter, Scott",D,H2KY06191,N00049573
"Ettinger, Jeff",D,H2MN01249,N00050651
"Etwop, Martin",R,H2TX08232,N00049174
"Euvin, Sherry",D,H2NJ06202,N00047999
"Evans, Charles",D,H2NC08227,N00048533
"Evans, Dwight",D,H6PA02171,N00038450
"Evans, Jake",R,H2GA06164,N00048867
"Evans, Jerry",R,H2IL11173,N00045702
"Evans, Joe",L,H2ID01176,N00045698
"Evans, Shannon",R,H2AK01067,N00048462
"Evans-Frantz, Isaac",D,S2VT00334,N00051582
"Eze, Nnabu",R,S8MD00351,N00039112
"Ezell, Mike",R,H2MS04258,N00048240
"Fabricant, Danny",R,S0CA00504,N00043984
"Faheem, Mohammed",I,H2IL08153,N00048872
"Fain, Shelley",I,H2FL20324,N00049519
"Fairlcoth, Clay",D,H2TN06170,N00051651
"Fajans-Turner, Vanessa",D,H2NY22196,N00050431
"Falakos, James",R,H2IL04160,N00051504
"Falciglia, Charles",R,H2NY17188,N00051746
"Fallon, Patrick",R,H0TX04219,N00047264
"Fallon-Underwood, Jack",D,H2NY20133,N00049713
"Fandl, Jeff",D,H8FL22087,N00043322
"Fanelli, Steve",R,H2PA06163,N00048758
"Fantin, Richard",D,H2IN01230,N00051053
"Farber, Sam",R,H2FL09269,N00050341
"Farley, Steve",R,H2FL11133,N00049077
"Farrell, Bridie",D,H2NY21156,N00049002
"Farris, Jaden Thomas",D,S2MD00511,N00044015
"Faulkner, Mark Eugene",R,H2MO01237,N00051068
"Faulkner, William",R,H2NY16099,N00050685
"Faust, Kyle",D,H2CO07154,N00047934
"Fedalizo, Baltazar",R,H2CA37320,N00050069
"Feenstra, Randy",R,H0IA04145,N00044011
"Feher, Brent",R,H2KY02166,N00050271
"Feig, Anthony",D,H0MI04108,N00045030
"Feigenbaum, Matthew",I,H2CO05232,N00050326
"Feit, Keith",R,H2FL21074,N00047942
"Felder, Michael",D,H2NC10132,N00051194
"Felix, Anthony Jr",D,H0CA40120,N00044853
"Feng, Karena",D,H2CA10236,N00049434
"Fenton, Bruce",R,S2NH00280,N00051254
